#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:55:51,34.23,59494.40,,,,
2,07/02/2021 12:10:51,31.83,43089.92,,,,
3,07/02/2021 12:25:51,31.79,48824.32,,,,
4,07/02/2021 12:40:51,33.89,55357.44,,,,
5,07/02/2021 12:55:51,32.73,60313.60,,,,
6,07/02/2021 13:10:51,37.19,103301.12,,,,
7,07/02/2021 13:25:51,44.06,155566.08,,,,
8,07/02/2021 13:40:51,33.93,61194.24,,,,
9,07/02/2021 13:55:51,34.79,72683.52,,,,
10,07/02/2021 14:10:51,34.79,56770.56,,,,
11,07/02/2021 14:25:51,33.37,43847.68,,,,
12,07/02/2021 14:40:51,31.36,37693.44,,,,
13,07/02/2021 14:55:51,29.64,31744.00,,,,
14,07/02/2021 15:10:51,29.08,29982.72,,,,
15,07/02/2021 15:25:51,29.60,32604.16,,,,
16,07/02/2021 15:40:51,29.64,27156.48,,,,
17,07/02/2021 15:55:51,28.61,14376.96,,,,
18,07/02/2021 16:10:51,26.64,11745.28,,,,
19,07/02/2021 16:25:51,24.62,22487.04,,,,
20,07/02/2021 16:40:51,22.91,6236.16,,,,
21,07/02/2021 16:55:51,22.78,5926.40,,,,
22,07/02/2021 17:10:51,22.78,6448.64,,,,
23,07/02/2021 17:25:51,22.43,4535.04,,,,
24,07/02/2021 17:40:51,22.22,4588.80,,,,
25,07/02/2021 17:55:51,22.18,3791.36,,,,
26,07/02/2021 18:10:51,22.01,3610.88,,,,
27,07/02/2021 18:25:51,22.13,4038.40,,,,
28,07/02/2021 18:40:51,22.13,5175.04,,,,
29,07/02/2021 18:55:51,22.39,6822.40,,,,
30,07/02/2021 19:10:51,22.52,6725.12,,,,
31,07/02/2021 19:25:51,22.65,7150.08,,,,
32,07/02/2021 19:40:51,22.91,9822.72,,,,
33,07/02/2021 19:55:51,22.52,6906.88,,,,
34,07/02/2021 20:10:51,22.61,7344.64,,,,
35,07/02/2021 20:25:51,23.03,7608.32,,,,
36,07/02/2021 20:40:51,22.43,3687.68,,,,
37,07/02/2021 20:55:51,22.05,1263.04,,,,
38,07/02/2021 21:10:51,21.53,104.40,,,,
39,07/02/2021 21:25:51,21.15,6.26,,,,
40,07/02/2021 21:40:51,21.19,0.00,,,,
41,07/02/2021 21:55:51,21.15,0.00,,,,
42,07/02/2021 22:10:51,21.02,0.00,,,,
43,07/02/2021 22:25:51,21.10,0.00,,,,
44,07/02/2021 22:40:51,21.15,0.00,,,,
45,07/02/2021 22:55:51,21.23,0.00,,,,
46,07/02/2021 23:10:51,21.40,0.00,,,,
47,07/02/2021 23:25:51,21.45,0.00,,,,
48,07/02/2021 23:40:51,21.49,0.00,,,,
49,07/02/2021 23:55:51,21.40,0.00,,,,
50,07/03/2021 00:10:51,21.23,0.00,,,,
51,07/03/2021 00:25:51,21.28,0.00,,,,
52,07/03/2021 00:40:51,21.28,0.00,,,,
53,07/03/2021 00:55:51,21.19,0.00,,,,
54,07/03/2021 01:10:51,21.23,0.00,,,,
55,07/03/2021 01:25:51,21.19,0.00,,,,
56,07/03/2021 01:40:51,21.40,0.00,,,,
57,07/03/2021 01:55:51,21.32,0.00,,,,
58,07/03/2021 02:10:51,21.36,0.00,,,,
59,07/03/2021 02:25:51,21.32,0.00,,,,
60,07/03/2021 02:40:51,21.28,0.00,,,,
61,07/03/2021 02:55:51,21.02,0.00,,,,
62,07/03/2021 03:10:51,20.72,0.00,,,,
63,07/03/2021 03:25:51,21.10,0.00,,,,
64,07/03/2021 03:40:51,20.89,0.00,,,,
65,07/03/2021 03:55:51,20.50,0.00,,,,
66,07/03/2021 04:10:51,20.07,0.00,,,,
67,07/03/2021 04:25:51,19.99,0.00,,,,
68,07/03/2021 04:40:51,20.16,0.00,,,,
69,07/03/2021 04:55:51,20.37,0.00,,,,
70,07/03/2021 05:10:51,20.59,0.00,,,,
71,07/03/2021 05:25:51,20.37,0.00,,,,
72,07/03/2021 05:40:51,20.42,0.00,,,,
73,07/03/2021 05:55:51,20.46,0.00,,,,
74,07/03/2021 06:10:51,20.46,0.40,,,,
75,07/03/2021 06:25:51,20.50,21.27,,,,
76,07/03/2021 06:40:51,20.46,473.44,,,,
77,07/03/2021 06:55:51,20.29,1589.12,,,,
78,07/03/2021 07:10:51,20.46,3128.32,,,,
79,07/03/2021 07:25:51,20.76,4913.92,,,,
80,07/03/2021 07:40:51,21.10,5926.40,,,,
81,07/03/2021 07:55:51,21.70,9338.88,,,,
82,07/03/2021 08:10:51,22.26,11550.72,,,,
83,07/03/2021 08:25:51,22.95,13726.72,,,,
84,07/03/2021 08:40:51,23.12,12697.60,,,,
85,07/03/2021 08:55:51,23.38,17950.72,,,,
86,07/03/2021 09:10:51,24.41,15247.36,,,,
87,07/03/2021 09:25:51,25.44,29296.64,,,,
88,07/03/2021 09:40:51,29.34,39434.24,,,,
89,07/03/2021 09:55:51,29.30,34385.92,,,,
90,07/03/2021 10:10:51,29.38,43048.96,,,,
91,07/03/2021 10:25:51,35.09,67624.96,,,,
92,07/03/2021 10:40:51,34.75,73031.68,,,,
93,07/03/2021 10:55:51,30.24,39464.96,,,,
94,07/03/2021 11:10:51,29.64,28508.16,,,,
95,07/03/2021 11:25:51,41.27,103915.52,,,,
96,07/03/2021 11:40:51,32.86,31436.80,,,,
97,07/03/2021 11:55:51,32.77,83537.92,,,,
98,07/03/2021 12:10:51,40.28,116039.68,,,,
99,07/03/2021 12:25:51,39.34,107847.68,,,,
100,07/03/2021 12:40:51,36.68,42762.24,,,,
101,07/03/2021 12:55:51,38.95,119726.08,,,,
102,07/03/2021 13:10:51,38.09,45506.56,,,,
103,07/03/2021 13:25:51,44.74,116039.68,,,,
104,07/03/2021 13:40:51,46.72,113745.92,,,,
105,07/03/2021 13:55:51,45.39,37212.16,,,,
106,07/03/2021 14:10:51,33.89,34703.36,,,,
107,07/03/2021 14:25:51,46.16,112803.84,,,,
108,07/03/2021 14:40:51,35.73,32378.88,,,,
109,07/03/2021 14:55:51,38.82,29358.08,,,,
110,07/03/2021 15:10:51,43.54,54968.32,,,,
111,07/03/2021 15:25:51,43.46,106209.28,,,,
112,07/03/2021 15:40:51,34.53,26746.88,,,,
113,07/03/2021 15:55:51,41.95,90398.72,,,,
114,07/03/2021 16:10:51,42.43,89497.60,,,,
115,07/03/2021 16:25:51,45.94,84582.40,,,,
116,07/03/2021 16:40:51,40.58,25303.04,,,,
117,07/03/2021 16:55:51,32.77,24483.84,,,,
118,07/03/2021 17:10:51,37.96,22353.92,,,,
