#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 12:06:58,32.43,46366.72,,,,
2,07/02/2021 12:21:58,32.04,45445.12,,,,
3,07/02/2021 12:36:58,36.38,66068.48,,,,
4,07/02/2021 12:51:58,33.67,52797.44,,,,
5,07/02/2021 13:06:58,38.35,81715.20,,,,
6,07/02/2021 13:21:58,47.36,135905.28,,,,
7,07/02/2021 13:36:58,37.36,52490.24,,,,
8,07/02/2021 13:51:58,36.33,79114.24,,,,
9,07/02/2021 14:06:58,37.19,59576.32,,,,
10,07/02/2021 14:21:58,35.18,47616.00,,,,
11,07/02/2021 14:36:58,33.12,39188.48,,,,
12,07/02/2021 14:51:58,30.80,34508.80,,,,
13,07/02/2021 15:06:58,29.56,28620.80,,,,
14,07/02/2021 15:21:58,29.56,33433.60,,,,
15,07/02/2021 15:36:58,30.28,29614.08,,,,
16,07/02/2021 15:51:58,29.56,19123.20,,,,
17,07/02/2021 16:06:58,27.11,11412.48,,,,
18,07/02/2021 16:21:58,25.01,27842.56,,,,
19,07/02/2021 16:36:58,23.29,9771.52,,,,
20,07/02/2021 16:51:58,22.65,6159.36,,,,
21,07/02/2021 17:06:58,22.61,7032.32,,,,
22,07/02/2021 17:21:58,22.35,5227.52,,,,
23,07/02/2021 17:36:58,22.09,4496.64,,,,
24,07/02/2021 17:51:58,22.01,4039.68,,,,
25,07/02/2021 18:06:58,21.83,3742.72,,,,
26,07/02/2021 18:21:58,21.96,4327.68,,,,
27,07/02/2021 18:36:58,22.22,5118.72,,,,
28,07/02/2021 18:51:58,22.35,6602.24,,,,
29,07/02/2021 19:06:58,22.61,7147.52,,,,
30,07/02/2021 19:21:58,22.61,6871.04,,,,
31,07/02/2021 19:36:58,22.95,9643.52,,,,
32,07/02/2021 19:51:58,22.65,7526.40,,,,
33,07/02/2021 20:06:58,22.52,7654.40,,,,
34,07/02/2021 20:21:58,23.21,8593.92,,,,
35,07/02/2021 20:36:58,22.43,4581.12,,,,
36,07/02/2021 20:51:58,21.92,2156.80,,,,
37,07/02/2021 21:06:58,21.36,205.84,,,,
38,07/02/2021 21:21:58,21.02,13.57,,,,
39,07/02/2021 21:36:58,20.85,0.42,,,,
40,07/02/2021 21:51:58,20.89,0.00,,,,
