#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:22:37,42.94,63303.68,,,,
2,07/02/2021 11:37:37,39.68,48250.88,,,,
3,07/02/2021 11:52:37,40.75,72990.72,,,,
4,07/02/2021 12:07:37,39.25,44728.32,,,,
5,07/02/2021 12:22:37,37.54,46223.36,,,,
6,07/02/2021 12:37:37,41.74,60948.48,,,,
7,07/02/2021 12:52:37,38.35,52531.20,,,,
8,07/02/2021 13:07:37,42.94,69079.04,,,,
9,07/02/2021 13:22:37,54.39,132423.68,,,,
10,07/02/2021 13:37:37,44.10,49766.40,,,,
11,07/02/2021 13:52:37,41.18,71659.52,,,,
12,07/02/2021 14:07:37,42.73,64716.80,,,,
13,07/02/2021 14:22:37,40.28,48619.52,,,,
14,07/02/2021 14:37:37,37.45,37611.52,,,,
15,07/02/2021 14:52:37,34.40,32757.76,,,,
16,07/02/2021 15:07:37,32.52,28979.20,,,,
17,07/02/2021 15:22:37,32.43,31774.72,,,,
18,07/02/2021 15:37:37,33.29,30535.68,,,,
19,07/02/2021 15:52:37,32.52,17664.00,,,,
20,07/02/2021 16:07:37,29.17,11806.72,,,,
21,07/02/2021 16:22:37,26.34,26624.00,,,,
22,07/02/2021 16:37:37,24.06,7964.16,,,,
23,07/02/2021 16:52:37,23.08,5836.80,,,,
24,07/02/2021 17:07:37,22.91,6581.76,,,,
25,07/02/2021 17:22:37,22.65,4852.48,,,,
26,07/02/2021 17:37:37,22.39,4311.04,,,,
27,07/02/2021 17:52:37,22.22,3699.20,,,,
28,07/02/2021 18:07:37,22.01,3545.60,,,,
29,07/02/2021 18:22:37,22.18,4180.48,,,,
30,07/02/2021 18:37:37,22.43,5102.08,,,,
31,07/02/2021 18:52:37,22.65,6679.04,,,,
32,07/02/2021 19:07:37,22.91,6960.64,,,,
33,07/02/2021 19:22:37,22.95,6894.08,,,,
34,07/02/2021 19:37:37,23.38,9758.72,,,,
35,07/02/2021 19:52:37,23.08,7206.40,,,,
36,07/02/2021 20:07:37,22.82,7490.56,,,,
37,07/02/2021 20:22:37,24.06,8389.12,,,,
38,07/02/2021 20:37:37,22.86,4433.92,,,,
39,07/02/2021 20:52:37,22.18,2010.88,,,,
40,07/02/2021 21:07:37,21.45,183.84,,,,
41,07/02/2021 21:22:37,20.98,12.46,,,,
42,07/02/2021 21:37:37,20.80,0.83,,,,
43,07/02/2021 21:52:37,20.76,0.00,,,,
44,07/02/2021 22:07:37,20.68,0.00,,,,
45,07/02/2021 22:22:37,20.76,0.00,,,,
46,07/02/2021 22:37:37,20.80,0.00,,,,
47,07/02/2021 22:52:37,20.93,0.00,,,,
48,07/02/2021 23:07:37,20.98,0.00,,,,
49,07/02/2021 23:22:37,21.02,0.00,,,,
50,07/02/2021 23:37:37,21.02,0.00,,,,
