#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:41:16,37.41,42106.88,,,,
2,07/02/2021 11:56:16,41.61,60702.72,,,,
3,07/02/2021 12:11:16,38.61,41134.08,,,,
4,07/02/2021 12:26:16,37.88,46673.92,,,,
5,07/02/2021 12:41:16,41.18,50032.64,,,,
6,07/02/2021 12:56:16,39.12,64696.32,,,,
7,07/02/2021 13:11:16,46.29,120627.20,,,,
8,07/02/2021 13:26:16,58.38,134184.96,,,,
9,07/02/2021 13:41:16,42.25,60375.04,,,,
10,07/02/2021 13:56:16,42.77,71884.80,,,,
11,07/02/2021 14:11:16,43.07,55152.64,,,,
12,07/02/2021 14:26:16,39.68,41216.00,,,,
13,07/02/2021 14:41:16,36.55,36382.72,,,,
14,07/02/2021 14:56:16,33.67,31232.00,,,,
15,07/02/2021 15:11:16,32.34,29399.04,,,,
16,07/02/2021 15:26:16,32.52,31744.00,,,,
17,07/02/2021 15:41:16,33.03,25333.76,,,,
18,07/02/2021 15:56:16,31.49,14315.52,,,,
19,07/02/2021 16:11:16,28.31,12467.20,,,,
20,07/02/2021 16:26:16,25.65,20961.28,,,,
21,07/02/2021 16:41:16,23.12,5514.24,,,,
22,07/02/2021 16:56:16,22.65,5632.00,,,,
23,07/02/2021 17:11:16,22.52,6159.36,,,,
24,07/02/2021 17:26:16,22.35,4308.48,,,,
25,07/02/2021 17:41:16,22.09,4496.64,,,,
26,07/02/2021 17:56:16,21.92,3720.96,,,,
27,07/02/2021 18:11:16,21.83,3540.48,,,,
28,07/02/2021 18:26:16,22.05,4074.24,,,,
29,07/02/2021 18:41:16,22.39,5322.24,,,,
30,07/02/2021 18:56:16,22.69,7134.72,,,,
31,07/02/2021 19:11:16,22.86,6620.16,,,,
32,07/02/2021 19:26:16,22.95,7221.76,,,,
33,07/02/2021 19:41:16,23.29,9848.32,,,,
34,07/02/2021 19:56:16,22.82,6924.80,,,,
35,07/02/2021 20:11:16,22.78,7441.92,,,,
36,07/02/2021 20:26:16,23.59,7920.64,,,,
37,07/02/2021 20:41:16,22.52,3617.28,,,,
38,07/02/2021 20:56:16,21.88,1222.72,,,,
39,07/02/2021 21:11:16,21.15,99.60,,,,
40,07/02/2021 21:26:16,20.76,5.27,,,,
41,07/02/2021 21:41:16,20.55,0.00,,,,
42,07/02/2021 21:56:16,20.59,0.00,,,,
43,07/02/2021 22:11:16,20.46,0.00,,,,
44,07/02/2021 22:26:16,20.59,0.00,,,,
45,07/02/2021 22:41:16,20.59,0.00,,,,
46,07/02/2021 22:56:16,20.76,0.00,,,,
47,07/02/2021 23:11:16,20.93,0.00,,,,
48,07/02/2021 23:26:16,20.93,0.00,,,,
49,07/02/2021 23:41:16,20.93,0.00,,,,
50,07/02/2021 23:56:16,20.85,0.00,,,,
51,07/03/2021 00:11:16,20.50,0.00,,,,
52,07/03/2021 00:26:16,20.63,0.00,,,,
53,07/03/2021 00:41:16,20.76,0.00,,,,
54,07/03/2021 00:56:16,20.63,0.00,,,,
55,07/03/2021 01:11:16,20.76,0.00,,,,
56,07/03/2021 01:26:16,20.72,0.00,,,,
57,07/03/2021 01:41:16,20.89,0.00,,,,
58,07/03/2021 01:56:16,20.89,0.00,,,,
59,07/03/2021 02:11:16,20.93,0.00,,,,
60,07/03/2021 02:26:16,20.85,0.00,,,,
61,07/03/2021 02:41:16,20.85,0.00,,,,
62,07/03/2021 02:56:16,20.50,0.00,,,,
63,07/03/2021 03:11:16,20.20,0.00,,,,
64,07/03/2021 03:26:16,20.55,0.00,,,,
65,07/03/2021 03:41:16,20.37,0.00,,,,
66,07/03/2021 03:56:16,19.95,0.00,,,,
67,07/03/2021 04:11:16,19.43,0.00,,,,
68,07/03/2021 04:26:16,19.43,0.00,,,,
69,07/03/2021 04:41:16,19.65,0.00,,,,
70,07/03/2021 04:56:16,19.99,0.00,,,,
71,07/03/2021 05:11:16,20.33,0.00,,,,
72,07/03/2021 05:26:16,20.12,0.00,,,,
73,07/03/2021 05:41:16,20.20,0.00,,,,
74,07/03/2021 05:56:16,20.25,0.00,,,,
75,07/03/2021 06:11:16,20.25,0.41,,,,
76,07/03/2021 06:26:16,20.29,23.25,,,,
77,07/03/2021 06:41:16,20.29,450.88,,,,
78,07/03/2021 06:56:16,20.07,1615.36,,,,
79,07/03/2021 07:11:16,20.68,2935.04,,,,
80,07/03/2021 07:26:16,20.68,4399.36,,,,
81,07/03/2021 07:41:16,21.06,5468.16,,,,
82,07/03/2021 07:56:16,21.83,8140.80,,,,
83,07/03/2021 08:11:16,22.39,10001.92,,,,
84,07/03/2021 08:26:16,23.25,11914.24,,,,
