#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 12:08:58,32.82,39731.20,,,,
2,07/02/2021 12:23:58,32.73,46899.20,,,,
3,07/02/2021 12:38:58,36.55,66191.36,,,,
4,07/02/2021 12:53:58,34.19,56832.00,,,,
5,07/02/2021 13:08:58,38.95,104038.40,,,,
6,07/02/2021 13:23:58,47.23,152330.24,,,,
7,07/02/2021 13:38:58,36.03,52367.36,,,,
8,07/02/2021 13:53:58,36.76,68874.24,,,,
9,07/02/2021 14:08:58,37.58,67215.36,,,,
10,07/02/2021 14:23:58,34.92,43417.60,,,,
11,07/02/2021 14:38:58,33.03,37498.88,,,,
12,07/02/2021 14:53:58,30.89,32450.56,,,,
13,07/02/2021 15:08:58,29.90,29747.20,,,,
14,07/02/2021 15:23:58,30.16,33884.16,,,,
15,07/02/2021 15:38:58,30.80,30208.00,,,,
16,07/02/2021 15:53:58,29.64,18155.52,,,,
17,07/02/2021 16:08:58,27.20,11694.08,,,,
18,07/02/2021 16:23:58,24.88,24043.52,,,,
19,07/02/2021 16:38:58,23.12,7009.28,,,,
20,07/02/2021 16:53:58,22.65,5573.12,,,,
21,07/02/2021 17:08:58,22.61,6320.64,,,,
22,07/02/2021 17:23:58,22.39,4756.48,,,,
23,07/02/2021 17:38:58,22.13,4181.76,,,,
24,07/02/2021 17:53:58,21.96,3488.00,,,,
25,07/02/2021 18:08:58,21.83,3290.88,,,,
26,07/02/2021 18:23:58,22.01,3854.08,,,,
27,07/02/2021 18:38:58,22.22,4725.76,,,,
28,07/02/2021 18:53:58,22.43,6161.92,,,,
29,07/02/2021 19:08:58,22.65,6428.16,,,,
30,07/02/2021 19:23:58,22.69,6382.08,,,,
31,07/02/2021 19:38:58,22.91,8814.08,,,,
32,07/02/2021 19:53:58,22.61,6469.12,,,,
33,07/02/2021 20:08:58,22.56,6924.80,,,,
34,07/02/2021 20:23:58,23.16,7472.64,,,,
35,07/02/2021 20:38:58,22.35,3854.08,,,,
36,07/02/2021 20:53:58,21.88,1466.88,,,,
37,07/02/2021 21:08:58,21.28,127.88,,,,
38,07/02/2021 21:23:58,20.93,8.46,,,,
39,07/02/2021 21:38:58,20.85,0.43,,,,
40,07/02/2021 21:53:58,20.85,0.21,,,,
41,07/02/2021 22:08:58,20.85,0.00,,,,
42,07/02/2021 22:23:58,21.02,0.00,,,,
43,07/02/2021 22:38:58,20.89,0.00,,,,
44,07/02/2021 22:53:58,20.98,0.00,,,,
45,07/02/2021 23:08:58,21.02,0.00,,,,
46,07/02/2021 23:23:58,21.06,0.00,,,,
47,07/02/2021 23:38:58,21.06,0.00,,,,
48,07/02/2021 23:53:58,21.02,0.00,,,,
49,07/03/2021 00:08:58,20.80,0.00,,,,
50,07/03/2021 00:23:58,20.76,0.00,,,,
51,07/03/2021 00:38:58,20.93,0.00,,,,
52,07/03/2021 00:53:58,20.80,0.00,,,,
53,07/03/2021 01:08:58,20.93,0.00,,,,
54,07/03/2021 01:23:58,20.89,0.00,,,,
55,07/03/2021 01:38:58,20.98,0.00,,,,
56,07/03/2021 01:53:58,20.98,0.00,,,,
57,07/03/2021 02:08:58,21.02,0.00,,,,
58,07/03/2021 02:23:58,21.02,0.00,,,,
59,07/03/2021 02:38:58,21.02,0.00,,,,
60,07/03/2021 02:53:58,20.72,0.00,,,,
61,07/03/2021 03:08:58,20.50,0.00,,,,
62,07/03/2021 03:23:58,20.72,0.00,,,,
63,07/03/2021 03:38:58,20.59,0.00,,,,
64,07/03/2021 03:53:58,20.20,0.00,,,,
65,07/03/2021 04:08:58,19.77,0.00,,,,
66,07/03/2021 04:23:58,19.69,0.00,,,,
67,07/03/2021 04:38:58,19.99,0.00,,,,
68,07/03/2021 04:53:58,20.12,0.00,,,,
69,07/03/2021 05:08:58,20.46,0.00,,,,
70,07/03/2021 05:23:58,20.33,0.00,,,,
71,07/03/2021 05:38:58,20.37,0.00,,,,
72,07/03/2021 05:53:58,20.29,0.00,,,,
73,07/03/2021 06:08:58,20.42,0.43,,,,
74,07/03/2021 06:23:58,20.37,11.54,,,,
75,07/03/2021 06:38:58,20.37,373.12,,,,
76,07/03/2021 06:53:58,20.20,1287.68,,,,
77,07/03/2021 07:08:58,20.72,3014.40,,,,
78,07/03/2021 07:23:58,20.59,4289.28,,,,
79,07/03/2021 07:38:58,20.98,5644.80,,,,
80,07/03/2021 07:53:58,21.62,8606.72,,,,
81,07/03/2021 08:08:58,22.18,10813.44,,,,
82,07/03/2021 08:23:58,22.95,12887.04,,,,
83,07/03/2021 08:38:58,23.34,13460.48,,,,
84,07/03/2021 08:53:58,23.08,12907.52,,,,
85,07/03/2021 09:08:58,24.75,16230.40,,,,
86,07/03/2021 09:23:58,25.22,27432.96,,,,
87,07/03/2021 09:38:58,29.13,63508.48,,,,
88,07/03/2021 09:53:58,29.68,33914.88,,,,
89,07/03/2021 10:08:58,29.38,33239.04,,,,
90,07/03/2021 10:23:58,36.89,75366.40,,,,
91,07/03/2021 10:38:58,34.88,32962.56,,,,
92,07/03/2021 10:53:58,31.36,32133.12,,,,
93,07/03/2021 11:08:58,31.49,28016.64,,,,
94,07/03/2021 11:23:58,41.48,76718.08,,,,
95,07/03/2021 11:38:58,34.83,31631.36,,,,
96,07/03/2021 11:53:58,32.39,33710.08,,,,
97,07/03/2021 12:08:58,41.70,78315.52,,,,
98,07/03/2021 12:23:58,41.57,118988.80,,,,
99,07/03/2021 12:38:58,40.75,40898.56,,,,
100,07/03/2021 12:53:58,40.97,49418.24,,,,
101,07/03/2021 13:08:58,42.90,60129.28,,,,
102,07/03/2021 13:23:58,46.67,118046.72,,,,
103,07/03/2021 13:38:58,48.17,117268.48,,,,
104,07/03/2021 13:53:58,53.54,39813.12,,,,
105,07/03/2021 14:08:58,35.56,35133.44,,,,
106,07/03/2021 14:23:58,48.86,41052.16,,,,
107,07/03/2021 14:38:58,38.09,36567.04,,,,
108,07/03/2021 14:53:58,45.09,114073.60,,,,
109,07/03/2021 15:08:58,48.22,109690.88,,,,
110,07/03/2021 15:23:58,45.26,108216.32,,,,
111,07/03/2021 15:38:58,37.19,29378.56,,,,
112,07/03/2021 15:53:58,43.76,94208.00,,,,
113,07/03/2021 16:08:58,45.47,94044.16,,,,
114,07/03/2021 16:23:58,47.66,86384.64,,,,
115,07/03/2021 16:38:58,48.35,34457.60,,,,
116,07/03/2021 16:53:58,33.93,23357.44,,,,
117,07/03/2021 17:08:58,44.87,41134.08,,,,
