#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:31:40,35.65,44462.08,,,,
2,07/02/2021 11:46:40,33.29,51978.24,,,,
3,07/02/2021 12:01:40,33.55,48332.80,,,,
4,07/02/2021 12:16:40,32.47,42475.52,,,,
5,07/02/2021 12:28:11,,,Logged,,,
6,07/02/2021 12:28:16,,,,Logged,,
7,07/02/2021 12:28:18,,,Logged,,,
8,07/02/2021 12:28:19,,,Logged,Logged,,
9,07/02/2021 12:28:20,,,Logged,Logged,,
10,07/02/2021 12:28:26,,,Logged,,,
11,07/02/2021 12:28:31,,,,Logged,,
12,07/02/2021 12:31:40,33.76,70205.44,,,,
13,07/02/2021 12:46:40,33.89,48824.32,,,,
14,07/02/2021 13:01:40,35.90,70389.76,,,,
15,07/02/2021 13:16:40,42.34,93593.60,,,,
16,07/02/2021 13:31:40,38.35,66273.28,,,,
17,07/02/2021 13:46:40,36.25,54128.64,,,,
18,07/02/2021 14:01:40,37.41,77455.36,,,,
19,07/02/2021 14:16:40,35.18,47575.04,,,,
20,07/02/2021 14:31:40,33.55,40120.32,,,,
21,07/02/2021 14:46:40,32.34,37201.92,,,,
22,07/02/2021 15:01:40,30.03,28334.08,,,,
23,07/02/2021 15:16:40,30.03,27299.84,,,,
24,07/02/2021 15:31:40,30.37,33095.68,,,,
25,07/02/2021 15:46:40,30.37,25610.24,,,,
26,07/02/2021 16:01:40,28.31,13864.96,,,,
27,07/02/2021 16:16:40,25.65,22149.12,,,,
28,07/02/2021 16:31:40,24.24,14223.36,,,,
29,07/02/2021 16:46:40,22.95,5550.08,,,,
30,07/02/2021 17:01:40,23.08,6545.92,,,,
31,07/02/2021 17:16:40,22.65,5762.56,,,,
32,07/02/2021 17:31:40,22.26,3710.72,,,,
33,07/02/2021 17:46:40,22.13,3840.00,,,,
34,07/02/2021 18:01:40,22.05,3496.96,,,,
35,07/02/2021 18:16:40,22.09,3978.24,,,,
36,07/02/2021 18:31:40,22.13,4307.20,,,,
37,07/02/2021 18:46:40,22.22,5098.24,,,,
38,07/02/2021 19:01:40,22.56,7354.88,,,,
39,07/02/2021 19:16:40,22.56,6699.52,,,,
40,07/02/2021 19:31:40,22.78,8391.68,,,,
41,07/02/2021 19:46:40,22.91,9008.64,,,,
42,07/02/2021 20:01:40,22.52,7741.44,,,,
43,07/02/2021 20:16:40,23.64,10644.48,,,,
44,07/02/2021 20:31:40,22.91,6392.32,,,,
45,07/02/2021 20:46:40,22.22,2905.60,,,,
46,07/02/2021 21:01:40,21.75,623.68,,,,
47,07/02/2021 21:16:40,21.28,38.80,,,,
48,07/02/2021 21:31:40,21.06,2.33,,,,
49,07/02/2021 21:46:40,21.02,0.00,,,,
50,07/02/2021 22:01:40,20.93,0.00,,,,
51,07/02/2021 22:16:40,21.02,0.00,,,,
52,07/02/2021 22:31:40,21.02,0.00,,,,
53,07/02/2021 22:46:40,21.02,0.00,,,,
54,07/02/2021 23:01:40,21.15,0.00,,,,
55,07/02/2021 23:16:40,21.28,0.00,,,,
56,07/02/2021 23:31:40,21.32,0.00,,,,
57,07/02/2021 23:46:40,21.32,0.00,,,,
58,07/03/2021 00:01:40,21.28,0.00,,,,
59,07/03/2021 00:16:40,21.06,0.00,,,,
60,07/03/2021 00:31:40,21.19,0.00,,,,
61,07/03/2021 00:46:40,21.15,0.00,,,,
62,07/03/2021 01:01:40,21.10,0.00,,,,
63,07/03/2021 01:16:40,21.15,0.00,,,,
64,07/03/2021 01:31:40,21.10,0.00,,,,
65,07/03/2021 01:46:40,21.32,0.00,,,,
66,07/03/2021 02:01:40,21.23,0.00,,,,
67,07/03/2021 02:16:40,21.23,0.00,,,,
68,07/03/2021 02:31:40,21.23,0.00,,,,
69,07/03/2021 02:46:40,21.10,0.00,,,,
70,07/03/2021 03:01:40,20.68,0.00,,,,
71,07/03/2021 03:16:40,20.85,0.00,,,,
72,07/03/2021 03:31:40,20.89,0.00,,,,
73,07/03/2021 03:46:40,20.50,0.00,,,,
74,07/03/2021 04:01:40,20.16,0.00,,,,
75,07/03/2021 04:16:40,19.77,0.00,,,,
76,07/03/2021 04:31:40,20.12,0.00,,,,
77,07/03/2021 04:46:40,20.07,0.00,,,,
78,07/03/2021 05:01:40,20.42,0.00,,,,
79,07/03/2021 05:16:40,20.50,0.00,,,,
80,07/03/2021 05:31:40,20.29,0.00,,,,
81,07/03/2021 05:46:40,20.29,0.00,,,,
82,07/03/2021 06:01:40,20.42,0.00,,,,
83,07/03/2021 06:16:40,20.33,3.18,,,,
84,07/03/2021 06:31:40,20.37,133.04,,,,
85,07/03/2021 06:46:40,20.29,736.32,,,,
86,07/03/2021 07:01:40,21.10,3466.24,,,,
87,07/03/2021 07:16:40,20.72,3893.76,,,,
88,07/03/2021 07:31:40,20.98,6064.64,,,,
89,07/03/2021 07:46:40,21.32,7244.80,,,,
90,07/03/2021 08:01:40,22.13,11566.08,,,,
91,07/03/2021 08:16:40,22.78,13148.16,,,,
92,07/03/2021 08:31:40,23.59,16384.00,,,,
93,07/03/2021 08:46:40,23.51,14904.32,,,,
94,07/03/2021 09:01:40,24.79,22497.28,,,,
95,07/03/2021 09:16:40,24.28,19225.60,,,,
96,07/03/2021 09:31:40,27.93,52797.44,,,,
97,07/03/2021 09:46:40,33.67,76472.32,,,,
98,07/03/2021 10:01:40,28.61,31948.80,,,,
99,07/03/2021 10:16:40,30.97,74219.52,,,,
100,07/03/2021 10:31:40,37.58,75919.36,,,,
101,07/03/2021 10:46:40,33.33,38307.84,,,,
102,07/03/2021 11:01:40,33.97,45813.76,,,,
103,07/03/2021 11:16:40,30.93,39976.96,,,,
104,07/03/2021 11:31:40,37.23,39229.44,,,,
105,07/03/2021 11:46:40,32.73,33955.84,,,,
106,07/03/2021 12:01:40,39.72,115507.20,,,,
107,07/03/2021 12:16:40,34.45,41502.72,,,,
108,07/03/2021 12:31:40,42.85,112680.96,,,,
109,07/03/2021 12:46:40,36.85,44625.92,,,,
110,07/03/2021 13:01:40,41.87,121282.56,,,,
111,07/03/2021 13:16:40,42.04,122019.84,,,,
112,07/03/2021 13:31:40,42.68,58101.76,,,,
113,07/03/2021 13:46:40,49.72,118620.16,,,,
114,07/03/2021 14:01:40,37.66,34037.76,,,,
115,07/03/2021 14:16:40,43.07,122183.68,,,,
116,07/03/2021 14:31:40,47.06,116899.84,,,,
117,07/03/2021 14:46:40,36.16,49336.32,,,,
118,07/03/2021 15:01:40,45.51,112721.92,,,,
119,07/03/2021 15:16:40,37.11,30638.08,,,,
120,07/03/2021 15:31:40,44.91,99164.16,,,,
121,07/03/2021 15:46:40,33.33,24156.16,,,,
122,07/03/2021 16:01:40,46.03,99901.44,,,,
123,07/03/2021 16:16:40,45.73,89210.88,,,,
124,07/03/2021 16:31:40,47.45,89333.76,,,,
125,07/03/2021 16:46:40,35.95,21207.04,,,,
126,07/03/2021 17:01:40,33.46,26357.76,,,,
127,07/03/2021 17:16:40,34.57,23777.28,,,,
128,07/03/2021 17:31:40,39.77,75653.12,,,,
129,07/03/2021 17:46:40,38.14,59555.84,,,,
130,07/03/2021 18:01:40,41.35,57221.12,,,,
131,07/03/2021 18:16:40,32.34,15969.28,,,,
132,07/03/2021 18:31:40,33.46,17935.36,,,,
133,07/03/2021 18:46:40,37.19,45015.04,,,,
134,07/03/2021 19:01:40,37.02,42106.88,,,,
135,07/03/2021 19:16:40,30.84,13378.56,,,,
136,07/03/2021 19:31:40,27.88,7285.76,,,,
137,07/03/2021 19:46:40,27.07,6376.96,,,,
138,07/03/2021 20:01:40,26.68,6046.72,,,,
139,07/03/2021 20:16:40,26.42,6131.20,,,,
140,07/03/2021 20:31:40,25.39,3013.12,,,,
141,07/03/2021 20:46:40,24.84,1534.72,,,,
142,07/03/2021 21:01:40,24.19,369.28,,,,
143,07/03/2021 21:16:40,24.02,36.25,,,,
144,07/03/2021 21:31:40,23.68,1.48,,,,
145,07/03/2021 21:46:40,23.38,0.00,,,,
146,07/03/2021 22:01:40,23.38,0.00,,,,
147,07/03/2021 22:16:40,22.82,0.00,,,,
148,07/03/2021 22:31:40,22.73,0.00,,,,
149,07/03/2021 22:46:40,22.48,0.00,,,,
150,07/03/2021 23:01:40,22.13,0.00,,,,
151,07/03/2021 23:16:40,22.35,0.00,,,,
152,07/03/2021 23:31:40,22.18,0.00,,,,
153,07/03/2021 23:46:40,22.09,0.00,,,,
154,07/04/2021 00:01:40,21.83,0.00,,,,
155,07/04/2021 00:16:40,21.75,0.00,,,,
156,07/04/2021 00:31:40,21.62,0.00,,,,
157,07/04/2021 00:46:40,21.49,0.00,,,,
158,07/04/2021 01:01:40,21.28,0.00,,,,
159,07/04/2021 01:16:40,20.89,0.00,,,,
160,07/04/2021 01:31:40,20.85,0.00,,,,
161,07/04/2021 01:46:40,20.76,0.00,,,,
162,07/04/2021 02:01:40,20.85,0.00,,,,
163,07/04/2021 02:16:40,20.80,0.00,,,,
164,07/04/2021 02:31:40,20.93,0.00,,,,
165,07/04/2021 02:46:40,20.80,0.00,,,,
166,07/04/2021 03:01:40,20.59,0.00,,,,
167,07/04/2021 03:16:40,20.25,0.00,,,,
168,07/04/2021 03:31:40,20.29,0.00,,,,
169,07/04/2021 03:46:40,20.07,0.00,,,,
170,07/04/2021 04:01:40,20.29,0.00,,,,
171,07/04/2021 04:16:40,20.12,0.00,,,,
172,07/04/2021 04:31:40,20.12,0.00,,,,
173,07/04/2021 04:46:40,20.12,0.00,,,,
174,07/04/2021 05:01:40,20.07,0.00,,,,
175,07/04/2021 05:16:40,19.90,0.00,,,,
176,07/04/2021 05:31:40,19.77,0.00,,,,
177,07/04/2021 05:46:40,20.29,0.00,,,,
178,07/04/2021 06:01:40,20.25,0.00,,,,
179,07/04/2021 06:16:40,20.46,2.96,,,,
180,07/04/2021 06:31:40,20.50,51.62,,,,
181,07/04/2021 06:46:40,20.68,476.96,,,,
182,07/04/2021 07:01:40,20.89,1304.32,,,,
183,07/04/2021 07:16:40,21.06,1964.16,,,,
184,07/04/2021 07:31:40,21.32,3459.84,,,,
185,07/04/2021 07:46:40,21.70,7897.60,,,,
186,07/04/2021 08:01:40,23.16,12917.76,,,,
187,07/04/2021 08:16:40,23.72,11002.88,,,,
188,07/04/2021 08:31:40,23.38,11125.76,,,,
189,07/04/2021 08:46:40,23.72,11089.92,,,,
190,07/04/2021 09:01:40,23.89,14535.68,,,,
191,07/04/2021 09:16:40,26.30,26408.96,,,,
192,07/04/2021 09:31:40,26.34,23029.76,,,,
193,07/04/2021 09:46:40,28.35,24371.20,,,,
194,07/04/2021 10:01:40,30.54,42516.48,,,,
195,07/04/2021 10:16:40,31.44,38236.16,,,,
196,07/04/2021 10:31:40,33.59,45547.52,,,,
197,07/04/2021 10:46:40,37.62,46366.72,,,,
198,07/04/2021 11:01:40,35.00,45547.52,,,,
199,07/04/2021 11:16:40,41.40,92692.48,,,,
200,07/04/2021 11:31:40,38.31,29440.00,,,,
201,07/04/2021 11:46:40,35.05,31324.16,,,,
202,07/04/2021 12:01:40,43.80,102440.96,,,,
203,07/04/2021 12:16:40,43.84,102400.00,,,,
204,07/04/2021 12:31:40,39.25,107110.40,,,,
205,07/04/2021 12:46:40,47.06,88227.84,,,,
206,07/04/2021 13:01:40,46.97,115589.12,,,,
207,07/04/2021 13:16:40,47.06,106946.56,,,,
208,07/04/2021 13:31:40,45.64,109240.32,,,,
209,07/04/2021 13:46:40,47.23,81960.96,,,,
210,07/04/2021 14:01:40,38.65,115425.28,,,,
211,07/04/2021 14:16:40,46.12,115630.08,,,,
212,07/04/2021 14:31:40,43.88,96215.04,,,,
213,07/04/2021 14:46:40,45.60,107110.40,,,,
214,07/04/2021 15:01:40,50.75,105758.72,,,,
215,07/04/2021 15:16:40,50.28,103915.52,,,,
216,07/04/2021 15:31:40,49.55,100597.76,,,,
217,07/04/2021 15:46:40,49.80,95764.48,,,,
218,07/04/2021 16:01:40,49.50,92815.36,,,,
219,07/04/2021 16:16:40,44.83,23644.16,,,,
220,07/04/2021 16:31:40,52.21,92651.52,,,,
221,07/04/2021 16:46:40,44.70,35358.72,,,,
222,07/04/2021 17:01:40,34.36,18160.64,,,,
223,07/04/2021 17:16:40,39.04,25405.44,,,,
224,07/04/2021 17:31:40,43.71,63488.00,,,,
225,07/04/2021 17:46:40,44.10,59781.12,,,,
226,07/04/2021 18:01:40,43.20,54538.24,,,,
227,07/04/2021 18:16:40,42.34,48885.76,,,,
228,07/04/2021 18:31:40,41.27,45486.08,,,,
229,07/04/2021 18:46:40,33.63,14960.64,,,,
230,07/04/2021 19:01:40,32.43,12938.24,,,,
