#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:53:03,38.22,74670.08,,,,
2,07/02/2021 12:08:03,38.56,45076.48,,,,
3,07/02/2021 12:23:03,36.46,44564.48,,,,
4,07/02/2021 12:38:03,40.75,62238.72,,,,
5,07/02/2021 12:53:03,37.88,54251.52,,,,
6,07/02/2021 13:08:03,43.16,70676.48,,,,
7,07/02/2021 13:23:03,54.65,129884.16,,,,
8,07/02/2021 13:38:03,42.98,50257.92,,,,
9,07/02/2021 13:53:03,40.67,68259.84,,,,
10,07/02/2021 14:08:03,42.43,71639.04,,,,
11,07/02/2021 14:23:03,39.42,46223.36,,,,
12,07/02/2021 14:38:03,36.93,36290.56,,,,
13,07/02/2021 14:53:03,33.76,32860.16,,,,
14,07/02/2021 15:08:03,31.92,28743.68,,,,
15,07/02/2021 15:23:03,32.00,32696.32,,,,
16,07/02/2021 15:38:03,32.64,29061.12,,,,
17,07/02/2021 15:53:03,32.09,17054.72,,,,
18,07/02/2021 16:08:03,29.30,11038.72,,,,
19,07/02/2021 16:23:03,25.78,25651.20,,,,
20,07/02/2021 16:38:03,23.55,8028.16,,,,
21,07/02/2021 16:53:03,22.65,5793.28,,,,
22,07/02/2021 17:08:03,22.52,6673.92,,,,
23,07/02/2021 17:23:03,22.35,4961.28,,,,
24,07/02/2021 17:38:03,22.01,4401.92,,,,
25,07/02/2021 17:53:03,21.92,3809.28,,,,
26,07/02/2021 18:08:03,21.75,3504.64,,,,
27,07/02/2021 18:23:03,21.96,4030.72,,,,
28,07/02/2021 18:38:03,22.18,4947.20,,,,
29,07/02/2021 18:53:03,22.43,6369.28,,,,
30,07/02/2021 19:08:03,22.78,6824.96,,,,
31,07/02/2021 19:23:03,22.78,6694.40,,,,
32,07/02/2021 19:38:03,23.03,9313.28,,,,
33,07/02/2021 19:53:03,22.78,6955.52,,,,
34,07/02/2021 20:08:03,22.56,7270.40,,,,
35,07/02/2021 20:23:03,23.38,7352.32,,,,
36,07/02/2021 20:38:03,22.56,4177.92,,,,
37,07/02/2021 20:53:03,21.92,1807.36,,,,
38,07/02/2021 21:08:03,21.28,161.52,,,,
39,07/02/2021 21:23:03,20.89,10.67,,,,
40,07/02/2021 21:38:03,20.68,0.20,,,,
41,07/02/2021 21:53:03,20.63,0.00,,,,
42,07/02/2021 22:08:03,20.55,0.00,,,,
43,07/02/2021 22:23:03,20.50,0.00,,,,
44,07/02/2021 22:38:03,20.59,0.00,,,,
45,07/02/2021 22:53:03,20.72,0.00,,,,
46,07/02/2021 23:08:03,20.93,0.00,,,,
47,07/02/2021 23:23:03,20.93,0.00,,,,
48,07/02/2021 23:38:03,21.02,0.00,,,,
49,07/02/2021 23:53:03,20.89,0.00,,,,
50,07/03/2021 00:08:03,20.63,0.00,,,,
51,07/03/2021 00:23:03,20.63,0.00,,,,
52,07/03/2021 00:38:03,20.72,0.00,,,,
53,07/03/2021 00:53:03,20.63,0.00,,,,
54,07/03/2021 01:08:03,20.72,0.00,,,,
55,07/03/2021 01:23:03,20.72,0.00,,,,
56,07/03/2021 01:38:03,20.80,0.00,,,,
57,07/03/2021 01:53:03,20.85,0.00,,,,
58,07/03/2021 02:08:03,20.85,0.00,,,,
59,07/03/2021 02:23:03,20.85,0.00,,,,
60,07/03/2021 02:38:03,20.85,0.00,,,,
61,07/03/2021 02:53:03,20.59,0.00,,,,
62,07/03/2021 03:08:03,20.20,0.00,,,,
63,07/03/2021 03:23:03,20.50,0.00,,,,
64,07/03/2021 03:38:03,20.37,0.00,,,,
65,07/03/2021 03:53:03,20.03,0.00,,,,
66,07/03/2021 04:08:03,19.60,0.00,,,,
67,07/03/2021 04:23:03,19.30,0.00,,,,
68,07/03/2021 04:38:03,19.60,0.00,,,,
69,07/03/2021 04:53:03,19.77,0.00,,,,
70,07/03/2021 05:08:03,20.25,0.00,,,,
71,07/03/2021 05:23:03,20.25,0.00,,,,
72,07/03/2021 05:38:03,20.07,0.00,,,,
73,07/03/2021 05:53:03,20.12,0.00,,,,
74,07/03/2021 06:08:03,20.25,0.20,,,,
75,07/03/2021 06:23:03,20.20,10.46,,,,
76,07/03/2021 06:38:03,20.29,322.40,,,,
77,07/03/2021 06:53:03,20.03,1209.28,,,,
78,07/03/2021 07:08:03,20.68,3221.76,,,,
79,07/03/2021 07:23:03,20.55,4194.56,,,,
80,07/03/2021 07:38:03,20.93,5460.48,,,,
81,07/03/2021 07:53:03,21.62,8248.32,,,,
82,07/03/2021 08:08:03,22.18,10746.88,,,,
83,07/03/2021 08:23:03,22.99,12912.64,,,,
84,07/03/2021 08:38:03,23.38,13404.16,,,,
85,07/03/2021 08:53:03,23.25,12083.20,,,,
86,07/03/2021 09:08:03,25.09,19671.04,,,,
87,07/03/2021 09:23:03,25.27,27934.72,,,,
88,07/03/2021 09:38:03,29.13,34949.12,,,,
89,07/03/2021 09:53:03,31.92,32788.48,,,,
90,07/03/2021 10:08:03,29.94,33955.84,,,,
91,07/03/2021 10:23:03,39.59,81489.92,,,,
92,07/03/2021 10:38:03,43.58,76922.88,,,,
93,07/03/2021 10:53:03,36.29,30105.60,,,,
94,07/03/2021 11:08:03,34.53,27310.08,,,,
95,07/03/2021 11:23:03,44.27,104243.20,,,,
96,07/03/2021 11:38:03,39.55,31262.72,,,,
97,07/03/2021 11:53:03,35.18,32522.24,,,,
98,07/03/2021 12:08:03,47.87,57344.00,,,,
99,07/03/2021 12:23:03,43.03,116326.40,,,,
100,07/03/2021 12:38:03,48.43,39598.08,,,,
101,07/03/2021 12:53:03,43.88,43499.52,,,,
102,07/03/2021 13:08:03,52.16,36997.12,,,,
103,07/03/2021 13:23:03,52.25,97157.12,,,,
104,07/03/2021 13:38:03,58.13,113704.96,,,,
105,07/03/2021 13:53:03,63.40,120422.40,,,,
106,07/03/2021 14:08:03,42.94,35430.40,,,,
107,07/03/2021 14:23:03,57.61,118784.00,,,,
108,07/03/2021 14:38:03,48.73,35696.64,,,,
109,07/03/2021 14:53:03,48.13,113664.00,,,,
110,07/03/2021 15:08:03,54.65,109240.32,,,,
111,07/03/2021 15:23:03,47.02,109158.40,,,,
112,07/03/2021 15:38:03,45.56,30679.04,,,,
113,07/03/2021 15:53:03,47.79,95846.40,,,,
114,07/03/2021 16:08:03,52.64,97320.96,,,,
115,07/03/2021 16:23:03,56.63,88678.40,,,,
116,07/03/2021 16:38:03,57.57,92856.32,,,,
117,07/03/2021 16:53:03,39.42,22241.28,,,,
118,07/03/2021 17:08:03,42.68,79482.88,,,,
119,07/03/2021 17:23:03,36.59,24954.88,,,,
120,07/03/2021 17:38:03,35.95,22036.48,,,,
121,07/03/2021 17:53:03,44.87,63283.20,,,,
122,07/03/2021 18:08:03,42.98,20106.24,,,,
123,07/03/2021 18:23:03,36.46,20526.08,,,,
