#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 12:01:56,35.60,46755.84,,,,
2,07/02/2021 12:16:56,36.33,39178.24,,,,
3,07/02/2021 12:31:56,38.56,68464.64,,,,
4,07/02/2021 12:46:56,38.82,45608.96,,,,
5,07/02/2021 13:01:56,40.41,67809.28,,,,
6,07/02/2021 13:16:56,47.14,92119.04,,,,
7,07/02/2021 13:31:56,47.87,70533.12,,,,
8,07/02/2021 13:46:56,42.00,48271.36,,,,
9,07/02/2021 14:01:56,44.23,57241.60,,,,
10,07/02/2021 14:16:56,40.62,41697.28,,,,
11,07/02/2021 14:31:56,37.41,37253.12,,,,
12,07/02/2021 14:46:56,35.48,34662.40,,,,
13,07/02/2021 15:01:56,32.43,26122.24,,,,
14,07/02/2021 15:16:56,31.96,24135.68,,,,
15,07/02/2021 15:31:56,32.39,28487.68,,,,
16,07/02/2021 15:46:56,32.77,23193.60,,,,
17,07/02/2021 16:01:56,30.20,12426.24,,,,
18,07/02/2021 16:16:56,27.84,20884.48,,,,
19,07/02/2021 16:31:56,26.21,13818.88,,,,
20,07/02/2021 16:46:56,24.06,5529.60,,,,
21,07/02/2021 17:01:56,23.81,6466.56,,,,
22,07/02/2021 17:16:56,23.03,5342.72,,,,
23,07/02/2021 17:31:56,22.43,3616.00,,,,
24,07/02/2021 17:46:56,22.26,3836.16,,,,
25,07/02/2021 18:01:56,22.09,3534.08,,,,
26,07/02/2021 18:16:56,22.05,3865.60,,,,
27,07/02/2021 18:31:56,22.31,4250.88,,,,
28,07/02/2021 18:46:56,22.52,5258.24,,,,
29,07/02/2021 19:01:56,22.86,6661.12,,,,
30,07/02/2021 19:16:56,22.99,6062.08,,,,
31,07/02/2021 19:31:56,23.16,7626.24,,,,
32,07/02/2021 19:46:56,23.29,8030.72,,,,
33,07/02/2021 20:01:56,22.82,6906.88,,,,
34,07/02/2021 20:16:56,23.68,10142.72,,,,
35,07/02/2021 20:31:56,23.21,5693.44,,,,
36,07/02/2021 20:46:56,22.35,2567.04,,,,
37,07/02/2021 21:01:56,21.79,535.84,,,,
38,07/02/2021 21:16:56,21.32,34.03,,,,
39,07/02/2021 21:31:56,20.98,2.04,,,,
40,07/02/2021 21:46:56,20.98,0.00,,,,
41,07/02/2021 22:01:56,20.93,0.00,,,,
42,07/02/2021 22:16:56,20.85,0.00,,,,
43,07/02/2021 22:31:56,20.89,0.00,,,,
44,07/02/2021 22:46:56,20.98,0.00,,,,
45,07/02/2021 23:01:56,21.10,0.00,,,,
46,07/02/2021 23:16:56,21.15,0.00,,,,
47,07/02/2021 23:31:56,21.15,0.00,,,,
48,07/02/2021 23:46:56,21.10,0.00,,,,
49,07/03/2021 00:01:56,21.02,0.00,,,,
50,07/03/2021 00:16:56,20.76,0.00,,,,
51,07/03/2021 00:31:56,20.85,0.00,,,,
52,07/03/2021 00:46:56,20.98,0.00,,,,
53,07/03/2021 01:01:56,20.93,0.00,,,,
54,07/03/2021 01:16:56,20.98,0.00,,,,
55,07/03/2021 01:31:56,20.93,0.00,,,,
56,07/03/2021 01:46:56,21.10,0.00,,,,
57,07/03/2021 02:01:56,21.02,0.00,,,,
58,07/03/2021 02:16:56,21.06,0.00,,,,
59,07/03/2021 02:31:56,21.06,0.00,,,,
60,07/03/2021 02:46:56,20.98,0.00,,,,
