#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/02/2021 11:24:37,41.95,52838.40,,,,
2,07/02/2021 11:39:37,39.94,49582.08,,,,
3,07/02/2021 11:54:37,42.25,61440.00,,,,
4,07/02/2021 12:09:37,39.29,42127.36,,,,
5,07/02/2021 12:24:37,37.62,49111.04,,,,
6,07/02/2021 12:39:37,42.00,61480.96,,,,
7,07/02/2021 12:54:37,38.86,55848.96,,,,
8,07/02/2021 13:09:37,44.23,74956.80,,,,
9,07/02/2021 13:24:37,58.99,155279.36,,,,
10,07/02/2021 13:39:37,44.66,51793.92,,,,
11,07/02/2021 13:54:37,42.68,79032.32,,,,
12,07/02/2021 14:09:37,44.48,59473.92,,,,
13,07/02/2021 14:24:37,41.31,49602.56,,,,
14,07/02/2021 14:39:37,37.66,36413.44,,,,
15,07/02/2021 14:54:37,33.85,31795.20,,,,
16,07/02/2021 15:09:37,32.43,30146.56,,,,
17,07/02/2021 15:24:37,32.64,32368.64,,,,
18,07/02/2021 15:39:37,33.37,29603.84,,,,
19,07/02/2021 15:54:37,32.34,17443.84,,,,
20,07/02/2021 16:09:37,28.95,12057.60,,,,
21,07/02/2021 16:24:37,25.69,22507.52,,,,
22,07/02/2021 16:39:37,23.38,5841.92,,,,
23,07/02/2021 16:54:37,22.65,5470.72,,,,
24,07/02/2021 17:09:37,22.56,6056.96,,,,
25,07/02/2021 17:24:37,22.35,4440.32,,,,
26,07/02/2021 17:39:37,22.05,4185.60,,,,
27,07/02/2021 17:54:37,21.88,3406.08,,,,
28,07/02/2021 18:09:37,21.83,3200.00,,,,
29,07/02/2021 18:24:37,22.01,3550.72,,,,
30,07/02/2021 18:39:37,22.35,4417.28,,,,
31,07/02/2021 18:54:37,22.56,6922.24,,,,
32,07/02/2021 19:09:37,22.69,6914.56,,,,
33,07/02/2021 19:24:37,22.82,7201.28,,,,
34,07/02/2021 19:39:37,23.21,9971.20,,,,
35,07/02/2021 19:54:37,22.86,7014.40,,,,
36,07/02/2021 20:09:37,22.73,7600.64,,,,
37,07/02/2021 20:24:37,23.55,8616.96,,,,
38,07/02/2021 20:39:37,22.56,4208.64,,,,
39,07/02/2021 20:54:37,21.92,1509.76,,,,
40,07/02/2021 21:09:37,21.28,133.48,,,,
