Company,Address,City,State,Zip,LID,ID,Received,Processed,Grower,SampleID,FarmID,FieldID,GrowerAcct,P (lbs/a),K (lbs/a),Mg (lbs/a),Ca (lbs/a),pHw,pHb,CEC,BS-K,BS-Mg,BS-Ca,BS-H,BS-Na,S (lbs/a),B (lbs/a),Zn (lbs/a),Mn (lbs/a),Fe (lbs/a),Cu (lbs/a),Lime,Gypsum,Nitrogen1,Phosphate2,Phosphate1,Potassium2,Potash1,Magnesium1,Sulfur1,Boron1,Zinc1,Manganese1,Iron1,Copper1,Crop,Yield,Al (lbs/a),Na (lbs/a),OM,NitN (ppm),NH4 (ppm),Mo (ppm),Ni (ppm)
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178421OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1,I1,,,23,966,1486,2822,8.7,7.85,16.2,7.6,38.2,43.5,7.4,3.2,28,8.7,1.4,155,67,2.6,0,,,*,,,,,,,,,,,NO CROP,,,239,0.79,4.34,2.13,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178422OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,I1,,,20,1008,1578,2865,8.5,7.8,16.8,7.7,39.2,42.7,9.5,1,19,6.7,1.5,167,61,2.7,0,,,*,,,,,,,,,,,NO CROP,,,74,0.85,3.25,1.62,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178423OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,I1,,,22,985,1663,2914,8.7,7.85,17.1,7.4,40.6,42.7,7,2.2,30,10.3,1.4,164,67,2.7,0,,,*,,,,,,,,,,,NO CROP,,,176,0.85,2.2,0.91,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178424OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,I1,,,27,871,1686,2789,8.7,7.85,16.7,6.7,42.1,41.8,7.2,2.3,32,8.8,1.8,154,66,2.6,0,,,*,,,,,,,,,,,NO CROP,,,177,0.84,7.48,2.69,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178425OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2,I1,,,24,898,1605,2790,8.7,7.85,16.5,7,40.6,42.3,7.3,2.8,20,9,1.6,161,65,2.6,0,,,*,,,,,,,,,,,NO CROP,,,214,0.8,2.14,1.38,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178426OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2,I1,,,31,889,1382,2842,8.2,7.8,15.7,7.2,36.6,45.1,10.2,0.9,19,5.5,1.8,150,57,2.5,0,,,*,,,,,,,,,,,NO CROP,,,66,3.59,6.66,4.91,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178427OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2,I1,,,19,1022,1584,2975,8.7,7.85,17.2,7.6,38.5,43.4,7,3.5,47,9.9,1.5,162,74,2.8,0,,,*,,,,,,,,,,,NO CROP,,,279,0.77,4.4,1.52,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178428OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2,I1,,,28,976,1559,2856,8.4,7.85,16.5,7.6,39.3,43.2,7.3,2.7,62,7.9,2,150,65,2.6,0,,,*,,,,,,,,,,,NO CROP,,,204,1.07,9,2.02,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178429OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1,I2,,,27,864,1744,3293,8.4,7.8,18.6,5.9,39,44.2,8.6,2.2,33,9.9,2.3,156,105,3,0,,,*,,,,,,,,,,,NO CROP,,,189,0.92,3.41,2.01,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178430OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,I2,,,31,912,1869,3557,8.5,7.8,19.7,5.9,39.6,45.2,8.1,1.2,17,8,2.3,169,85,3.2,0,,,*,,,,,,,,,,,NO CROP,,,105,1,5.96,2.09,,
