1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F70000007863EA41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:23:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:23:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27988
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:23:01 AM,%RH,49.406
6/9/22 10:23:01 AM,%RH,50.04
6/9/22 12:23:01 PM,%RH,45.56
6/9/22 2:23:01 PM,%RH,47.491
6/9/22 4:23:01 PM,%RH,43.611
6/9/22 6:23:01 PM,%RH,41.646
6/9/22 8:23:01 PM,%RH,42.303
6/9/22 10:23:01 PM,%RH,39.663
6/10/22 12:23:01 AM,%RH,42.958
6/10/22 2:23:01 AM,%RH,42.303
6/10/22 4:23:01 AM,%RH,43.611
6/10/22 6:23:01 AM,%RH,43.611
6/10/22 8:23:01 AM,%RH,49.406
6/10/22 10:23:01 AM,%RH,35.647
6/10/22 12:23:01 PM,%RH,26.01
6/10/22 2:23:01 PM,%RH,18.899
6/10/22 4:23:01 PM,%RH,16.002
6/10/22 6:23:01 PM,%RH,15.273
6/10/22 8:23:01 PM,%RH,19.619
6/10/22 10:23:01 PM,%RH,26.71
6/11/22 12:23:01 AM,%RH,30.185
6/11/22 2:23:01 AM,%RH,35.647
6/11/22 4:23:01 AM,%RH,40.987
6/11/22 6:23:01 AM,%RH,47.491
6/11/22 8:23:01 AM,%RH,41.646
6/11/22 10:23:01 AM,%RH,28.106
6/11/22 12:23:01 PM,%RH,18.178
6/11/22 2:23:01 PM,%RH,13.075
6/11/22 4:23:01 PM,%RH,10.859
6/11/22 6:23:01 PM,%RH,10.117
6/11/22 8:23:01 PM,%RH,12.338
6/11/22 10:23:01 PM,%RH,19.619
6/12/22 12:23:01 AM,%RH,23.188
6/12/22 2:23:01 AM,%RH,29.494
6/12/22 4:23:01 AM,%RH,34.971
6/12/22 6:23:01 AM,%RH,38.998
6/12/22 8:23:01 AM,%RH,36.993
6/12/22 10:23:01 AM,%RH,27.409
6/12/22 12:23:01 PM,%RH,18.178
6/12/22 2:23:01 PM,%RH,13.809
6/12/22 4:23:01 PM,%RH,11.6
6/12/22 6:23:01 PM,%RH,10.859
6/12/22 8:23:01 PM,%RH,12.338
6/12/22 10:23:01 PM,%RH,17.455
6/13/22 12:23:01 AM,%RH,22.478
6/13/22 2:23:01 AM,%RH,29.494
6/13/22 4:23:01 AM,%RH,38.332
6/13/22 6:23:01 AM,%RH,39.663
6/13/22 8:23:01 AM,%RH,39.663
6/13/22 10:23:01 AM,%RH,30.875
6/13/22 12:23:01 PM,%RH,23.897
6/13/22 2:23:01 PM,%RH,20.337
6/13/22 4:23:01 PM,%RH,17.455
6/13/22 6:23:01 PM,%RH,16.729
6/13/22 8:23:01 PM,%RH,19.619
6/13/22 10:23:01 PM,%RH,22.478
6/14/22 12:23:01 AM,%RH,26.01
6/14/22 2:23:01 AM,%RH,31.562
6/14/22 4:23:01 AM,%RH,46.849
6/14/22 6:23:01 AM,%RH,61.136
6/14/22 8:23:01 AM,%RH,62.925
6/14/22 10:23:01 AM,%RH,47.491
6/14/22 12:23:01 PM,%RH,29.494
6/14/22 2:23:01 PM,%RH,17.455
6/14/22 4:23:01 PM,%RH,15.273
6/14/22 6:23:01 PM,%RH,19.619
6/14/22 8:23:01 PM,%RH,23.897
6/14/22 10:23:01 PM,%RH,34.293
6/15/22 12:23:01 AM,%RH,42.303
6/15/22 2:23:01 AM,%RH,48.77
6/15/22 4:23:01 AM,%RH,53.807
6/15/22 6:23:01 AM,%RH,56.28
6/15/22 8:23:01 AM,%RH,53.184
6/15/22 10:23:01 AM,%RH,36.993
6/15/22 12:23:01 PM,%RH,29.494
6/15/22 2:23:01 PM,%RH,23.188
6/15/22 4:23:01 PM,%RH,21.052
6/15/22 6:23:01 PM,%RH,19.619
6/15/22 8:23:01 PM,%RH,25.307
6/15/22 10:23:01 PM,%RH,34.293
6/16/22 12:23:01 AM,%RH,41.646
6/16/22 2:23:01 AM,%RH,46.849
6/16/22 4:23:01 AM,%RH,47.491
6/16/22 6:23:01 AM,%RH,53.807
6/16/22 8:23:01 AM,%RH,50.04
6/16/22 10:23:01 AM,%RH,42.303
6/16/22 12:23:01 PM,%RH,31.562
6/16/22 2:23:01 PM,%RH,23.897
6/16/22 4:23:01 PM,%RH,17.455
6/16/22 6:23:01 PM,%RH,13.809
6/16/22 8:23:01 PM,%RH,16.002
6/16/22 10:23:01 PM,%RH,24.603
6/17/22 12:23:01 AM,%RH,26.71
6/17/22 2:23:01 AM,%RH,31.562
6/17/22 4:23:01 AM,%RH,40.326
6/17/22 6:23:01 AM,%RH,49.406
6/17/22 8:23:01 AM,%RH,40.326
6/17/22 10:23:01 AM,%RH,32.931
6/17/22 12:23:01 PM,%RH,20.337
6/17/22 2:23:01 PM,%RH,15.273
6/17/22 4:23:01 PM,%RH,13.075
6/17/22 6:23:01 PM,%RH,16.002
6/17/22 8:23:01 PM,%RH,20.337
6/17/22 10:23:01 PM,%RH,26.71
6/18/22 12:23:01 AM,%RH,36.993
6/18/22 2:23:01 AM,%RH,46.206
6/18/22 4:23:01 AM,%RH,57.505
6/18/22 6:23:01 AM,%RH,64.109
6/18/22 8:23:01 AM,%RH,42.958
6/18/22 10:23:01 AM,%RH,31.562
6/18/22 12:23:01 PM,%RH,29.494
6/18/22 2:23:01 PM,%RH,23.897
6/18/22 4:23:01 PM,%RH,23.897
6/18/22 6:23:01 PM,%RH,21.766
6/18/22 8:23:01 PM,%RH,29.494
6/18/22 10:23:01 PM,%RH,35.647
6/19/22 12:23:01 AM,%RH,40.987
6/19/22 2:23:01 AM,%RH,49.406
6/19/22 4:23:01 AM,%RH,68.192
6/19/22 6:23:01 AM,%RH,73.864
6/19/22 8:23:01 AM,%RH,46.849
6/19/22 10:23:01 AM,%RH,40.326
6/19/22 12:23:01 PM,%RH,30.185
6/19/22 2:23:01 PM,%RH,26.01
6/19/22 4:23:01 PM,%RH,21.766
6/19/22 6:23:01 PM,%RH,23.188
6/19/22 8:23:01 PM,%RH,26.01
6/19/22 10:23:01 PM,%RH,33.613
6/20/22 12:23:01 AM,%RH,37.663
6/20/22 2:23:01 AM,%RH,41.646
6/20/22 4:23:01 AM,%RH,48.132
6/20/22 6:23:01 AM,%RH,55.047
6/20/22 8:23:01 AM,%RH,45.56
6/20/22 10:23:01 AM,%RH,38.332
6/20/22 12:23:01 PM,%RH,30.875
6/20/22 2:23:01 PM,%RH,23.188
6/20/22 4:23:01 PM,%RH,19.619
6/20/22 6:23:01 PM,%RH,18.178
6/20/22 8:23:01 PM,%RH,24.603
6/20/22 10:23:01 PM,%RH,30.875
6/21/22 12:23:01 AM,%RH,60.535
6/21/22 2:23:01 AM,%RH,71.051
6/21/22 4:23:01 AM,%RH,84.639
6/21/22 6:23:01 AM,%RH,89.242
6/21/22 8:23:01 AM,%RH,45.56
6/21/22 10:23:01 AM,%RH,34.971
6/21/22 12:23:01 PM,%RH,24.603
6/21/22 2:23:01 PM,%RH,18.899
6/21/22 4:23:01 PM,%RH,16.002
6/21/22 6:23:01 PM,%RH,16.729
6/21/22 8:23:01 PM,%RH,22.478
6/21/22 10:23:01 PM,%RH,34.293
6/22/22 12:23:01 AM,%RH,51.303
6/22/22 2:23:01 AM,%RH,57.505
6/22/22 4:23:01 AM,%RH,68.192
6/22/22 6:23:01 AM,%RH,74.975
6/22/22 8:23:01 AM,%RH,39.663
6/22/22 10:23:01 AM,%RH,31.562
6/22/22 12:23:01 PM,%RH,22.478
6/22/22 2:23:01 PM,%RH,20.337
6/22/22 4:23:01 PM,%RH,16.729
6/22/22 6:23:01 PM,%RH,14.542
6/22/22 8:23:01 PM,%RH,19.619
6/22/22 10:23:01 PM,%RH,30.875
6/23/22 12:23:01 AM,%RH,36.321
6/23/22 2:23:01 AM,%RH,41.646
6/23/22 4:23:01 AM,%RH,47.491
6/23/22 6:23:01 AM,%RH,51.932
6/23/22 8:23:01 AM,%RH,43.611
6/23/22 10:23:01 AM,%RH,34.293
6/23/22 12:23:01 PM,%RH,24.603
6/23/22 2:23:01 PM,%RH,21.052
6/23/22 4:23:01 PM,%RH,18.899
6/23/22 6:23:01 PM,%RH,18.178
6/23/22 8:23:01 PM,%RH,21.766
6/23/22 10:23:01 PM,%RH,28.801
6/24/22 12:23:01 AM,%RH,31.562
6/24/22 2:23:01 AM,%RH,32.247
6/24/22 4:23:01 AM,%RH,36.321
6/24/22 6:23:01 AM,%RH,41.646
6/24/22 8:23:01 AM,%RH,33.613
6/24/22 10:23:01 AM,%RH,26.01
6/24/22 12:23:01 PM,%RH,17.455
6/24/22 2:23:01 PM,%RH,16.729
6/24/22 4:23:01 PM,%RH,15.273
6/24/22 6:23:01 PM,%RH,15.273
6/24/22 8:23:01 PM,%RH,17.455
6/24/22 10:23:01 PM,%RH,23.897
6/25/22 12:23:01 AM,%RH,29.494
