1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 880000007862EC41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:24:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:24:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28360
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:24:01 AM,%RH,49.299
6/9/22 10:24:01 AM,%RH,49.299
6/9/22 12:24:01 PM,%RH,46.115
6/9/22 2:24:01 PM,%RH,47.393
6/9/22 4:24:01 PM,%RH,44.187
6/9/22 6:24:01 PM,%RH,40.942
6/9/22 8:24:01 PM,%RH,42.893
6/9/22 10:24:01 PM,%RH,40.288
6/10/22 12:24:01 AM,%RH,42.893
6/10/22 2:24:01 AM,%RH,41.594
6/10/22 4:24:01 AM,%RH,43.541
6/10/22 6:24:01 AM,%RH,44.187
6/10/22 8:24:01 AM,%RH,38.318
6/10/22 10:24:01 AM,%RH,36.997
6/10/22 12:24:01 PM,%RH,25.521
6/10/22 2:24:01 PM,%RH,19.265
6/10/22 4:24:01 PM,%RH,18.562
6/10/22 6:24:01 PM,%RH,17.152
6/10/22 8:24:01 PM,%RH,22.061
6/10/22 10:24:01 PM,%RH,27.578
6/11/22 12:24:01 AM,%RH,30.977
6/11/22 2:24:01 AM,%RH,35.67
6/11/22 4:24:01 AM,%RH,41.594
6/11/22 6:24:01 AM,%RH,47.393
6/11/22 8:24:01 AM,%RH,42.893
6/11/22 10:24:01 AM,%RH,28.942
6/11/22 12:24:01 PM,%RH,19.966
6/11/22 2:24:01 PM,%RH,14.314
6/11/22 4:24:01 PM,%RH,11.451
6/11/22 6:24:01 PM,%RH,10.731
6/11/22 8:24:01 PM,%RH,14.314
6/11/22 10:24:01 PM,%RH,19.966
6/12/22 12:24:01 AM,%RH,24.832
6/12/22 2:24:01 AM,%RH,28.942
6/12/22 4:24:01 AM,%RH,35.004
6/12/22 6:24:01 AM,%RH,38.976
6/12/22 8:24:01 AM,%RH,36.997
6/12/22 10:24:01 AM,%RH,27.578
6/12/22 12:24:01 PM,%RH,19.265
6/12/22 2:24:01 PM,%RH,14.314
6/12/22 4:24:01 PM,%RH,12.885
6/12/22 6:24:01 PM,%RH,10.731
6/12/22 8:24:01 PM,%RH,13.6
6/12/22 10:24:01 PM,%RH,18.562
6/13/22 12:24:01 AM,%RH,22.756
6/13/22 2:24:01 AM,%RH,30.3
6/13/22 4:24:01 AM,%RH,38.318
6/13/22 6:24:01 AM,%RH,40.288
6/13/22 8:24:01 AM,%RH,39.633
6/13/22 10:24:01 AM,%RH,31.652
6/13/22 12:24:01 PM,%RH,25.521
6/13/22 2:24:01 PM,%RH,22.061
6/13/22 4:24:01 PM,%RH,18.562
6/13/22 6:24:01 PM,%RH,18.562
6/13/22 8:24:01 PM,%RH,19.966
6/13/22 10:24:01 PM,%RH,23.449
6/14/22 12:24:01 AM,%RH,26.208
6/14/22 2:24:01 AM,%RH,31.652
6/14/22 4:24:01 AM,%RH,46.755
6/14/22 6:24:01 AM,%RH,61.648
6/14/22 8:24:01 AM,%RH,62.849
6/14/22 10:24:01 AM,%RH,48.665
6/14/22 12:24:01 PM,%RH,29.622
6/14/22 2:24:01 PM,%RH,19.966
6/14/22 4:24:01 PM,%RH,17.152
6/14/22 6:24:01 PM,%RH,21.364
6/14/22 8:24:01 PM,%RH,25.521
6/14/22 10:24:01 PM,%RH,34.337
6/15/22 12:24:01 AM,%RH,42.893
6/15/22 2:24:01 AM,%RH,48.665
6/15/22 4:24:01 AM,%RH,53.691
6/15/22 6:24:01 AM,%RH,56.167
6/15/22 8:24:01 AM,%RH,53.691
6/15/22 10:24:01 AM,%RH,36.997
6/15/22 12:24:01 PM,%RH,30.977
6/15/22 2:24:01 PM,%RH,25.521
6/15/22 4:24:01 PM,%RH,22.756
6/15/22 6:24:01 PM,%RH,22.756
6/15/22 8:24:01 PM,%RH,26.208
6/15/22 10:24:01 PM,%RH,34.337
