1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 880000007862EC41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:24:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:24:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28360
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:24:01 AM,C,23.075
6/9/22 10:24:01 AM,C,23.075
6/9/22 12:24:01 PM,C,22.575
6/9/22 2:24:01 PM,C,23.576
6/9/22 4:24:01 PM,C,22.575
6/9/22 6:24:01 PM,C,23.075
6/9/22 8:24:01 PM,C,23.576
6/9/22 10:24:01 PM,C,22.075
6/10/22 12:24:01 AM,C,23.075
6/10/22 2:24:01 AM,C,22.075
6/10/22 4:24:01 AM,C,23.075
6/10/22 6:24:01 AM,C,23.075
6/10/22 8:24:01 AM,C,32.571
6/10/22 10:24:01 AM,C,33.569
6/10/22 12:24:01 PM,C,39.055
6/10/22 2:24:01 PM,C,41.049
6/10/22 4:24:01 PM,C,43.539
6/10/22 6:24:01 PM,C,41.049
6/10/22 8:24:01 PM,C,35.066
6/10/22 10:24:01 PM,C,31.073
6/11/22 12:24:01 AM,C,29.575
6/11/22 2:24:01 AM,C,27.576
6/11/22 4:24:01 AM,C,26.076
6/11/22 6:24:01 AM,C,25.076
6/11/22 8:24:01 AM,C,29.075
6/11/22 10:24:01 AM,C,36.064
6/11/22 12:24:01 PM,C,42.045
6/11/22 2:24:01 PM,C,43.539
6/11/22 4:24:01 PM,C,45.53
6/11/22 6:24:01 PM,C,43.041
6/11/22 8:24:01 PM,C,37.56
6/11/22 10:24:01 PM,C,33.569
6/12/22 12:24:01 AM,C,31.572
6/12/22 2:24:01 AM,C,28.575
6/12/22 4:24:01 AM,C,27.076
6/12/22 6:24:01 AM,C,26.076
6/12/22 8:24:01 AM,C,30.574
6/12/22 10:24:01 AM,C,37.061
6/12/22 12:24:01 PM,C,41.547
6/12/22 2:24:01 PM,C,43.539
6/12/22 4:24:01 PM,C,44.037
6/12/22 6:24:01 PM,C,41.547
6/12/22 8:24:01 PM,C,36.563
6/12/22 10:24:01 PM,C,32.571
6/13/22 12:24:01 AM,C,30.074
6/13/22 2:24:01 AM,C,28.076
6/13/22 4:24:01 AM,C,24.576
6/13/22 6:24:01 AM,C,24.576
6/13/22 8:24:01 AM,C,28.575
6/13/22 10:24:01 AM,C,35.066
6/13/22 12:24:01 PM,C,38.058
6/13/22 2:24:01 PM,C,40.55
6/13/22 4:24:01 PM,C,42.045
