1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000005AC34F41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:54:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:54:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  34549
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:54:01 AM,C,23.019
6/9/22 10:54:01 AM,C,23.519
6/9/22 12:54:01 PM,C,22.519
6/9/22 2:54:01 PM,C,24.019
6/9/22 4:54:01 PM,C,24.019
6/9/22 6:54:01 PM,C,24.519
6/9/22 8:54:01 PM,C,24.019
6/9/22 10:54:01 PM,C,22.019
6/10/22 12:54:01 AM,C,24.019
6/10/22 2:54:01 AM,C,23.019
6/10/22 4:54:01 AM,C,23.519
6/10/22 6:54:01 AM,C,23.519
6/10/22 8:54:01 AM,C,30.018
6/10/22 10:54:01 AM,C,34.515
6/10/22 12:54:01 PM,C,38.509
6/10/22 2:54:01 PM,C,43.5
6/10/22 4:54:01 PM,C,44.498
6/10/22 6:54:01 PM,C,40.506
6/10/22 8:54:01 PM,C,33.516
6/10/22 10:54:01 PM,C,31.517
6/11/22 12:54:01 AM,C,29.519
6/11/22 2:54:01 AM,C,28.019
6/11/22 4:54:01 AM,C,26.02
6/11/22 6:54:01 AM,C,25.52
6/11/22 8:54:01 AM,C,31.018
6/11/22 10:54:01 AM,C,37.012
6/11/22 12:54:01 PM,C,43.001
6/11/22 2:54:01 PM,C,44.997
6/11/22 4:54:01 PM,C,45.994
6/11/22 6:54:01 PM,C,43.001
6/11/22 8:54:01 PM,C,36.013
6/11/22 10:54:01 PM,C,33.516
6/12/22 12:54:01 AM,C,31.018
6/12/22 2:54:01 AM,C,28.019
6/12/22 4:54:01 AM,C,26.02
6/12/22 6:54:01 AM,C,27.019
6/12/22 8:54:01 AM,C,32.017
6/12/22 10:54:01 AM,C,38.509
6/12/22 12:54:01 PM,C,42.003
6/12/22 2:54:01 PM,C,44.997
6/12/22 4:54:01 PM,C,44.498
6/12/22 6:54:01 PM,C,42.003
