1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5700000078604C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:25:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:25:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27976
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:25:01 AM,%RH,49.103
6/9/22 10:25:01 AM,%RH,49.748
6/9/22 12:25:01 PM,%RH,45.195
6/9/22 2:25:01 PM,%RH,46.505
6/9/22 4:25:01 PM,%RH,43.216
6/9/22 6:25:01 PM,%RH,41.221
6/9/22 8:25:01 PM,%RH,40.553
6/9/22 10:25:01 PM,%RH,40.553
6/10/22 12:25:01 AM,%RH,41.221
6/10/22 2:25:01 AM,%RH,41.221
6/10/22 4:25:01 AM,%RH,41.221
6/10/22 6:25:01 AM,%RH,43.216
6/10/22 8:25:01 AM,%RH,47.808
6/10/22 10:25:01 AM,%RH,38.535
6/10/22 12:25:01 PM,%RH,27.499
6/10/22 2:25:01 PM,%RH,19.639
6/10/22 4:25:01 PM,%RH,15.994
6/10/22 6:25:01 PM,%RH,15.994
6/10/22 8:25:01 PM,%RH,21.805
6/10/22 10:25:01 PM,%RH,26.794
6/11/22 12:25:01 AM,%RH,29.604
6/11/22 2:25:01 AM,%RH,35.137
6/11/22 4:25:01 AM,%RH,40.553
6/11/22 6:25:01 AM,%RH,46.505
6/11/22 8:25:01 AM,%RH,43.216
6/11/22 10:25:01 AM,%RH,29.604
6/11/22 12:25:01 PM,%RH,20.363
6/11/22 2:25:01 PM,%RH,14.522
6/11/22 4:25:01 PM,%RH,13.044
6/11/22 6:25:01 PM,%RH,10.065
6/11/22 8:25:01 PM,%RH,13.044
6/11/22 10:25:01 PM,%RH,18.914
6/12/22 12:25:01 AM,%RH,22.523
6/12/22 2:25:01 AM,%RH,28.904
6/12/22 4:25:01 AM,%RH,33.765
6/12/22 6:25:01 AM,%RH,38.535
6/12/22 8:25:01 AM,%RH,37.182
6/12/22 10:25:01 AM,%RH,28.904
6/12/22 12:25:01 PM,%RH,18.186
6/12/22 2:25:01 PM,%RH,13.784
6/12/22 4:25:01 PM,%RH,11.558
6/12/22 6:25:01 PM,%RH,11.558
6/12/22 8:25:01 PM,%RH,11.558
6/12/22 10:25:01 PM,%RH,16.726
6/13/22 12:25:01 AM,%RH,21.805
6/13/22 2:25:01 AM,%RH,28.904
6/13/22 4:25:01 AM,%RH,37.182
6/13/22 6:25:01 AM,%RH,39.882
6/13/22 8:25:01 AM,%RH,39.882
6/13/22 10:25:01 AM,%RH,32.385
6/13/22 12:25:01 PM,%RH,26.794
6/13/22 2:25:01 PM,%RH,21.085
6/13/22 4:25:01 PM,%RH,18.914
6/13/22 6:25:01 PM,%RH,18.186
6/13/22 8:25:01 PM,%RH,19.639
6/13/22 10:25:01 PM,%RH,21.085
6/14/22 12:25:01 AM,%RH,24.667
6/14/22 2:25:01 AM,%RH,30.998
6/14/22 4:25:01 AM,%RH,47.157
6/14/22 6:25:01 AM,%RH,61.653
6/14/22 8:25:01 AM,%RH,64.076
6/14/22 10:25:01 AM,%RH,47.157
6/14/22 12:25:01 PM,%RH,29.604
6/14/22 2:25:01 PM,%RH,18.914
6/14/22 4:25:01 PM,%RH,15.259
6/14/22 6:25:01 PM,%RH,20.363
6/14/22 8:25:01 PM,%RH,24.667
6/14/22 10:25:01 PM,%RH,33.765
6/15/22 12:25:01 AM,%RH,42.553
6/15/22 2:25:01 AM,%RH,49.103
6/15/22 4:25:01 AM,%RH,54.211
6/15/22 6:25:01 AM,%RH,55.47
6/15/22 8:25:01 AM,%RH,54.211
6/15/22 10:25:01 AM,%RH,36.502
6/15/22 12:25:01 PM,%RH,30.998
6/15/22 2:25:01 PM,%RH,23.954
6/15/22 4:25:01 PM,%RH,21.805
6/15/22 6:25:01 PM,%RH,21.085
6/15/22 8:25:01 PM,%RH,26.086
6/15/22 10:25:01 PM,%RH,33.765
6/16/22 12:25:01 AM,%RH,41.888
6/16/22 2:25:01 AM,%RH,47.808
6/16/22 4:25:01 AM,%RH,48.456
6/16/22 6:25:01 AM,%RH,54.211
6/16/22 8:25:01 AM,%RH,51.672
6/16/22 10:25:01 AM,%RH,42.553
6/16/22 12:25:01 PM,%RH,31.693
6/16/22 2:25:01 PM,%RH,23.954
6/16/22 4:25:01 PM,%RH,18.186
6/16/22 6:25:01 PM,%RH,14.522
6/16/22 8:25:01 PM,%RH,16.726
6/16/22 10:25:01 PM,%RH,25.377
6/17/22 12:25:01 AM,%RH,28.202
6/17/22 2:25:01 AM,%RH,31.693
6/17/22 4:25:01 AM,%RH,40.553
6/17/22 6:25:01 AM,%RH,50.391
6/17/22 8:25:01 AM,%RH,41.888
6/17/22 10:25:01 AM,%RH,33.076
6/17/22 12:25:01 PM,%RH,21.085
6/17/22 2:25:01 PM,%RH,16.726
6/17/22 4:25:01 PM,%RH,14.522
6/17/22 6:25:01 PM,%RH,15.994
6/17/22 8:25:01 PM,%RH,19.639
6/17/22 10:25:01 PM,%RH,26.794
6/18/22 12:25:01 AM,%RH,36.502
6/18/22 2:25:01 AM,%RH,45.195
6/18/22 4:25:01 AM,%RH,56.721
6/18/22 6:25:01 AM,%RH,65.276
6/18/22 8:25:01 AM,%RH,44.537
6/18/22 10:25:01 AM,%RH,31.693
6/18/22 12:25:01 PM,%RH,28.202
6/18/22 2:25:01 PM,%RH,28.904
6/18/22 4:25:01 PM,%RH,26.086
6/18/22 6:25:01 PM,%RH,23.954
6/18/22 8:25:01 PM,%RH,29.604
6/18/22 10:25:01 PM,%RH,35.137
6/19/22 12:25:01 AM,%RH,39.882
6/19/22 2:25:01 AM,%RH,48.456
6/19/22 4:25:01 AM,%RH,67.062
6/19/22 6:25:01 AM,%RH,74.613
6/19/22 8:25:01 AM,%RH,47.157
6/19/22 10:25:01 AM,%RH,41.221
6/19/22 12:25:01 PM,%RH,30.302
6/19/22 2:25:01 PM,%RH,25.377
6/19/22 4:25:01 PM,%RH,19.639
6/19/22 6:25:01 PM,%RH,23.954
6/19/22 8:25:01 PM,%RH,27.499
