1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5700000078604C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:25:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:25:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27976
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:25:01 AM,C,23.142
6/9/22 10:25:01 AM,C,23.142
6/9/22 12:25:01 PM,C,22.642
6/9/22 2:25:01 PM,C,24.143
6/9/22 4:25:01 PM,C,22.642
6/9/22 6:25:01 PM,C,23.142
6/9/22 8:25:01 PM,C,24.143
6/9/22 10:25:01 PM,C,21.641
6/10/22 12:25:01 AM,C,23.642
6/10/22 2:25:01 AM,C,22.142
6/10/22 4:25:01 AM,C,23.142
6/10/22 6:25:01 AM,C,23.142
6/10/22 8:25:01 AM,C,28.642
6/10/22 10:25:01 AM,C,33.635
6/10/22 12:25:01 PM,C,38.624
6/10/22 2:25:01 PM,C,41.614
6/10/22 4:25:01 PM,C,43.606
6/10/22 6:25:01 PM,C,40.617
6/10/22 8:25:01 PM,C,35.631
6/10/22 10:25:01 PM,C,31.139
6/11/22 12:25:01 AM,C,29.641
6/11/22 2:25:01 AM,C,28.142
6/11/22 4:25:01 AM,C,26.143
6/11/22 6:25:01 AM,C,25.143
6/11/22 8:25:01 AM,C,29.641
6/11/22 10:25:01 AM,C,36.13
6/11/22 12:25:01 PM,C,41.614
6/11/22 2:25:01 PM,C,43.606
6/11/22 4:25:01 PM,C,45.598
6/11/22 6:25:01 PM,C,42.61
6/11/22 8:25:01 PM,C,37.626
6/11/22 10:25:01 PM,C,34.134
6/12/22 12:25:01 AM,C,31.638
6/12/22 2:25:01 AM,C,28.642
6/12/22 4:25:01 AM,C,27.142
6/12/22 6:25:01 AM,C,26.143
6/12/22 8:25:01 AM,C,30.64
6/12/22 10:25:01 AM,C,37.128
6/12/22 12:25:01 PM,C,42.112
6/12/22 2:25:01 PM,C,44.104
6/12/22 4:25:01 PM,C,44.104
6/12/22 6:25:01 PM,C,41.614
6/12/22 8:25:01 PM,C,36.629
6/12/22 10:25:01 PM,C,32.637
6/13/22 12:25:01 AM,C,30.14
6/13/22 2:25:01 AM,C,28.142
6/13/22 4:25:01 AM,C,24.643
6/13/22 6:25:01 AM,C,24.643
6/13/22 8:25:01 AM,C,29.141
6/13/22 10:25:01 AM,C,34.134
6/13/22 12:25:01 PM,C,37.626
6/13/22 2:25:01 PM,C,40.617
6/13/22 4:25:01 PM,C,41.614
6/13/22 6:25:01 PM,C,39.621
6/13/22 8:25:01 PM,C,34.633
6/13/22 10:25:01 PM,C,31.139
6/14/22 12:25:01 AM,C,29.641
6/14/22 2:25:01 AM,C,28.142
6/14/22 4:25:01 AM,C,26.143
6/14/22 6:25:01 AM,C,24.643
6/14/22 8:25:01 AM,C,26.643
6/14/22 10:25:01 AM,C,33.136
6/14/22 12:25:01 PM,C,39.122
6/14/22 2:25:01 PM,C,43.108
6/14/22 4:25:01 PM,C,44.602
6/14/22 6:25:01 PM,C,39.621
6/14/22 8:25:01 PM,C,35.132
6/14/22 10:25:01 PM,C,31.638
6/15/22 12:25:01 AM,C,28.642
6/15/22 2:25:01 AM,C,27.142
6/15/22 4:25:01 AM,C,25.643
6/15/22 6:25:01 AM,C,25.143
6/15/22 8:25:01 AM,C,28.142
6/15/22 10:25:01 AM,C,34.134
6/15/22 12:25:01 PM,C,38.125
6/15/22 2:25:01 PM,C,39.621
6/15/22 4:25:01 PM,C,41.116
6/15/22 6:25:01 PM,C,39.122
6/15/22 8:25:01 PM,C,34.134
6/15/22 10:25:01 PM,C,31.139
6/16/22 12:25:01 AM,C,28.642
6/16/22 2:25:01 AM,C,27.142
6/16/22 4:25:01 AM,C,25.643
6/16/22 6:25:01 AM,C,24.143
6/16/22 8:25:01 AM,C,28.142
6/16/22 10:25:01 AM,C,33.635
6/16/22 12:25:01 PM,C,38.125
6/16/22 2:25:01 PM,C,40.119
6/16/22 4:25:01 PM,C,40.617
6/16/22 6:25:01 PM,C,38.125
6/16/22 8:25:01 PM,C,33.635
6/16/22 10:25:01 PM,C,28.642
6/17/22 12:25:01 AM,C,27.642
6/17/22 2:25:01 AM,C,26.143
6/17/22 4:25:01 AM,C,23.142
6/17/22 6:25:01 AM,C,21.141
6/17/22 8:25:01 AM,C,27.142
6/17/22 10:25:01 AM,C,34.134
6/17/22 12:25:01 PM,C,38.125
6/17/22 2:25:01 PM,C,38.624
6/17/22 4:25:01 PM,C,40.119
6/17/22 6:25:01 PM,C,37.626
6/17/22 8:25:01 PM,C,33.136
6/17/22 10:25:01 PM,C,29.141
6/18/22 12:25:01 AM,C,26.143
6/18/22 2:25:01 AM,C,24.143
6/18/22 4:25:01 AM,C,22.642
6/18/22 6:25:01 AM,C,21.141
6/18/22 8:25:01 AM,C,28.642
6/18/22 10:25:01 AM,C,36.629
6/18/22 12:25:01 PM,C,38.125
6/18/22 2:25:01 PM,C,37.626
6/18/22 4:25:01 PM,C,38.624
6/18/22 6:25:01 PM,C,35.631
6/18/22 8:25:01 PM,C,32.138
6/18/22 10:25:01 PM,C,29.141
6/19/22 12:25:01 AM,C,27.142
6/19/22 2:25:01 AM,C,24.643
6/19/22 4:25:01 AM,C,22.142
6/19/22 6:25:01 AM,C,20.14
6/19/22 8:25:01 AM,C,27.642
6/19/22 10:25:01 AM,C,33.136
6/19/22 12:25:01 PM,C,37.128
6/19/22 2:25:01 PM,C,38.624
6/19/22 4:25:01 PM,C,39.621
6/19/22 6:25:01 PM,C,35.132
6/19/22 8:25:01 PM,C,32.637
6/19/22 10:25:01 PM,C,29.141
6/20/22 12:25:01 AM,C,27.642
6/20/22 2:25:01 AM,C,25.643
6/20/22 4:25:01 AM,C,24.143
6/20/22 6:25:01 AM,C,23.142
6/20/22 8:25:01 AM,C,28.642
6/20/22 10:25:01 AM,C,33.635
6/20/22 12:25:01 PM,C,36.629
6/20/22 2:25:01 PM,C,39.621
6/20/22 4:25:01 PM,C,38.624
6/20/22 6:25:01 PM,C,37.128
6/20/22 8:25:01 PM,C,32.138
6/20/22 10:25:01 PM,C,29.141
6/21/22 12:25:01 AM,C,24.643
6/21/22 2:25:01 AM,C,22.142
6/21/22 4:25:01 AM,C,19.139
6/21/22 6:25:01 AM,C,18.638
6/21/22 8:25:01 AM,C,28.142
6/21/22 10:25:01 AM,C,33.635
6/21/22 12:25:01 PM,C,37.626
6/21/22 2:25:01 PM,C,39.122
6/21/22 4:25:01 PM,C,41.614
6/21/22 6:25:01 PM,C,38.624
6/21/22 8:25:01 PM,C,32.637
6/21/22 10:25:01 PM,C,27.142
6/22/22 12:25:01 AM,C,26.143
6/22/22 2:25:01 AM,C,23.642
6/22/22 4:25:01 AM,C,20.64
6/22/22 6:25:01 AM,C,19.139
6/22/22 8:25:01 AM,C,29.641
6/22/22 10:25:01 AM,C,35.132
6/22/22 12:25:01 PM,C,41.116
6/22/22 2:25:01 PM,C,40.617
6/22/22 4:25:01 PM,C,37.626
6/22/22 6:25:01 PM,C,36.13
6/22/22 8:25:01 PM,C,33.635
6/22/22 10:25:01 PM,C,27.642
6/23/22 12:25:01 AM,C,27.142
6/23/22 2:25:01 AM,C,25.143
6/23/22 4:25:01 AM,C,24.643
6/23/22 6:25:01 AM,C,24.143
6/23/22 8:25:01 AM,C,28.642
6/23/22 10:25:01 AM,C,35.132
6/23/22 12:25:01 PM,C,40.119
6/23/22 2:25:01 PM,C,40.617
6/23/22 4:25:01 PM,C,41.614
6/23/22 6:25:01 PM,C,38.125
6/23/22 8:25:01 PM,C,34.134
6/23/22 10:25:01 PM,C,29.641
6/24/22 12:25:01 AM,C,28.642
6/24/22 2:25:01 AM,C,27.142
6/24/22 4:25:01 AM,C,25.143
6/24/22 6:25:01 AM,C,23.642
6/24/22 8:25:01 AM,C,28.642
6/24/22 10:25:01 AM,C,34.633
6/24/22 12:25:01 PM,C,41.614
6/24/22 2:25:01 PM,C,42.61
6/24/22 4:25:01 PM,C,42.112
6/24/22 6:25:01 PM,C,41.116
6/24/22 8:25:01 PM,C,34.633
6/24/22 10:25:01 PM,C,31.139
6/25/22 12:25:01 AM,C,28.642
6/25/22 2:25:01 AM,C,27.642
6/25/22 4:25:01 AM,C,26.143
6/25/22 6:25:01 AM,C,22.142
6/25/22 8:25:01 AM,C,29.141
6/25/22 10:25:01 AM,C,35.631
6/25/22 12:25:01 PM,C,40.617
6/25/22 2:25:01 PM,C,44.602
6/25/22 4:25:01 PM,C,44.602
6/25/22 6:25:01 PM,C,40.617
6/25/22 8:25:01 PM,C,33.136
6/25/22 10:25:01 PM,C,28.142
6/26/22 12:25:01 AM,C,24.643
6/26/22 2:25:01 AM,C,22.642
6/26/22 4:25:01 AM,C,21.641
6/26/22 6:25:01 AM,C,20.64
6/26/22 8:25:01 AM,C,23.642
6/26/22 10:25:01 AM,C,29.641
6/26/22 12:25:01 PM,C,34.633
6/26/22 2:25:01 PM,C,32.637
6/26/22 4:25:01 PM,C,36.629
6/26/22 6:25:01 PM,C,32.637
6/26/22 8:25:01 PM,C,27.142
6/26/22 10:25:01 PM,C,22.642
6/27/22 12:25:01 AM,C,20.64
6/27/22 2:25:01 AM,C,19.139
6/27/22 4:25:01 AM,C,18.137
6/27/22 6:25:01 AM,C,17.135
6/27/22 8:25:01 AM,C,19.639
6/27/22 10:25:01 AM,C,29.141
6/27/22 12:25:01 PM,C,34.134
6/27/22 2:25:01 PM,C,35.631
6/27/22 4:25:01 PM,C,39.122
6/27/22 6:25:01 PM,C,34.633
6/27/22 8:25:01 PM,C,28.142
6/27/22 10:25:01 PM,C,24.643
6/28/22 12:25:01 AM,C,23.642
6/28/22 2:25:01 AM,C,23.142
6/28/22 4:25:01 AM,C,21.641
6/28/22 6:25:01 AM,C,20.64
6/28/22 8:25:01 AM,C,23.642
6/28/22 10:25:01 AM,C,29.141
6/28/22 12:25:01 PM,C,35.132
6/28/22 2:25:01 PM,C,33.635
6/28/22 4:25:01 PM,C,26.143
6/28/22 6:25:01 PM,C,30.64
6/28/22 8:25:01 PM,C,28.642
6/28/22 10:25:01 PM,C,25.143
6/29/22 12:25:01 AM,C,23.142
6/29/22 2:25:01 AM,C,21.641
6/29/22 4:25:01 AM,C,20.64
6/29/22 6:25:01 AM,C,18.638
6/29/22 8:25:01 AM,C,25.143
6/29/22 10:25:01 AM,C,33.635
6/29/22 12:25:01 PM,C,38.125
6/29/22 2:25:01 PM,C,39.621
6/29/22 4:25:01 PM,C,42.61
6/29/22 6:25:01 PM,C,39.122
6/29/22 8:25:01 PM,C,32.637
6/29/22 10:25:01 PM,C,28.142
6/30/22 12:25:01 AM,C,25.643
6/30/22 2:25:01 AM,C,23.642
6/30/22 4:25:01 AM,C,21.641
6/30/22 6:25:01 AM,C,21.141
6/30/22 8:25:01 AM,C,27.642
6/30/22 10:25:01 AM,C,34.633
6/30/22 12:25:01 PM,C,40.617
6/30/22 2:25:01 PM,C,44.104
6/30/22 4:25:01 PM,C,43.108
6/30/22 6:25:01 PM,C,39.621
6/30/22 8:25:01 PM,C,34.633
6/30/22 10:25:01 PM,C,29.641
7/1/22 12:25:01 AM,C,27.142
7/1/22 2:25:01 AM,C,26.643
7/1/22 4:25:01 AM,C,24.643
7/1/22 6:25:01 AM,C,23.642
7/1/22 8:25:01 AM,C,28.642
7/1/22 10:25:01 AM,C,35.631
7/1/22 12:25:01 PM,C,42.61
7/1/22 2:25:01 PM,C,47.091
7/1/22 4:25:01 PM,C,45.598
7/1/22 6:25:01 PM,C,40.119
7/1/22 8:25:01 PM,C,35.132
7/1/22 10:25:01 PM,C,29.141
7/2/22 12:25:01 AM,C,28.642
7/2/22 2:25:01 AM,C,27.142
7/2/22 4:25:01 AM,C,23.642
7/2/22 6:25:01 AM,C,22.642
7/2/22 8:25:01 AM,C,30.14
7/2/22 10:25:01 AM,C,37.626
7/2/22 12:25:01 PM,C,43.606
7/2/22 2:25:01 PM,C,44.104
7/2/22 4:25:01 PM,C,42.61
7/2/22 6:25:01 PM,C,40.617
7/2/22 8:25:01 PM,C,34.134
7/2/22 10:25:01 PM,C,30.14
7/3/22 12:25:01 AM,C,27.642
7/3/22 2:25:01 AM,C,26.143
7/3/22 4:25:01 AM,C,24.143
7/3/22 6:25:01 AM,C,24.143
7/3/22 8:25:01 AM,C,25.643
7/3/22 10:25:01 AM,C,34.633
7/3/22 12:25:01 PM,C,39.122
7/3/22 2:25:01 PM,C,37.626
7/3/22 4:25:01 PM,C,41.614
7/3/22 6:25:01 PM,C,37.626
7/3/22 8:25:01 PM,C,32.138
7/3/22 10:25:01 PM,C,27.642
7/4/22 12:25:01 AM,C,26.143
7/4/22 2:25:01 AM,C,25.143
7/4/22 4:25:01 AM,C,24.143
7/4/22 6:25:01 AM,C,23.142
7/4/22 8:25:01 AM,C,28.142
7/4/22 10:25:01 AM,C,33.136
7/4/22 12:25:01 PM,C,39.122
7/4/22 2:25:01 PM,C,40.119
7/4/22 4:25:01 PM,C,42.61
7/4/22 6:25:01 PM,C,39.122
7/4/22 8:25:01 PM,C,34.633
7/4/22 10:25:01 PM,C,31.638
7/5/22 12:25:01 AM,C,27.142
7/5/22 2:25:01 AM,C,25.143
7/5/22 4:25:01 AM,C,25.643
7/5/22 6:25:01 AM,C,24.643
7/5/22 8:25:01 AM,C,29.141
7/5/22 10:25:01 AM,C,34.134
7/5/22 12:25:01 PM,C,40.617
7/5/22 2:25:01 PM,C,41.116
7/5/22 4:25:01 PM,C,35.132
7/5/22 6:25:01 PM,C,31.638
7/5/22 8:25:01 PM,C,30.64
7/5/22 10:25:01 PM,C,27.142
7/6/22 12:25:01 AM,C,26.643
7/6/22 2:25:01 AM,C,26.643
7/6/22 4:25:01 AM,C,24.143
7/6/22 6:25:01 AM,C,23.642
7/6/22 8:25:01 AM,C,28.642
7/6/22 10:25:01 AM,C,35.631
7/6/22 12:25:01 PM,C,39.621
7/6/22 2:25:01 PM,C,41.614
7/6/22 4:25:01 PM,C,43.606
7/6/22 6:25:01 PM,C,33.635
7/6/22 8:25:01 PM,C,30.64
7/6/22 10:25:01 PM,C,28.142
7/7/22 12:25:01 AM,C,28.142
7/7/22 2:25:01 AM,C,23.642
7/7/22 4:25:01 AM,C,26.143
7/7/22 6:25:01 AM,C,25.143
7/7/22 8:25:01 AM,C,29.141
7/7/22 10:25:01 AM,C,36.13
7/7/22 12:25:01 PM,C,40.617
7/7/22 2:25:01 PM,C,42.61
7/7/22 4:25:01 PM,C,42.61
7/7/22 6:25:01 PM,C,37.128
7/7/22 8:25:01 PM,C,31.638
7/7/22 10:25:01 PM,C,27.642
7/8/22 12:25:01 AM,C,27.142
7/8/22 2:25:01 AM,C,22.142
7/8/22 4:25:01 AM,C,21.641
7/8/22 6:25:01 AM,C,20.64
7/8/22 8:25:01 AM,C,29.141
7/8/22 10:25:01 AM,C,37.626
7/8/22 12:25:01 PM,C,44.602
7/8/22 2:25:01 PM,C,46.096
7/8/22 4:25:01 PM,C,45.598
7/8/22 6:25:01 PM,C,43.108
7/8/22 8:25:01 PM,C,30.64
7/8/22 10:25:01 PM,C,29.141
7/9/22 12:25:01 AM,C,26.643
7/9/22 2:25:01 AM,C,24.143
7/9/22 4:25:01 AM,C,22.642
7/9/22 6:25:01 AM,C,21.141
7/9/22 8:25:01 AM,C,29.141
7/9/22 10:25:01 AM,C,36.629
7/9/22 12:25:01 PM,C,41.116
7/9/22 2:25:01 PM,C,42.61
7/9/22 4:25:01 PM,C,42.112
7/9/22 6:25:01 PM,C,40.617
7/9/22 8:25:01 PM,C,35.631
7/9/22 10:25:01 PM,C,28.642
7/10/22 12:25:01 AM,C,26.643
7/10/22 2:25:01 AM,C,26.643
7/10/22 4:25:01 AM,C,25.143
7/10/22 6:25:01 AM,C,21.641
7/10/22 8:25:01 AM,C,31.139
7/10/22 10:25:01 AM,C,40.119
7/10/22 12:25:01 PM,C,45.1
7/10/22 2:25:01 PM,C,43.606
7/10/22 4:25:01 PM,C,44.602
7/10/22 6:25:01 PM,C,42.61
7/10/22 8:25:01 PM,C,37.128
7/10/22 10:25:01 PM,C,31.139
7/11/22 12:25:01 AM,C,28.642
7/11/22 2:25:01 AM,C,26.143
