1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D000000785F4441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:31:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:31:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27833
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:31:01 AM,%RH,48.594
6/9/22 10:31:01 AM,%RH,48.594
6/9/22 12:31:01 PM,%RH,45.405
6/9/22 2:31:01 PM,%RH,46.686
6/9/22 4:31:01 PM,%RH,43.471
6/9/22 6:31:01 PM,%RH,40.213
6/9/22 8:31:01 PM,%RH,41.521
6/9/22 10:31:01 PM,%RH,38.897
6/10/22 12:31:01 AM,%RH,42.173
6/10/22 2:31:01 AM,%RH,40.868
6/10/22 4:31:01 AM,%RH,42.173
6/10/22 6:31:01 AM,%RH,42.823
6/10/22 8:31:01 AM,%RH,42.173
6/10/22 10:31:01 AM,%RH,32.893
6/10/22 12:31:01 PM,%RH,23.276
6/10/22 2:31:01 PM,%RH,18.341
6/10/22 4:31:01 PM,%RH,17.629
6/10/22 6:31:01 PM,%RH,17.629
6/10/22 8:31:01 PM,%RH,21.875
6/10/22 10:31:01 PM,%RH,26.749
6/11/22 12:31:01 AM,%RH,30.18
6/11/22 2:31:01 AM,%RH,36.246
6/11/22 4:31:01 AM,%RH,42.173
6/11/22 6:31:01 AM,%RH,47.324
6/11/22 8:31:01 AM,%RH,38.237
6/11/22 10:31:01 AM,%RH,24.671
6/11/22 12:31:01 PM,%RH,16.915
6/11/22 2:31:01 PM,%RH,13.321
6/11/22 4:31:01 PM,%RH,13.321
6/11/22 6:31:01 PM,%RH,12.597
6/11/22 8:31:01 PM,%RH,14.044
6/11/22 10:31:01 PM,%RH,19.76
6/12/22 12:31:01 AM,%RH,23.974
6/12/22 2:31:01 AM,%RH,29.497
6/12/22 4:31:01 AM,%RH,34.239
6/12/22 6:31:01 AM,%RH,39.556
6/12/22 8:31:01 AM,%RH,32.893
6/12/22 10:31:01 AM,%RH,23.276
6/12/22 12:31:01 PM,%RH,17.629
6/12/22 2:31:01 PM,%RH,13.321
6/12/22 4:31:01 PM,%RH,12.597
6/12/22 6:31:01 PM,%RH,11.872
6/12/22 8:31:01 PM,%RH,13.321
6/12/22 10:31:01 PM,%RH,17.629
6/13/22 12:31:01 AM,%RH,23.276
6/13/22 2:31:01 AM,%RH,29.497
6/13/22 4:31:01 AM,%RH,37.575
6/13/22 6:31:01 AM,%RH,40.213
6/13/22 8:31:01 AM,%RH,36.246
6/13/22 10:31:01 AM,%RH,28.127
6/13/22 12:31:01 PM,%RH,23.974
6/13/22 2:31:01 PM,%RH,21.875
6/13/22 4:31:01 PM,%RH,18.341
6/13/22 6:31:01 PM,%RH,17.629
6/13/22 8:31:01 PM,%RH,19.76
6/13/22 10:31:01 PM,%RH,22.576
6/14/22 12:31:01 AM,%RH,26.058
6/14/22 2:31:01 AM,%RH,32.217
6/14/22 4:31:01 AM,%RH,47.324
6/14/22 6:31:01 AM,%RH,62.115
6/14/22 8:31:01 AM,%RH,56.685
6/14/22 10:31:01 AM,%RH,41.521
6/14/22 12:31:01 PM,%RH,23.974
6/14/22 2:31:01 PM,%RH,16.915
6/14/22 4:31:01 PM,%RH,16.2
6/14/22 6:31:01 PM,%RH,20.466
6/14/22 8:31:01 PM,%RH,24.671
6/14/22 10:31:01 PM,%RH,34.91
6/15/22 12:31:01 AM,%RH,42.823
6/15/22 2:31:01 AM,%RH,49.227
6/15/22 4:31:01 AM,%RH,53.607
6/15/22 6:31:01 AM,%RH,56.685
6/15/22 8:31:01 AM,%RH,50.487
6/15/22 10:31:01 AM,%RH,34.91
6/15/22 12:31:01 PM,%RH,28.813
6/15/22 2:31:01 PM,%RH,23.276
6/15/22 4:31:01 PM,%RH,22.576
6/15/22 6:31:01 PM,%RH,21.875
6/15/22 8:31:01 PM,%RH,27.439
6/15/22 10:31:01 PM,%RH,36.246
6/16/22 12:31:01 AM,%RH,43.471
6/16/22 2:31:01 AM,%RH,48.594
6/16/22 4:31:01 AM,%RH,49.858
6/16/22 6:31:01 AM,%RH,54.844
6/16/22 8:31:01 AM,%RH,45.405
6/16/22 10:31:01 AM,%RH,36.246
6/16/22 12:31:01 PM,%RH,29.497
6/16/22 2:31:01 PM,%RH,22.576
6/16/22 4:31:01 PM,%RH,16.2
6/16/22 6:31:01 PM,%RH,15.483
6/16/22 8:31:01 PM,%RH,16.915
6/16/22 10:31:01 PM,%RH,27.439
6/17/22 12:31:01 AM,%RH,29.497
6/17/22 2:31:01 AM,%RH,32.217
6/17/22 4:31:01 AM,%RH,42.173
6/17/22 6:31:01 AM,%RH,50.487
6/17/22 8:31:01 AM,%RH,36.246
6/17/22 10:31:01 AM,%RH,28.127
6/17/22 12:31:01 PM,%RH,19.051
6/17/22 2:31:01 PM,%RH,15.483
6/17/22 4:31:01 PM,%RH,14.044
6/17/22 6:31:01 PM,%RH,16.915
6/17/22 8:31:01 PM,%RH,21.875
6/17/22 10:31:01 PM,%RH,28.127
6/18/22 12:31:01 AM,%RH,37.575
6/18/22 2:31:01 AM,%RH,46.046
6/18/22 4:31:01 AM,%RH,57.904
6/18/22 6:31:01 AM,%RH,65.658
6/18/22 8:31:01 AM,%RH,37.575
6/18/22 10:31:01 AM,%RH,27.439
6/18/22 12:31:01 PM,%RH,31.54
6/18/22 2:31:01 PM,%RH,25.365
6/18/22 4:31:01 PM,%RH,24.671
6/18/22 6:31:01 PM,%RH,24.671
6/18/22 8:31:01 PM,%RH,30.18
6/18/22 10:31:01 PM,%RH,35.579
6/19/22 12:31:01 AM,%RH,41.521
6/19/22 2:31:01 AM,%RH,49.227
6/19/22 4:31:01 AM,%RH,66.243
6/19/22 6:31:01 AM,%RH,74.245
6/19/22 8:31:01 AM,%RH,38.897
6/19/22 10:31:01 AM,%RH,35.579
6/19/22 12:31:01 PM,%RH,26.058
6/19/22 2:31:01 PM,%RH,22.576
6/19/22 4:31:01 PM,%RH,19.76
6/19/22 6:31:01 PM,%RH,23.974
6/19/22 8:31:01 PM,%RH,28.813
6/19/22 10:31:01 PM,%RH,32.893
6/20/22 12:31:01 AM,%RH,37.575
6/20/22 2:31:01 AM,%RH,41.521
6/20/22 4:31:01 AM,%RH,49.227
6/20/22 6:31:01 AM,%RH,55.459
6/20/22 8:31:01 AM,%RH,41.521
6/20/22 10:31:01 AM,%RH,33.567
6/20/22 12:31:01 PM,%RH,26.058
6/20/22 2:31:01 PM,%RH,24.671
6/20/22 4:31:01 PM,%RH,20.466
6/20/22 6:31:01 PM,%RH,19.76
6/20/22 8:31:01 PM,%RH,23.974
6/20/22 10:31:01 PM,%RH,32.217
6/21/22 12:31:01 AM,%RH,60.921
6/21/22 2:31:01 AM,%RH,74.803
6/21/22 4:31:01 AM,%RH,85.614
6/21/22 6:31:01 AM,%RH,88.723
6/21/22 8:31:01 AM,%RH,38.897
6/21/22 10:31:01 AM,%RH,30.18
6/21/22 12:31:01 PM,%RH,22.576
6/21/22 2:31:01 PM,%RH,19.051
6/21/22 4:31:01 PM,%RH,16.915
6/21/22 6:31:01 PM,%RH,16.915
6/21/22 8:31:01 PM,%RH,21.875
6/21/22 10:31:01 PM,%RH,34.239
6/22/22 12:31:01 AM,%RH,51.74
6/22/22 2:31:01 AM,%RH,57.904
6/22/22 4:31:01 AM,%RH,70.857
6/22/22 6:31:01 AM,%RH,77.571
6/22/22 8:31:01 AM,%RH,33.567
6/22/22 10:31:01 AM,%RH,28.127
6/22/22 12:31:01 PM,%RH,20.466
6/22/22 2:31:01 PM,%RH,19.051
6/22/22 4:31:01 PM,%RH,20.466
6/22/22 6:31:01 PM,%RH,19.051
6/22/22 8:31:01 PM,%RH,21.171
6/22/22 10:31:01 PM,%RH,30.861
6/23/22 12:31:01 AM,%RH,36.911
6/23/22 2:31:01 AM,%RH,41.521
6/23/22 4:31:01 AM,%RH,49.227
6/23/22 6:31:01 AM,%RH,52.987
6/23/22 8:31:01 AM,%RH,40.213
6/23/22 10:31:01 AM,%RH,31.54
6/23/22 12:31:01 PM,%RH,21.875
6/23/22 2:31:01 PM,%RH,20.466
6/23/22 4:31:01 PM,%RH,18.341
6/23/22 6:31:01 PM,%RH,18.341
6/23/22 8:31:01 PM,%RH,23.276
6/23/22 10:31:01 PM,%RH,28.127
6/24/22 12:31:01 AM,%RH,30.18
6/24/22 2:31:01 AM,%RH,32.217
6/24/22 4:31:01 AM,%RH,38.237
6/24/22 6:31:01 AM,%RH,41.521
6/24/22 8:31:01 AM,%RH,30.861
6/24/22 10:31:01 AM,%RH,23.276
6/24/22 12:31:01 PM,%RH,17.629
6/24/22 2:31:01 PM,%RH,17.629
6/24/22 4:31:01 PM,%RH,15.483
6/24/22 6:31:01 PM,%RH,14.044
6/24/22 8:31:01 PM,%RH,19.051
6/24/22 10:31:01 PM,%RH,23.974
6/25/22 12:31:01 AM,%RH,30.18
