1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D000000785F4441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:31:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:31:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27833
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:31:01 AM,C,22.644
6/9/22 10:31:01 AM,C,22.644
6/9/22 12:31:01 PM,C,22.144
6/9/22 2:31:01 PM,C,23.144
6/9/22 4:31:01 PM,C,22.644
6/9/22 6:31:01 PM,C,22.644
6/9/22 8:31:01 PM,C,23.144
6/9/22 10:31:01 PM,C,21.643
6/10/22 12:31:01 AM,C,23.144
6/10/22 2:31:01 AM,C,22.144
6/10/22 4:31:01 AM,C,22.644
6/10/22 6:31:01 AM,C,22.644
6/10/22 8:31:01 AM,C,30.642
6/10/22 10:31:01 AM,C,35.635
6/10/22 12:31:01 PM,C,40.124
6/10/22 2:31:01 PM,C,42.617
6/10/22 4:31:01 PM,C,44.112
6/10/22 6:31:01 PM,C,41.62
6/10/22 8:31:01 PM,C,34.637
6/10/22 10:31:01 PM,C,30.642
6/11/22 12:31:01 AM,C,28.644
6/11/22 2:31:01 AM,C,27.144
6/11/22 4:31:01 AM,C,25.145
6/11/22 6:31:01 AM,C,24.645
6/11/22 8:31:01 AM,C,30.642
6/11/22 10:31:01 AM,C,37.631
6/11/22 12:31:01 PM,C,42.617
6/11/22 2:31:01 PM,C,45.108
6/11/22 4:31:01 PM,C,46.602
6/11/22 6:31:01 PM,C,43.613
6/11/22 8:31:01 PM,C,37.132
6/11/22 10:31:01 PM,C,33.139
6/12/22 12:31:01 AM,C,30.642
6/12/22 2:31:01 AM,C,27.644
6/12/22 4:31:01 AM,C,26.644
6/12/22 6:31:01 AM,C,25.645
6/12/22 8:31:01 AM,C,31.641
6/12/22 10:31:01 AM,C,40.124
6/12/22 12:31:01 PM,C,43.613
6/12/22 2:31:01 PM,C,45.108
6/12/22 4:31:01 PM,C,46.602
6/12/22 6:31:01 PM,C,42.118
6/12/22 8:31:01 PM,C,35.635
6/12/22 10:31:01 PM,C,31.641
6/13/22 12:31:01 AM,C,29.143
6/13/22 2:31:01 AM,C,27.144
6/13/22 4:31:01 AM,C,24.144
6/13/22 6:31:01 AM,C,23.644
6/13/22 8:31:01 AM,C,29.643
6/13/22 10:31:01 AM,C,35.136
6/13/22 12:31:01 PM,C,39.626
6/13/22 2:31:01 PM,C,41.62
6/13/22 4:31:01 PM,C,41.62
6/13/22 6:31:01 PM,C,39.626
6/13/22 8:31:01 PM,C,33.638
6/13/22 10:31:01 PM,C,30.143
6/14/22 12:31:01 AM,C,28.644
6/14/22 2:31:01 AM,C,27.144
6/14/22 4:31:01 AM,C,25.645
6/14/22 6:31:01 AM,C,23.644
6/14/22 8:31:01 AM,C,28.644
6/14/22 10:31:01 AM,C,34.137
6/14/22 12:31:01 PM,C,40.623
6/14/22 2:31:01 PM,C,46.602
6/14/22 4:31:01 PM,C,44.61
6/14/22 6:31:01 PM,C,39.127
6/14/22 8:31:01 PM,C,34.137
6/14/22 10:31:01 PM,C,31.142
6/15/22 12:31:01 AM,C,28.144
6/15/22 2:31:01 AM,C,26.644
6/15/22 4:31:01 AM,C,25.145
6/15/22 6:31:01 AM,C,24.645
6/15/22 8:31:01 AM,C,29.143
6/15/22 10:31:01 AM,C,34.137
6/15/22 12:31:01 PM,C,37.631
6/15/22 2:31:01 PM,C,40.124
6/15/22 4:31:01 PM,C,41.121
6/15/22 6:31:01 PM,C,38.628
6/15/22 8:31:01 PM,C,33.139
6/15/22 10:31:01 PM,C,29.643
6/16/22 12:31:01 AM,C,28.144
6/16/22 2:31:01 AM,C,26.145
6/16/22 4:31:01 AM,C,24.645
6/16/22 6:31:01 AM,C,23.144
6/16/22 8:31:01 AM,C,29.643
6/16/22 10:31:01 AM,C,34.637
6/16/22 12:31:01 PM,C,39.127
6/16/22 2:31:01 PM,C,41.121
6/16/22 4:31:01 PM,C,41.121
6/16/22 6:31:01 PM,C,38.628
6/16/22 8:31:01 PM,C,32.64
6/16/22 10:31:01 PM,C,27.144
6/17/22 12:31:01 AM,C,26.644
6/17/22 2:31:01 AM,C,25.145
6/17/22 4:31:01 AM,C,22.144
6/17/22 6:31:01 AM,C,20.642
6/17/22 8:31:01 AM,C,29.143
6/17/22 10:31:01 AM,C,35.136
6/17/22 12:31:01 PM,C,38.628
6/17/22 2:31:01 PM,C,41.121
6/17/22 4:31:01 PM,C,41.62
6/17/22 6:31:01 PM,C,38.129
6/17/22 8:31:01 PM,C,32.14
6/17/22 10:31:01 PM,C,28.644
6/18/22 12:31:01 AM,C,25.145
6/18/22 2:31:01 AM,C,23.144
6/18/22 4:31:01 AM,C,22.144
6/18/22 6:31:01 AM,C,20.642
6/18/22 8:31:01 AM,C,31.142
6/18/22 10:31:01 AM,C,38.129
6/18/22 12:31:01 PM,C,34.637
6/18/22 2:31:01 PM,C,40.124
6/18/22 4:31:01 PM,C,40.124
6/18/22 6:31:01 PM,C,35.136
6/18/22 8:31:01 PM,C,31.641
