1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B400000078632E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:52:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:52:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27985
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:52:01 AM,%RH,48.981
6/9/22 10:52:01 AM,%RH,48.981
6/9/22 12:52:01 PM,%RH,43.802
6/9/22 2:52:01 PM,%RH,47.697
6/9/22 4:52:01 PM,%RH,44.456
6/9/22 6:52:01 PM,%RH,39.176
6/9/22 8:52:01 PM,%RH,43.147
6/9/22 10:52:01 PM,%RH,39.842
6/10/22 12:52:01 AM,%RH,43.802
6/10/22 2:52:01 AM,%RH,42.49
6/10/22 4:52:01 AM,%RH,43.147
6/10/22 6:52:01 AM,%RH,43.147
6/10/22 8:52:01 AM,%RH,52.788
6/10/22 10:52:01 AM,%RH,34.46
6/10/22 12:52:01 PM,%RH,25.467
6/10/22 2:52:01 PM,%RH,16.167
6/10/22 4:52:01 PM,%RH,16.167
6/10/22 6:52:01 PM,%RH,17.618
6/10/22 8:52:01 PM,%RH,24.056
6/10/22 10:52:01 PM,%RH,26.871
6/11/22 12:52:01 AM,%RH,31.726
6/11/22 2:52:01 AM,%RH,37.166
6/11/22 4:52:01 AM,%RH,43.802
6/11/22 6:52:01 AM,%RH,48.981
6/11/22 8:52:01 AM,%RH,39.842
6/11/22 10:52:01 AM,%RH,26.871
6/11/22 12:52:01 PM,%RH,16.167
6/11/22 2:52:01 PM,%RH,11.032
6/11/22 4:52:01 PM,%RH,10.291
6/11/22 6:52:01 PM,%RH,9.549
6/11/22 8:52:01 PM,%RH,15.439
6/11/22 10:52:01 PM,%RH,20.497
6/12/22 12:52:01 AM,%RH,24.762
6/12/22 2:52:01 AM,%RH,32.412
6/12/22 4:52:01 AM,%RH,39.176
6/12/22 6:52:01 AM,%RH,41.169
6/12/22 8:52:01 AM,%RH,33.779
6/12/22 10:52:01 AM,%RH,26.17
6/12/22 12:52:01 PM,%RH,18.34
6/12/22 2:52:01 PM,%RH,11.032
6/12/22 4:52:01 PM,%RH,11.032
6/12/22 6:52:01 PM,%RH,11.032
6/12/22 8:52:01 PM,%RH,14.709
6/12/22 10:52:01 PM,%RH,19.78
6/13/22 12:52:01 AM,%RH,23.348
6/13/22 2:52:01 AM,%RH,32.412
6/13/22 4:52:01 AM,%RH,37.166
6/13/22 6:52:01 AM,%RH,40.507
6/13/22 8:52:01 AM,%RH,39.176
6/13/22 10:52:01 AM,%RH,29.656
6/13/22 12:52:01 PM,%RH,24.056
6/13/22 2:52:01 PM,%RH,19.061
6/13/22 4:52:01 PM,%RH,16.893
6/13/22 6:52:01 PM,%RH,16.167
6/13/22 8:52:01 PM,%RH,21.213
6/13/22 10:52:01 PM,%RH,24.762
6/14/22 12:52:01 AM,%RH,27.57
6/14/22 2:52:01 AM,%RH,33.779
6/14/22 4:52:01 AM,%RH,50.893
6/14/22 6:52:01 AM,%RH,63.819
6/14/22 8:52:01 AM,%RH,50.893
6/14/22 10:52:01 AM,%RH,35.139
6/14/22 12:52:01 PM,%RH,18.34
6/14/22 2:52:01 PM,%RH,11.032
6/14/22 4:52:01 PM,%RH,11.032
6/14/22 6:52:01 PM,%RH,17.618
6/14/22 8:52:01 PM,%RH,28.267
6/14/22 10:52:01 PM,%RH,36.492
6/15/22 12:52:01 AM,%RH,45.108
6/15/22 2:52:01 AM,%RH,51.526
6/15/22 4:52:01 AM,%RH,54.043
6/15/22 6:52:01 AM,%RH,57.764
6/15/22 8:52:01 AM,%RH,44.456
6/15/22 10:52:01 AM,%RH,31.726
6/15/22 12:52:01 PM,%RH,24.762
