1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3700000078631C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:26:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:26:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28346
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:26:01 AM,C,22.575
6/9/22 10:26:01 AM,C,22.575
6/9/22 12:26:01 PM,C,22.075
6/9/22 2:26:01 PM,C,23.576
6/9/22 4:26:01 PM,C,22.075
6/9/22 6:26:01 PM,C,23.076
6/9/22 8:26:01 PM,C,23.076
6/9/22 10:26:01 PM,C,21.575
6/10/22 12:26:01 AM,C,23.076
6/10/22 2:26:01 AM,C,21.575
6/10/22 4:26:01 AM,C,22.575
6/10/22 6:26:01 AM,C,22.575
6/10/22 8:26:01 AM,C,27.076
6/10/22 10:26:01 AM,C,34.072
6/10/22 12:26:01 PM,C,38.566
6/10/22 2:26:01 PM,C,41.061
6/10/22 4:26:01 PM,C,43.057
6/10/22 6:26:01 PM,C,40.562
6/10/22 8:26:01 PM,C,34.571
6/10/22 10:26:01 PM,C,31.074
6/11/22 12:26:01 AM,C,29.075
6/11/22 2:26:01 AM,C,27.076
6/11/22 4:26:01 AM,C,25.076
6/11/22 6:26:01 AM,C,24.576
6/11/22 8:26:01 AM,C,29.075
6/11/22 10:26:01 AM,C,35.57
6/11/22 12:26:01 PM,C,41.56
6/11/22 2:26:01 PM,C,44.553
6/11/22 4:26:01 PM,C,45.551
6/11/22 6:26:01 PM,C,42.558
6/11/22 8:26:01 PM,C,37.068
6/11/22 10:26:01 PM,C,33.572
6/12/22 12:26:01 AM,C,31.074
6/12/22 2:26:01 AM,C,27.576
6/12/22 4:26:01 AM,C,26.576
6/12/22 6:26:01 AM,C,25.576
6/12/22 8:26:01 AM,C,30.575
6/12/22 10:26:01 AM,C,37.068
6/12/22 12:26:01 PM,C,41.56
6/12/22 2:26:01 PM,C,44.055
6/12/22 4:26:01 PM,C,44.055
6/12/22 6:26:01 PM,C,41.061
6/12/22 8:26:01 PM,C,36.069
6/12/22 10:26:01 PM,C,32.074
6/13/22 12:26:01 AM,C,29.575
6/13/22 2:26:01 AM,C,27.576
6/13/22 4:26:01 AM,C,24.576
6/13/22 6:26:01 AM,C,24.076
6/13/22 8:26:01 AM,C,28.576
6/13/22 10:26:01 AM,C,33.572
6/13/22 12:26:01 PM,C,37.567
6/13/22 2:26:01 PM,C,40.562
6/13/22 4:26:01 PM,C,41.061
6/13/22 6:26:01 PM,C,39.065
6/13/22 8:26:01 PM,C,34.072
6/13/22 10:26:01 PM,C,30.575
6/14/22 12:26:01 AM,C,28.576
6/14/22 2:26:01 AM,C,27.076
6/14/22 4:26:01 AM,C,25.576
6/14/22 6:26:01 AM,C,24.076
6/14/22 8:26:01 AM,C,28.576
6/14/22 10:26:01 AM,C,35.071
6/14/22 12:26:01 PM,C,44.055
6/14/22 2:26:01 PM,C,47.047
6/14/22 4:26:01 PM,C,49.041
6/14/22 6:26:01 PM,C,41.061
6/14/22 8:26:01 PM,C,34.571
6/14/22 10:26:01 PM,C,31.074
6/15/22 12:26:01 AM,C,28.076
6/15/22 2:26:01 AM,C,26.576
6/15/22 4:26:01 AM,C,25.076
6/15/22 6:26:01 AM,C,24.576
6/15/22 8:26:01 AM,C,28.576
6/15/22 10:26:01 AM,C,33.572
6/15/22 12:26:01 PM,C,36.569
6/15/22 2:26:01 PM,C,38.566
6/15/22 4:26:01 PM,C,39.564
6/15/22 6:26:01 PM,C,37.068
6/15/22 8:26:01 PM,C,32.074
6/15/22 10:26:01 PM,C,28.576
6/16/22 12:26:01 AM,C,26.576
6/16/22 2:26:01 AM,C,25.076
6/16/22 4:26:01 AM,C,24.076
6/16/22 6:26:01 AM,C,22.575
6/16/22 8:26:01 AM,C,28.576
6/16/22 10:26:01 AM,C,33.572
6/16/22 12:26:01 PM,C,37.567
6/16/22 2:26:01 PM,C,39.564
6/16/22 4:26:01 PM,C,40.063
6/16/22 6:26:01 PM,C,38.566
6/16/22 8:26:01 PM,C,32.074
6/16/22 10:26:01 PM,C,26.576
6/17/22 12:26:01 AM,C,26.076
6/17/22 2:26:01 AM,C,24.576
6/17/22 4:26:01 AM,C,21.575
6/17/22 6:26:01 AM,C,20.074
6/17/22 8:26:01 AM,C,28.576
6/17/22 10:26:01 AM,C,36.069
6/17/22 12:26:01 PM,C,40.063
6/17/22 2:26:01 PM,C,42.059
6/17/22 4:26:01 PM,C,42.059
6/17/22 6:26:01 PM,C,39.065
6/17/22 8:26:01 PM,C,32.573
6/17/22 10:26:01 PM,C,28.076
6/18/22 12:26:01 AM,C,25.076
6/18/22 2:26:01 AM,C,23.076
6/18/22 4:26:01 AM,C,22.075
6/18/22 6:26:01 AM,C,20.574
6/18/22 8:26:01 AM,C,31.574
6/18/22 10:26:01 AM,C,40.063
6/18/22 12:26:01 PM,C,41.061
6/18/22 2:26:01 PM,C,42.059
6/18/22 4:26:01 PM,C,42.059
6/18/22 6:26:01 PM,C,37.567
6/18/22 8:26:01 PM,C,32.074
6/18/22 10:26:01 PM,C,28.076
6/19/22 12:26:01 AM,C,26.076
6/19/22 2:26:01 AM,C,23.576
6/19/22 4:26:01 AM,C,21.575
6/19/22 6:26:01 AM,C,19.574
6/19/22 8:26:01 AM,C,31.074
6/19/22 10:26:01 AM,C,37.068
6/19/22 12:26:01 PM,C,39.564
6/19/22 2:26:01 PM,C,42.558
6/19/22 4:26:01 PM,C,42.059
6/19/22 6:26:01 PM,C,36.569
6/19/22 8:26:01 PM,C,32.074
6/19/22 10:26:01 PM,C,28.076
6/20/22 12:26:01 AM,C,26.576
6/20/22 2:26:01 AM,C,25.076
6/20/22 4:26:01 AM,C,23.576
6/20/22 6:26:01 AM,C,22.075
6/20/22 8:26:01 AM,C,32.074
6/20/22 10:26:01 AM,C,36.069
6/20/22 12:26:01 PM,C,38.066
6/20/22 2:26:01 PM,C,43.556
6/20/22 4:26:01 PM,C,41.56
6/20/22 6:26:01 PM,C,39.065
6/20/22 8:26:01 PM,C,31.074
6/20/22 10:26:01 PM,C,28.076
6/21/22 12:26:01 AM,C,24.076
