1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 400000005ABD3141
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:50:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:50:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  30993
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:50:01 AM,C,23.097
6/9/22 10:50:01 AM,C,23.097
6/9/22 12:50:01 PM,C,22.597
6/9/22 2:50:01 PM,C,23.597
6/9/22 4:50:01 PM,C,23.097
6/9/22 6:50:01 PM,C,22.597
6/9/22 8:50:01 PM,C,23.597
6/9/22 10:50:01 PM,C,21.596
6/10/22 12:50:01 AM,C,23.597
6/10/22 2:50:01 AM,C,22.597
6/10/22 4:50:01 AM,C,23.097
6/10/22 6:50:01 AM,C,23.097
6/10/22 8:50:01 AM,C,29.596
6/10/22 10:50:01 AM,C,34.591
6/10/22 12:50:01 PM,C,38.584
6/10/22 2:50:01 PM,C,41.577
6/10/22 4:50:01 PM,C,42.076
6/10/22 6:50:01 PM,C,39.083
6/10/22 8:50:01 PM,C,33.592
6/10/22 10:50:01 PM,C,31.595
6/11/22 12:50:01 AM,C,29.097
6/11/22 2:50:01 AM,C,27.597
6/11/22 4:50:01 AM,C,26.098
6/11/22 6:50:01 AM,C,25.098
6/11/22 8:50:01 AM,C,30.596
6/11/22 10:50:01 AM,C,36.588
6/11/22 12:50:01 PM,C,42.574
6/11/22 2:50:01 PM,C,44.569
6/11/22 4:50:01 PM,C,45.067
6/11/22 6:50:01 PM,C,42.574
6/11/22 8:50:01 PM,C,35.59
6/11/22 10:50:01 PM,C,33.592
6/12/22 12:50:01 AM,C,31.095
6/12/22 2:50:01 AM,C,28.097
6/12/22 4:50:01 AM,C,26.098
6/12/22 6:50:01 AM,C,27.097
6/12/22 8:50:01 AM,C,32.094
6/12/22 10:50:01 AM,C,37.586
6/12/22 12:50:01 PM,C,42.076
6/12/22 2:50:01 PM,C,44.07
6/12/22 4:50:01 PM,C,44.569
6/12/22 6:50:01 PM,C,40.58
6/12/22 8:50:01 PM,C,35.09
6/12/22 10:50:01 PM,C,31.595
6/13/22 12:50:01 AM,C,30.096
6/13/22 2:50:01 AM,C,27.597
6/13/22 4:50:01 AM,C,25.598
6/13/22 6:50:01 AM,C,24.598
6/13/22 8:50:01 AM,C,29.596
6/13/22 10:50:01 AM,C,35.09
6/13/22 12:50:01 PM,C,38.584
6/13/22 2:50:01 PM,C,41.078
6/13/22 4:50:01 PM,C,41.078
6/13/22 6:50:01 PM,C,38.085
6/13/22 8:50:01 PM,C,33.592
6/13/22 10:50:01 PM,C,30.596
6/14/22 12:50:01 AM,C,29.097
6/14/22 2:50:01 AM,C,27.597
6/14/22 4:50:01 AM,C,25.598
6/14/22 6:50:01 AM,C,24.097
6/14/22 8:50:01 AM,C,28.597
6/14/22 10:50:01 AM,C,34.591
6/14/22 12:50:01 PM,C,42.076
6/14/22 2:50:01 PM,C,43.073
6/14/22 4:50:01 PM,C,44.07
6/14/22 6:50:01 PM,C,38.584
6/14/22 8:50:01 PM,C,33.592
6/14/22 10:50:01 PM,C,31.595
6/15/22 12:50:01 AM,C,28.097
6/15/22 2:50:01 AM,C,26.598
6/15/22 4:50:01 AM,C,26.098
6/15/22 6:50:01 AM,C,25.098
6/15/22 8:50:01 AM,C,29.596
6/15/22 10:50:01 AM,C,35.09
6/15/22 12:50:01 PM,C,39.582
6/15/22 2:50:01 PM,C,42.076
6/15/22 4:50:01 PM,C,41.577
6/15/22 6:50:01 PM,C,39.582
6/15/22 8:50:01 PM,C,33.093
6/15/22 10:50:01 PM,C,30.596
6/16/22 12:50:01 AM,C,28.597
6/16/22 2:50:01 AM,C,27.097
6/16/22 4:50:01 AM,C,25.598
6/16/22 6:50:01 AM,C,24.097
6/16/22 8:50:01 AM,C,29.596
6/16/22 10:50:01 AM,C,35.59
6/16/22 12:50:01 PM,C,38.584
6/16/22 2:50:01 PM,C,39.582
6/16/22 4:50:01 PM,C,41.078
6/16/22 6:50:01 PM,C,38.085
6/16/22 8:50:01 PM,C,32.094
6/16/22 10:50:01 PM,C,28.597
6/17/22 12:50:01 AM,C,27.097
6/17/22 2:50:01 AM,C,25.598
6/17/22 4:50:01 AM,C,22.597
6/17/22 6:50:01 AM,C,22.097
6/17/22 8:50:01 AM,C,29.596
6/17/22 10:50:01 AM,C,36.089
6/17/22 12:50:01 PM,C,38.584
6/17/22 2:50:01 PM,C,41.577
6/17/22 4:50:01 PM,C,40.081
6/17/22 6:50:01 PM,C,37.087
6/17/22 8:50:01 PM,C,31.595
6/17/22 10:50:01 PM,C,28.597
6/18/22 12:50:01 AM,C,25.598
6/18/22 2:50:01 AM,C,24.097
6/18/22 4:50:01 AM,C,22.597
6/18/22 6:50:01 AM,C,20.596
6/18/22 8:50:01 AM,C,30.096
6/18/22 10:50:01 AM,C,35.59
6/18/22 12:50:01 PM,C,38.085
6/18/22 2:50:01 PM,C,34.092
6/18/22 4:50:01 PM,C,36.089
6/18/22 6:50:01 PM,C,37.087
6/18/22 8:50:01 PM,C,31.095
6/18/22 10:50:01 PM,C,29.097
6/19/22 12:50:01 AM,C,27.097
6/19/22 2:50:01 AM,C,24.097
6/19/22 4:50:01 AM,C,21.596
6/19/22 6:50:01 AM,C,20.596
6/19/22 8:50:01 AM,C,30.096
6/19/22 10:50:01 AM,C,35.09
6/19/22 12:50:01 PM,C,37.586
6/19/22 2:50:01 PM,C,38.085
6/19/22 4:50:01 PM,C,39.582
6/19/22 6:50:01 PM,C,35.59
6/19/22 8:50:01 PM,C,30.596
6/19/22 10:50:01 PM,C,28.097
6/20/22 12:50:01 AM,C,27.597
6/20/22 2:50:01 AM,C,25.098
6/20/22 4:50:01 AM,C,24.097
6/20/22 6:50:01 AM,C,23.097
6/20/22 8:50:01 AM,C,30.096
6/20/22 10:50:01 AM,C,35.09
6/20/22 12:50:01 PM,C,35.09
6/20/22 2:50:01 PM,C,40.081
6/20/22 4:50:01 PM,C,40.081
