1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007863B241
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:46:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:46:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28342
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:46:01 AM,%RH,48.676
6/9/22 10:46:01 AM,%RH,49.302
6/9/22 12:46:01 PM,%RH,44.245
6/9/22 2:46:01 PM,%RH,48.048
6/9/22 4:46:01 PM,%RH,45.519
6/9/22 6:46:01 PM,%RH,41.032
6/9/22 8:46:01 PM,%RH,42.965
6/9/22 10:46:01 PM,%RH,39.735
6/10/22 12:46:01 AM,%RH,43.606
6/10/22 2:46:01 AM,%RH,41.678
6/10/22 4:46:01 AM,%RH,42.965
6/10/22 6:46:01 AM,%RH,43.606
6/10/22 8:46:01 AM,%RH,46.154
6/10/22 10:46:01 AM,%RH,36.464
6/10/22 12:46:01 PM,%RH,25.725
6/10/22 2:46:01 PM,%RH,19.501
6/10/22 4:46:01 PM,%RH,15.986
6/10/22 6:46:01 PM,%RH,16.692
6/10/22 8:46:01 PM,%RH,22.975
6/10/22 10:46:01 PM,%RH,26.408
6/11/22 12:46:01 AM,%RH,31.147
6/11/22 2:46:01 AM,%RH,36.464
6/11/22 4:46:01 AM,%RH,41.678
6/11/22 6:46:01 AM,%RH,48.676
6/11/22 8:46:01 AM,%RH,39.735
6/11/22 10:46:01 AM,%RH,27.09
6/11/22 12:46:01 PM,%RH,19.501
6/11/22 2:46:01 PM,%RH,12.43
6/11/22 4:46:01 PM,%RH,10.997
6/11/22 6:46:01 PM,%RH,9.557
6/11/22 8:46:01 PM,%RH,14.569
6/11/22 10:46:01 PM,%RH,19.501
6/12/22 12:46:01 AM,%RH,25.04
6/12/22 2:46:01 AM,%RH,31.147
6/12/22 4:46:01 AM,%RH,36.464
6/12/22 6:46:01 AM,%RH,39.735
6/12/22 8:46:01 AM,%RH,35.805
6/12/22 10:46:01 AM,%RH,26.408
6/12/22 12:46:01 PM,%RH,18.801
6/12/22 2:46:01 PM,%RH,13.858
6/12/22 4:46:01 PM,%RH,11.714
6/12/22 6:46:01 PM,%RH,10.997
6/12/22 8:46:01 PM,%RH,14.569
6/12/22 10:46:01 PM,%RH,19.501
6/13/22 12:46:01 AM,%RH,22.975
6/13/22 2:46:01 AM,%RH,30.475
6/13/22 4:46:01 AM,%RH,37.122
6/13/22 6:46:01 AM,%RH,41.032
6/13/22 8:46:01 AM,%RH,38.431
6/13/22 10:46:01 AM,%RH,31.147
6/13/22 12:46:01 PM,%RH,26.408
6/13/22 2:46:01 PM,%RH,21.59
6/13/22 4:46:01 PM,%RH,19.501
6/13/22 6:46:01 PM,%RH,18.1
6/13/22 8:46:01 PM,%RH,20.895
6/13/22 10:46:01 PM,%RH,22.975
6/14/22 12:46:01 AM,%RH,27.09
6/14/22 2:46:01 AM,%RH,33.153
6/14/22 4:46:01 AM,%RH,49.302
6/14/22 6:46:01 AM,%RH,63.26
6/14/22 8:46:01 AM,%RH,59.103
6/14/22 10:46:01 AM,%RH,43.606
6/14/22 12:46:01 PM,%RH,27.77
