1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007863B241
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:46:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:46:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28342
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:46:01 AM,C,23.66
6/9/22 10:46:01 AM,C,23.66
6/9/22 12:46:01 PM,C,22.659
6/9/22 2:46:01 PM,C,23.66
6/9/22 4:46:01 PM,C,23.159
6/9/22 6:46:01 PM,C,23.159
6/9/22 8:46:01 PM,C,23.66
6/9/22 10:46:01 PM,C,22.159
6/10/22 12:46:01 AM,C,23.66
6/10/22 2:46:01 AM,C,22.659
6/10/22 4:46:01 AM,C,23.159
6/10/22 6:46:01 AM,C,23.159
6/10/22 8:46:01 AM,C,29.658
6/10/22 10:46:01 AM,C,34.65
6/10/22 12:46:01 PM,C,39.138
6/10/22 2:46:01 PM,C,42.624
6/10/22 4:46:01 PM,C,44.615
6/10/22 6:46:01 PM,C,41.13
6/10/22 8:46:01 PM,C,34.151
6/10/22 10:46:01 PM,C,31.157
6/11/22 12:46:01 AM,C,29.658
6/11/22 2:46:01 AM,C,27.66
6/11/22 4:46:01 AM,C,26.16
6/11/22 6:46:01 AM,C,25.16
6/11/22 8:46:01 AM,C,31.656
6/11/22 10:46:01 AM,C,37.642
6/11/22 12:46:01 PM,C,42.126
6/11/22 2:46:01 PM,C,44.118
6/11/22 4:46:01 PM,C,45.61
6/11/22 6:46:01 PM,C,43.62
6/11/22 8:46:01 PM,C,36.147
6/11/22 10:46:01 PM,C,34.151
6/12/22 12:46:01 AM,C,31.157
6/12/22 2:46:01 AM,C,28.159
6/12/22 4:46:01 AM,C,26.16
6/12/22 6:46:01 AM,C,26.66
6/12/22 8:46:01 AM,C,32.155
6/12/22 10:46:01 AM,C,38.639
6/12/22 12:46:01 PM,C,42.624
6/12/22 2:46:01 PM,C,44.615
6/12/22 4:46:01 PM,C,45.61
6/12/22 6:46:01 PM,C,42.126
6/12/22 8:46:01 PM,C,35.648
6/12/22 10:46:01 PM,C,32.155
6/13/22 12:46:01 AM,C,29.658
6/13/22 2:46:01 AM,C,27.66
6/13/22 4:46:01 AM,C,25.16
6/13/22 6:46:01 AM,C,24.16
6/13/22 8:46:01 AM,C,30.657
6/13/22 10:46:01 AM,C,35.149
6/13/22 12:46:01 PM,C,38.639
6/13/22 2:46:01 PM,C,41.628
6/13/22 4:46:01 PM,C,42.126
6/13/22 6:46:01 PM,C,39.138
6/13/22 8:46:01 PM,C,34.151
6/13/22 10:46:01 PM,C,31.157
6/14/22 12:46:01 AM,C,29.159
6/14/22 2:46:01 AM,C,27.66
6/14/22 4:46:01 AM,C,25.66
6/14/22 6:46:01 AM,C,24.66
6/14/22 8:46:01 AM,C,28.659
6/14/22 10:46:01 AM,C,34.151
6/14/22 12:46:01 PM,C,39.636
6/14/22 2:46:01 PM,C,43.122
6/14/22 4:46:01 PM,C,44.615
6/14/22 6:46:01 PM,C,40.632
6/14/22 8:46:01 PM,C,34.151
6/14/22 10:46:01 PM,C,31.656
6/15/22 12:46:01 AM,C,28.659
6/15/22 2:46:01 AM,C,27.16
6/15/22 4:46:01 AM,C,26.16
6/15/22 6:46:01 AM,C,25.66
6/15/22 8:46:01 AM,C,28.659
6/15/22 10:46:01 AM,C,35.149
6/15/22 12:46:01 PM,C,37.144
6/15/22 2:46:01 PM,C,40.632
6/15/22 4:46:01 PM,C,41.628
6/15/22 6:46:01 PM,C,40.134
6/15/22 8:46:01 PM,C,33.652
6/15/22 10:46:01 PM,C,30.657
6/16/22 12:46:01 AM,C,28.659
6/16/22 2:46:01 AM,C,27.16
6/16/22 4:46:01 AM,C,25.66
6/16/22 6:46:01 AM,C,24.16
6/16/22 8:46:01 AM,C,30.657
6/16/22 10:46:01 AM,C,34.65
6/16/22 12:46:01 PM,C,38.141
6/16/22 2:46:01 PM,C,40.632
6/16/22 4:46:01 PM,C,41.13
6/16/22 6:46:01 PM,C,39.138
6/16/22 8:46:01 PM,C,32.654
6/16/22 10:46:01 PM,C,28.659
6/17/22 12:46:01 AM,C,27.16
6/17/22 2:46:01 AM,C,25.66
6/17/22 4:46:01 AM,C,22.659
6/17/22 6:46:01 AM,C,21.658
6/17/22 8:46:01 AM,C,30.158
6/17/22 10:46:01 AM,C,34.65
6/17/22 12:46:01 PM,C,38.141
6/17/22 2:46:01 PM,C,41.13
6/17/22 4:46:01 PM,C,41.13
6/17/22 6:46:01 PM,C,38.141
6/17/22 8:46:01 PM,C,32.155
6/17/22 10:46:01 PM,C,28.659
6/18/22 12:46:01 AM,C,25.66
6/18/22 2:46:01 AM,C,23.66
6/18/22 4:46:01 AM,C,22.659
6/18/22 6:46:01 AM,C,20.657
6/18/22 8:46:01 AM,C,31.157
6/18/22 10:46:01 AM,C,36.645
6/18/22 12:46:01 PM,C,38.639
6/18/22 2:46:01 PM,C,36.147
6/18/22 4:46:01 PM,C,36.645
6/18/22 6:46:01 PM,C,39.138
6/18/22 8:46:01 PM,C,31.656
6/18/22 10:46:01 PM,C,29.159
6/19/22 12:46:01 AM,C,27.66
6/19/22 2:46:01 AM,C,24.66
6/19/22 4:46:01 AM,C,21.658
6/19/22 6:46:01 AM,C,20.156
6/19/22 8:46:01 AM,C,31.157
6/19/22 10:46:01 AM,C,35.149
6/19/22 12:46:01 PM,C,36.147
6/19/22 2:46:01 PM,C,35.648
