1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FC0000005AC34441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:45:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:45:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  32141
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:45:01 AM,C,23.125
6/9/22 10:45:01 AM,C,23.125
6/9/22 12:45:01 PM,C,22.625
6/9/22 2:45:01 PM,C,23.625
6/9/22 4:45:01 PM,C,23.125
6/9/22 6:45:01 PM,C,23.125
6/9/22 8:45:01 PM,C,23.625
6/9/22 10:45:01 PM,C,21.624
6/10/22 12:45:01 AM,C,23.125
6/10/22 2:45:01 AM,C,22.625
6/10/22 4:45:01 AM,C,23.125
6/10/22 6:45:01 AM,C,23.125
6/10/22 8:45:01 AM,C,30.124
6/10/22 10:45:01 AM,C,34.621
6/10/22 12:45:01 PM,C,38.616
6/10/22 2:45:01 PM,C,43.109
6/10/22 4:45:01 PM,C,45.106
6/10/22 6:45:01 PM,C,41.113
6/10/22 8:45:01 PM,C,34.121
6/10/22 10:45:01 PM,C,31.123
6/11/22 12:45:01 AM,C,29.124
6/11/22 2:45:01 AM,C,27.625
6/11/22 4:45:01 AM,C,25.625
6/11/22 6:45:01 AM,C,24.625
6/11/22 8:45:01 AM,C,31.623
6/11/22 10:45:01 AM,C,38.117
6/11/22 12:45:01 PM,C,41.612
6/11/22 2:45:01 PM,C,45.106
6/11/22 4:45:01 PM,C,46.602
6/11/22 6:45:01 PM,C,43.608
6/11/22 8:45:01 PM,C,36.119
6/11/22 10:45:01 PM,C,33.622
6/12/22 12:45:01 AM,C,30.624
6/12/22 2:45:01 AM,C,27.625
6/12/22 4:45:01 AM,C,26.125
6/12/22 6:45:01 AM,C,26.625
6/12/22 8:45:01 AM,C,32.123
6/12/22 10:45:01 AM,C,39.116
6/12/22 12:45:01 PM,C,42.111
6/12/22 2:45:01 PM,C,45.106
6/12/22 4:45:01 PM,C,45.605
6/12/22 6:45:01 PM,C,42.111
6/12/22 8:45:01 PM,C,35.12
6/12/22 10:45:01 PM,C,31.623
6/13/22 12:45:01 AM,C,29.624
6/13/22 2:45:01 AM,C,27.625
6/13/22 4:45:01 AM,C,24.625
6/13/22 6:45:01 AM,C,24.125
6/13/22 8:45:01 AM,C,31.123
6/13/22 10:45:01 AM,C,35.62
6/13/22 12:45:01 PM,C,38.616
6/13/22 2:45:01 PM,C,42.61
6/13/22 4:45:01 PM,C,42.61
6/13/22 6:45:01 PM,C,39.116
6/13/22 8:45:01 PM,C,33.622
6/13/22 10:45:01 PM,C,30.624
6/14/22 12:45:01 AM,C,28.625
6/14/22 2:45:01 AM,C,27.125
6/14/22 4:45:01 AM,C,25.625
6/14/22 6:45:01 AM,C,24.125
6/14/22 8:45:01 AM,C,32.123
6/14/22 10:45:01 AM,C,38.616
6/14/22 12:45:01 PM,C,45.605
6/14/22 2:45:01 PM,C,54.582
6/14/22 4:45:01 PM,C,51.591
6/14/22 6:45:01 PM,C,43.608
6/14/22 8:45:01 PM,C,34.121
6/14/22 10:45:01 PM,C,31.123
6/15/22 12:45:01 AM,C,28.125
6/15/22 2:45:01 AM,C,26.625
6/15/22 4:45:01 AM,C,25.625
6/15/22 6:45:01 AM,C,24.625
6/15/22 8:45:01 AM,C,29.624
6/15/22 10:45:01 AM,C,40.613
6/15/22 12:45:01 PM,C,43.109
6/15/22 2:45:01 PM,C,47.6
6/15/22 4:45:01 PM,C,47.6
6/15/22 6:45:01 PM,C,44.108
6/15/22 8:45:01 PM,C,33.622
6/15/22 10:45:01 PM,C,30.124
6/16/22 12:45:01 AM,C,28.125
6/16/22 2:45:01 AM,C,26.625
6/16/22 4:45:01 AM,C,25.125
6/16/22 6:45:01 AM,C,23.625
6/16/22 8:45:01 AM,C,35.12
6/16/22 10:45:01 AM,C,40.114
6/16/22 12:45:01 PM,C,43.608
6/16/22 2:45:01 PM,C,47.101
6/16/22 4:45:01 PM,C,47.101
6/16/22 6:45:01 PM,C,42.111
6/16/22 8:45:01 PM,C,32.622
6/16/22 10:45:01 PM,C,27.625
6/17/22 12:45:01 AM,C,26.625
6/17/22 2:45:01 AM,C,25.125
6/17/22 4:45:01 AM,C,22.124
6/17/22 6:45:01 AM,C,21.124
6/17/22 8:45:01 AM,C,33.122
6/17/22 10:45:01 AM,C,40.613
6/17/22 12:45:01 PM,C,42.111
6/17/22 2:45:01 PM,C,46.602
6/17/22 4:45:01 PM,C,46.602
6/17/22 6:45:01 PM,C,41.113
6/17/22 8:45:01 PM,C,32.123
6/17/22 10:45:01 PM,C,28.125
6/18/22 12:45:01 AM,C,24.625
6/18/22 2:45:01 AM,C,23.125
6/18/22 4:45:01 AM,C,21.624
6/18/22 6:45:01 AM,C,20.624
6/18/22 8:45:01 AM,C,34.621
6/18/22 10:45:01 AM,C,43.109
6/18/22 12:45:01 PM,C,42.61
6/18/22 2:45:01 PM,C,39.615
6/18/22 4:45:01 PM,C,40.114
6/18/22 6:45:01 PM,C,41.113
6/18/22 8:45:01 PM,C,31.623
6/18/22 10:45:01 PM,C,28.625
6/19/22 12:45:01 AM,C,26.625
6/19/22 2:45:01 AM,C,24.125
6/19/22 4:45:01 AM,C,21.624
6/19/22 6:45:01 AM,C,19.623
6/19/22 8:45:01 AM,C,36.119
6/19/22 10:45:01 AM,C,40.114
6/19/22 12:45:01 PM,C,40.613
6/19/22 2:45:01 PM,C,42.111
6/19/22 4:45:01 PM,C,47.101
6/19/22 6:45:01 PM,C,36.619
6/19/22 8:45:01 PM,C,30.624
6/19/22 10:45:01 PM,C,27.625
6/20/22 12:45:01 AM,C,27.125
6/20/22 2:45:01 AM,C,24.625
6/20/22 4:45:01 AM,C,23.625
6/20/22 6:45:01 AM,C,22.625
6/20/22 8:45:01 AM,C,33.622
6/20/22 10:45:01 AM,C,38.616
6/20/22 12:45:01 PM,C,39.615
6/20/22 2:45:01 PM,C,46.104
6/20/22 4:45:01 PM,C,44.607
6/20/22 6:45:01 PM,C,40.613
6/20/22 8:45:01 PM,C,31.123
6/20/22 10:45:01 PM,C,27.625
6/21/22 12:45:01 AM,C,23.625
6/21/22 2:45:01 AM,C,20.624
6/21/22 4:45:01 AM,C,18.623
6/21/22 6:45:01 AM,C,18.122
6/21/22 8:45:01 AM,C,34.121
6/21/22 10:45:01 AM,C,40.613
6/21/22 12:45:01 PM,C,43.109
6/21/22 2:45:01 PM,C,45.605
6/21/22 4:45:01 PM,C,49.097
6/21/22 6:45:01 PM,C,41.612
6/21/22 8:45:01 PM,C,32.123
6/21/22 10:45:01 PM,C,26.625
6/22/22 12:45:01 AM,C,25.625
6/22/22 2:45:01 AM,C,23.125
6/22/22 4:45:01 AM,C,19.123
6/22/22 6:45:01 AM,C,18.122
6/22/22 8:45:01 AM,C,35.12
6/22/22 10:45:01 AM,C,44.108
6/22/22 12:45:01 PM,C,48.099
6/22/22 2:45:01 PM,C,51.092
6/22/22 4:45:01 PM,C,47.101
6/22/22 6:45:01 PM,C,41.612
6/22/22 8:45:01 PM,C,32.622
6/22/22 10:45:01 PM,C,26.125
6/23/22 12:45:01 AM,C,25.125
6/23/22 2:45:01 AM,C,24.625
6/23/22 4:45:01 AM,C,23.625
6/23/22 6:45:01 AM,C,23.625
6/23/22 8:45:01 AM,C,35.12
6/23/22 10:45:01 AM,C,42.61
6/23/22 12:45:01 PM,C,44.108
6/23/22 2:45:01 PM,C,51.092
6/23/22 4:45:01 PM,C,46.104
6/23/22 6:45:01 PM,C,43.109
6/23/22 8:45:01 PM,C,33.122
6/23/22 10:45:01 PM,C,29.124
6/24/22 12:45:01 AM,C,27.625
6/24/22 2:45:01 AM,C,26.625
6/24/22 4:45:01 AM,C,24.125
6/24/22 6:45:01 AM,C,23.125
6/24/22 8:45:01 AM,C,34.621
6/24/22 10:45:01 AM,C,41.612
6/24/22 12:45:01 PM,C,45.605
6/24/22 2:45:01 PM,C,50.593
6/24/22 4:45:01 PM,C,49.097
6/24/22 6:45:01 PM,C,45.605
6/24/22 8:45:01 PM,C,33.622
6/24/22 10:45:01 PM,C,29.624
6/25/22 12:45:01 AM,C,27.125
6/25/22 2:45:01 AM,C,26.125
6/25/22 4:45:01 AM,C,24.625
6/25/22 6:45:01 AM,C,22.124
6/25/22 8:45:01 AM,C,35.62
6/25/22 10:45:01 AM,C,42.61
6/25/22 12:45:01 PM,C,46.602
6/25/22 2:45:01 PM,C,52.588
6/25/22 4:45:01 PM,C,53.086
6/25/22 6:45:01 PM,C,48.099
6/25/22 8:45:01 PM,C,29.624
6/25/22 10:45:01 PM,C,27.125
6/26/22 12:45:01 AM,C,25.125
6/26/22 2:45:01 AM,C,22.625
6/26/22 4:45:01 AM,C,21.124
6/26/22 6:45:01 AM,C,20.624
6/26/22 8:45:01 AM,C,30.624
6/26/22 10:45:01 AM,C,34.621
6/26/22 12:45:01 PM,C,38.117
6/26/22 2:45:01 PM,C,37.618
6/26/22 4:45:01 PM,C,34.621
6/26/22 6:45:01 PM,C,35.62
6/26/22 8:45:01 PM,C,25.625
6/26/22 10:45:01 PM,C,21.624
6/27/22 12:45:01 AM,C,19.623
6/27/22 2:45:01 AM,C,18.623
6/27/22 4:45:01 AM,C,17.622
6/27/22 6:45:01 AM,C,16.621
6/27/22 8:45:01 AM,C,28.625
6/27/22 10:45:01 AM,C,37.618
6/27/22 12:45:01 PM,C,41.612
6/27/22 2:45:01 PM,C,42.111
6/27/22 4:45:01 PM,C,50.593
6/27/22 6:45:01 PM,C,36.119
6/27/22 8:45:01 PM,C,28.125
6/27/22 10:45:01 PM,C,24.125
6/28/22 12:45:01 AM,C,23.125
6/28/22 2:45:01 AM,C,22.625
6/28/22 4:45:01 AM,C,21.624
6/28/22 6:45:01 AM,C,20.624
6/28/22 8:45:01 AM,C,26.625
6/28/22 10:45:01 AM,C,33.622
6/28/22 12:45:01 PM,C,41.113
6/28/22 2:45:01 PM,C,39.615
6/28/22 4:45:01 PM,C,37.118
6/28/22 6:45:01 PM,C,31.623
6/28/22 8:45:01 PM,C,28.625
6/28/22 10:45:01 PM,C,24.125
6/29/22 12:45:01 AM,C,22.124
6/29/22 2:45:01 AM,C,20.624
6/29/22 4:45:01 AM,C,19.123
6/29/22 6:45:01 AM,C,17.622
6/29/22 8:45:01 AM,C,33.622
6/29/22 10:45:01 AM,C,40.613
6/29/22 12:45:01 PM,C,46.104
6/29/22 2:45:01 PM,C,50.593
6/29/22 4:45:01 PM,C,52.089
6/29/22 6:45:01 PM,C,47.101
6/29/22 8:45:01 PM,C,31.623
6/29/22 10:45:01 PM,C,27.125
6/30/22 12:45:01 AM,C,25.125
6/30/22 2:45:01 AM,C,23.125
6/30/22 4:45:01 AM,C,21.624
6/30/22 6:45:01 AM,C,20.124
6/30/22 8:45:01 AM,C,32.622
6/30/22 10:45:01 AM,C,40.613
6/30/22 12:45:01 PM,C,44.607
6/30/22 2:45:01 PM,C,50.094
6/30/22 4:45:01 PM,C,55.579
6/30/22 6:45:01 PM,C,45.605
6/30/22 8:45:01 PM,C,33.622
6/30/22 10:45:01 PM,C,28.625
7/1/22 12:45:01 AM,C,26.125
7/1/22 2:45:01 AM,C,26.125
7/1/22 4:45:01 AM,C,24.125
7/1/22 6:45:01 AM,C,23.125
7/1/22 8:45:01 AM,C,34.121
7/1/22 10:45:01 AM,C,42.111
7/1/22 12:45:01 PM,C,47.101
7/1/22 2:45:01 PM,C,57.573
7/1/22 4:45:01 PM,C,41.113
7/1/22 6:45:01 PM,C,44.108
7/1/22 8:45:01 PM,C,33.622
7/1/22 10:45:01 PM,C,28.625
7/2/22 12:45:01 AM,C,28.625
7/2/22 2:45:01 AM,C,26.625
7/2/22 4:45:01 AM,C,22.625
7/2/22 6:45:01 AM,C,22.625
7/2/22 8:45:01 AM,C,38.616
7/2/22 10:45:01 AM,C,43.109
7/2/22 12:45:01 PM,C,47.6
7/2/22 2:45:01 PM,C,49.596
7/2/22 4:45:01 PM,C,50.593
7/2/22 6:45:01 PM,C,46.602
7/2/22 8:45:01 PM,C,33.122
7/2/22 10:45:01 PM,C,28.625
7/3/22 12:45:01 AM,C,27.125
7/3/22 2:45:01 AM,C,25.125
7/3/22 4:45:01 AM,C,24.125
7/3/22 6:45:01 AM,C,23.625
7/3/22 8:45:01 AM,C,36.119
7/3/22 10:45:01 AM,C,40.613
7/3/22 12:45:01 PM,C,43.109
7/3/22 2:45:01 PM,C,47.101
7/3/22 4:45:01 PM,C,49.596
7/3/22 6:45:01 PM,C,40.613
7/3/22 8:45:01 PM,C,30.624
7/3/22 10:45:01 PM,C,27.125
7/4/22 12:45:01 AM,C,25.625
7/4/22 2:45:01 AM,C,24.625
7/4/22 4:45:01 AM,C,23.125
7/4/22 6:45:01 AM,C,23.125
7/4/22 8:45:01 AM,C,32.123
7/4/22 10:45:01 AM,C,39.116
7/4/22 12:45:01 PM,C,42.61
7/4/22 2:45:01 PM,C,49.097
7/4/22 4:45:01 PM,C,49.097
7/4/22 6:45:01 PM,C,43.608
7/4/22 8:45:01 PM,C,32.622
7/4/22 10:45:01 PM,C,31.123
7/5/22 12:45:01 AM,C,26.625
7/5/22 2:45:01 AM,C,25.125
7/5/22 4:45:01 AM,C,24.625
7/5/22 6:45:01 AM,C,24.125
7/5/22 8:45:01 AM,C,34.121
7/5/22 10:45:01 AM,C,39.116
7/5/22 12:45:01 PM,C,43.608
7/5/22 2:45:01 PM,C,47.6
7/5/22 4:45:01 PM,C,35.62
7/5/22 6:45:01 PM,C,32.622
7/5/22 8:45:01 PM,C,29.624
7/5/22 10:45:01 PM,C,26.125
7/6/22 12:45:01 AM,C,26.125
7/6/22 2:45:01 AM,C,25.625
7/6/22 4:45:01 AM,C,23.625
7/6/22 6:45:01 AM,C,23.125
7/6/22 8:45:01 AM,C,34.121
7/6/22 10:45:01 AM,C,44.607
7/6/22 12:45:01 PM,C,45.605
7/6/22 2:45:01 PM,C,49.097
7/6/22 4:45:01 PM,C,38.117
7/6/22 6:45:01 PM,C,32.622
7/6/22 8:45:01 PM,C,30.124
7/6/22 10:45:01 PM,C,26.625
7/7/22 12:45:01 AM,C,26.625
7/7/22 2:45:01 AM,C,22.124
7/7/22 4:45:01 AM,C,25.625
7/7/22 6:45:01 AM,C,24.125
7/7/22 8:45:01 AM,C,34.621
7/7/22 10:45:01 AM,C,42.111
7/7/22 12:45:01 PM,C,46.104
7/7/22 2:45:01 PM,C,50.593
7/7/22 4:45:01 PM,C,44.108
7/7/22 6:45:01 PM,C,37.618
7/7/22 8:45:01 PM,C,30.624
7/7/22 10:45:01 PM,C,26.625
7/8/22 12:45:01 AM,C,25.625
7/8/22 2:45:01 AM,C,20.624
7/8/22 4:45:01 AM,C,20.124
7/8/22 6:45:01 AM,C,20.124
7/8/22 8:45:01 AM,C,34.121
7/8/22 10:45:01 AM,C,43.608
7/8/22 12:45:01 PM,C,48.598
7/8/22 2:45:01 PM,C,51.092
7/8/22 4:45:01 PM,C,58.071
7/8/22 6:45:01 PM,C,49.596
7/8/22 8:45:01 PM,C,30.124
7/8/22 10:45:01 PM,C,27.125
7/9/22 12:45:01 AM,C,25.125
7/9/22 2:45:01 AM,C,23.125
7/9/22 4:45:01 AM,C,20.124
7/9/22 6:45:01 AM,C,20.124
7/9/22 8:45:01 AM,C,36.619
7/9/22 10:45:01 AM,C,49.596
7/9/22 12:45:01 PM,C,46.104
7/9/22 2:45:01 PM,C,46.602
7/9/22 4:45:01 PM,C,49.596
7/9/22 6:45:01 PM,C,45.605
7/9/22 8:45:01 PM,C,34.121
7/9/22 10:45:01 PM,C,26.625
7/10/22 12:45:01 AM,C,24.625
7/10/22 2:45:01 AM,C,25.125
7/10/22 4:45:01 AM,C,23.625
7/10/22 6:45:01 AM,C,19.623
7/10/22 8:45:01 AM,C,41.612
7/10/22 10:45:01 AM,C,47.101
7/10/22 12:45:01 PM,C,49.097
7/10/22 2:45:01 PM,C,53.086
7/10/22 4:45:01 PM,C,51.092
7/10/22 6:45:01 PM,C,47.6
7/10/22 8:45:01 PM,C,34.621
7/10/22 10:45:01 PM,C,29.624
7/11/22 12:45:01 AM,C,28.125
7/11/22 2:45:01 AM,C,24.625
7/11/22 4:45:01 AM,C,22.625
7/11/22 6:45:01 AM,C,19.123
7/11/22 8:45:01 AM,C,39.116
7/11/22 10:45:01 AM,C,48.099
7/11/22 12:45:01 PM,C,52.588
7/11/22 2:45:01 PM,C,53.585
7/11/22 4:45:01 PM,C,56.078
7/11/22 6:45:01 PM,C,46.104
7/11/22 8:45:01 PM,C,34.621
7/11/22 10:45:01 PM,C,30.624
7/12/22 12:45:01 AM,C,28.625
7/12/22 2:45:01 AM,C,26.125
7/12/22 4:45:01 AM,C,24.125
7/12/22 6:45:01 AM,C,22.625
7/12/22 8:45:01 AM,C,32.123
7/12/22 10:45:01 AM,C,39.615
7/12/22 12:45:01 PM,C,44.108
7/12/22 2:45:01 PM,C,44.607
7/12/22 4:45:01 PM,C,47.6
7/12/22 6:45:01 PM,C,42.111
7/12/22 8:45:01 PM,C,31.623
7/12/22 10:45:01 PM,C,27.125
7/13/22 12:45:01 AM,C,20.624
7/13/22 2:45:01 AM,C,24.625
7/13/22 4:45:01 AM,C,22.124
7/13/22 6:45:01 AM,C,18.623
7/13/22 8:45:01 AM,C,36.619
7/13/22 10:45:01 AM,C,44.108
7/13/22 12:45:01 PM,C,47.101
7/13/22 2:45:01 PM,C,47.101
7/13/22 4:45:01 PM,C,52.089
7/13/22 6:45:01 PM,C,43.109
7/13/22 8:45:01 PM,C,33.122
7/13/22 10:45:01 PM,C,29.624
7/14/22 12:45:01 AM,C,25.125
7/14/22 2:45:01 AM,C,21.124
7/14/22 4:45:01 AM,C,19.123
7/14/22 6:45:01 AM,C,19.623
7/14/22 8:45:01 AM,C,42.61
7/14/22 10:45:01 AM,C,45.605
7/14/22 12:45:01 PM,C,46.602
7/14/22 2:45:01 PM,C,49.097
7/14/22 4:45:01 PM,C,52.089
7/14/22 6:45:01 PM,C,46.104
7/14/22 8:45:01 PM,C,32.123
7/14/22 10:45:01 PM,C,27.625
7/15/22 12:45:01 AM,C,25.625
7/15/22 2:45:01 AM,C,23.625
7/15/22 4:45:01 AM,C,21.124
7/15/22 6:45:01 AM,C,18.623
7/15/22 8:45:01 AM,C,35.62
7/15/22 10:45:01 AM,C,41.113
7/15/22 12:45:01 PM,C,48.099
7/15/22 2:45:01 PM,C,50.593
7/15/22 4:45:01 PM,C,50.094
7/15/22 6:45:01 PM,C,44.108
7/15/22 8:45:01 PM,C,32.622
7/15/22 10:45:01 PM,C,29.124
7/16/22 12:45:01 AM,C,26.625
7/16/22 2:45:01 AM,C,24.125
7/16/22 4:45:01 AM,C,24.125
7/16/22 6:45:01 AM,C,22.124
7/16/22 8:45:01 AM,C,36.119
7/16/22 10:45:01 AM,C,40.613
7/16/22 12:45:01 PM,C,47.101
7/16/22 2:45:01 PM,C,47.6
7/16/22 4:45:01 PM,C,49.596
7/16/22 6:45:01 PM,C,44.607
7/16/22 8:45:01 PM,C,33.622
7/16/22 10:45:01 PM,C,27.625
7/17/22 12:45:01 AM,C,24.625
7/17/22 2:45:01 AM,C,26.125
7/17/22 4:45:01 AM,C,24.125
7/17/22 6:45:01 AM,C,21.624
7/17/22 8:45:01 AM,C,36.119
