1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D800000078656941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:43:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:43:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27989
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:43:01 AM,C,23.068
6/9/22 10:43:01 AM,C,23.068
6/9/22 12:43:01 PM,C,22.568
6/9/22 2:43:01 PM,C,23.568
6/9/22 4:43:01 PM,C,23.068
6/9/22 6:43:01 PM,C,22.568
6/9/22 8:43:01 PM,C,23.568
6/9/22 10:43:01 PM,C,21.567
6/10/22 12:43:01 AM,C,23.568
6/10/22 2:43:01 AM,C,22.568
6/10/22 4:43:01 AM,C,23.068
6/10/22 6:43:01 AM,C,23.068
6/10/22 8:43:01 AM,C,28.568
6/10/22 10:43:01 AM,C,35.062
6/10/22 12:43:01 PM,C,41.051
6/10/22 2:43:01 PM,C,42.547
6/10/22 4:43:01 PM,C,45.04
6/10/22 6:43:01 PM,C,41.051
6/10/22 8:43:01 PM,C,34.562
6/10/22 10:43:01 PM,C,31.566
6/11/22 12:43:01 AM,C,29.567
6/11/22 2:43:01 AM,C,27.568
6/11/22 4:43:01 AM,C,26.068
6/11/22 6:43:01 AM,C,25.068
6/11/22 8:43:01 AM,C,31.066
6/11/22 10:43:01 AM,C,39.055
6/11/22 12:43:01 PM,C,42.547
6/11/22 2:43:01 PM,C,46.037
6/11/22 4:43:01 PM,C,47.034
6/11/22 6:43:01 PM,C,43.544
6/11/22 8:43:01 PM,C,36.559
6/11/22 10:43:01 PM,C,33.564
6/12/22 12:43:01 AM,C,31.066
6/12/22 2:43:01 AM,C,28.068
6/12/22 4:43:01 AM,C,26.568
6/12/22 6:43:01 AM,C,26.568
6/12/22 8:43:01 AM,C,31.566
6/12/22 10:43:01 AM,C,38.556
6/12/22 12:43:01 PM,C,42.547
6/12/22 2:43:01 PM,C,45.04
6/12/22 4:43:01 PM,C,45.04
6/12/22 6:43:01 PM,C,42.048
6/12/22 8:43:01 PM,C,35.561
6/12/22 10:43:01 PM,C,32.065
6/13/22 12:43:01 AM,C,29.567
6/13/22 2:43:01 AM,C,27.568
6/13/22 4:43:01 AM,C,25.068
6/13/22 6:43:01 AM,C,24.068
6/13/22 8:43:01 AM,C,30.067
6/13/22 10:43:01 AM,C,34.562
6/13/22 12:43:01 PM,C,39.055
6/13/22 2:43:01 PM,C,42.547
6/13/22 4:43:01 PM,C,42.547
6/13/22 6:43:01 PM,C,39.055
6/13/22 8:43:01 PM,C,34.063
6/13/22 10:43:01 PM,C,30.567
6/14/22 12:43:01 AM,C,29.068
6/14/22 2:43:01 AM,C,27.568
6/14/22 4:43:01 AM,C,25.568
6/14/22 6:43:01 AM,C,24.568
6/14/22 8:43:01 AM,C,30.567
6/14/22 10:43:01 AM,C,38.057
6/14/22 12:43:01 PM,C,46.536
6/14/22 2:43:01 PM,C,53.51
6/14/22 4:43:01 PM,C,48.031
6/14/22 6:43:01 PM,C,42.547
6/14/22 8:43:01 PM,C,34.063
6/14/22 10:43:01 PM,C,31.566
6/15/22 12:43:01 AM,C,28.568
6/15/22 2:43:01 AM,C,27.068
6/15/22 4:43:01 AM,C,26.068
6/15/22 6:43:01 AM,C,25.068
6/15/22 8:43:01 AM,C,29.068
6/15/22 10:43:01 AM,C,39.554
6/15/22 12:43:01 PM,C,43.046
6/15/22 2:43:01 PM,C,46.037
6/15/22 4:43:01 PM,C,46.037
6/15/22 6:43:01 PM,C,42.547
6/15/22 8:43:01 PM,C,34.063
6/15/22 10:43:01 PM,C,30.567
6/16/22 12:43:01 AM,C,28.568
6/16/22 2:43:01 AM,C,27.068
6/16/22 4:43:01 AM,C,25.568
6/16/22 6:43:01 AM,C,23.568
6/16/22 8:43:01 AM,C,32.565
6/16/22 10:43:01 AM,C,39.055
6/16/22 12:43:01 PM,C,43.544
6/16/22 2:43:01 PM,C,45.04
6/16/22 4:43:01 PM,C,45.04
6/16/22 6:43:01 PM,C,41.051
6/16/22 8:43:01 PM,C,33.064
6/16/22 10:43:01 PM,C,28.068
6/17/22 12:43:01 AM,C,27.068
6/17/22 2:43:01 AM,C,25.568
6/17/22 4:43:01 AM,C,22.568
6/17/22 6:43:01 AM,C,21.567
6/17/22 8:43:01 AM,C,31.566
6/17/22 10:43:01 AM,C,40.053
6/17/22 12:43:01 PM,C,42.547
6/17/22 2:43:01 PM,C,45.539
6/17/22 4:43:01 PM,C,45.04
6/17/22 6:43:01 PM,C,40.552
6/17/22 8:43:01 PM,C,32.065
6/17/22 10:43:01 PM,C,28.568
6/18/22 12:43:01 AM,C,25.568
6/18/22 2:43:01 AM,C,23.568
6/18/22 4:43:01 AM,C,22.568
6/18/22 6:43:01 AM,C,21.067
6/18/22 8:43:01 AM,C,33.064
6/18/22 10:43:01 AM,C,43.544
6/18/22 12:43:01 PM,C,44.043
6/18/22 2:43:01 PM,C,38.556
6/18/22 4:43:01 PM,C,38.556
6/18/22 6:43:01 PM,C,40.053
6/18/22 8:43:01 PM,C,31.566
6/18/22 10:43:01 PM,C,29.068
6/19/22 12:43:01 AM,C,27.068
6/19/22 2:43:01 AM,C,24.568
6/19/22 4:43:01 AM,C,22.068
6/19/22 6:43:01 AM,C,19.566
6/19/22 8:43:01 AM,C,33.564
6/19/22 10:43:01 AM,C,39.055
6/19/22 12:43:01 PM,C,41.549
6/19/22 2:43:01 PM,C,42.547
6/19/22 4:43:01 PM,C,45.539
6/19/22 6:43:01 PM,C,35.561
6/19/22 8:43:01 PM,C,31.066
6/19/22 10:43:01 PM,C,28.068
6/20/22 12:43:01 AM,C,27.068
6/20/22 2:43:01 AM,C,25.068
6/20/22 4:43:01 AM,C,24.068
6/20/22 6:43:01 AM,C,22.568
6/20/22 8:43:01 AM,C,32.065
6/20/22 10:43:01 AM,C,38.556
6/20/22 12:43:01 PM,C,37.558
6/20/22 2:43:01 PM,C,44.542
6/20/22 4:43:01 PM,C,42.547
6/20/22 6:43:01 PM,C,39.554
6/20/22 8:43:01 PM,C,31.066
6/20/22 10:43:01 PM,C,28.068
6/21/22 12:43:01 AM,C,24.068
6/21/22 2:43:01 AM,C,21.067
6/21/22 4:43:01 AM,C,19.065
6/21/22 6:43:01 AM,C,18.565
6/21/22 8:43:01 AM,C,32.565
6/21/22 10:43:01 AM,C,40.053
6/21/22 12:43:01 PM,C,43.544
6/21/22 2:43:01 PM,C,45.539
6/21/22 4:43:01 PM,C,46.037
6/21/22 6:43:01 PM,C,39.554
6/21/22 8:43:01 PM,C,32.065
6/21/22 10:43:01 PM,C,27.568
6/22/22 12:43:01 AM,C,26.068
6/22/22 2:43:01 AM,C,23.568
6/22/22 4:43:01 AM,C,20.066
6/22/22 6:43:01 AM,C,18.565
6/22/22 8:43:01 AM,C,33.564
6/22/22 10:43:01 AM,C,44.043
6/22/22 12:43:01 PM,C,49.028
6/22/22 2:43:01 PM,C,50.024
6/22/22 4:43:01 PM,C,45.04
6/22/22 6:43:01 PM,C,40.053
6/22/22 8:43:01 PM,C,33.064
6/22/22 10:43:01 PM,C,27.068
6/23/22 12:43:01 AM,C,26.068
6/23/22 2:43:01 AM,C,25.068
6/23/22 4:43:01 AM,C,24.068
6/23/22 6:43:01 AM,C,24.068
6/23/22 8:43:01 AM,C,33.064
6/23/22 10:43:01 AM,C,41.051
6/23/22 12:43:01 PM,C,44.542
6/23/22 2:43:01 PM,C,49.028
6/23/22 4:43:01 PM,C,42.547
6/23/22 6:43:01 PM,C,42.547
6/23/22 8:43:01 PM,C,33.564
6/23/22 10:43:01 PM,C,29.567
6/24/22 12:43:01 AM,C,28.068
6/24/22 2:43:01 AM,C,27.068
6/24/22 4:43:01 AM,C,24.568
6/24/22 6:43:01 AM,C,23.568
6/24/22 8:43:01 AM,C,32.565
6/24/22 10:43:01 AM,C,40.552
6/24/22 12:43:01 PM,C,46.037
6/24/22 2:43:01 PM,C,48.031
6/24/22 4:43:01 PM,C,48.529
6/24/22 6:43:01 PM,C,44.542
6/24/22 8:43:01 PM,C,34.063
6/24/22 10:43:01 PM,C,30.067
6/25/22 12:43:01 AM,C,27.568
6/25/22 2:43:01 AM,C,26.568
6/25/22 4:43:01 AM,C,25.068
6/25/22 6:43:01 AM,C,23.068
6/25/22 8:43:01 AM,C,33.564
6/25/22 10:43:01 AM,C,42.048
6/25/22 12:43:01 PM,C,47.533
6/25/22 2:43:01 PM,C,51.02
6/25/22 4:43:01 PM,C,50.522
6/25/22 6:43:01 PM,C,47.533
6/25/22 8:43:01 PM,C,30.567
6/25/22 10:43:01 PM,C,27.068
6/26/22 12:43:01 AM,C,25.068
6/26/22 2:43:01 AM,C,22.568
6/26/22 4:43:01 AM,C,21.567
6/26/22 6:43:01 AM,C,20.567
6/26/22 8:43:01 AM,C,28.568
6/26/22 10:43:01 AM,C,33.564
6/26/22 12:43:01 PM,C,36.559
6/26/22 2:43:01 PM,C,37.059
6/26/22 4:43:01 PM,C,34.063
6/26/22 6:43:01 PM,C,34.562
6/26/22 8:43:01 PM,C,26.068
6/26/22 10:43:01 PM,C,22.068
6/27/22 12:43:01 AM,C,20.066
6/27/22 2:43:01 AM,C,19.065
6/27/22 4:43:01 AM,C,18.064
6/27/22 6:43:01 AM,C,16.563
6/27/22 8:43:01 AM,C,26.068
6/27/22 10:43:01 AM,C,36.559
6/27/22 12:43:01 PM,C,41.051
6/27/22 2:43:01 PM,C,40.053
6/27/22 4:43:01 PM,C,48.529
6/27/22 6:43:01 PM,C,36.06
6/27/22 8:43:01 PM,C,28.068
6/27/22 10:43:01 PM,C,24.568
6/28/22 12:43:01 AM,C,23.568
6/28/22 2:43:01 AM,C,22.568
6/28/22 4:43:01 AM,C,22.068
6/28/22 6:43:01 AM,C,20.567
6/28/22 8:43:01 AM,C,26.068
6/28/22 10:43:01 AM,C,33.064
6/28/22 12:43:01 PM,C,40.552
6/28/22 2:43:01 PM,C,39.055
6/28/22 4:43:01 PM,C,35.062
6/28/22 6:43:01 PM,C,31.566
6/28/22 8:43:01 PM,C,29.068
6/28/22 10:43:01 PM,C,24.568
6/29/22 12:43:01 AM,C,22.568
6/29/22 2:43:01 AM,C,21.067
6/29/22 4:43:01 AM,C,19.566
6/29/22 6:43:01 AM,C,18.064
6/29/22 8:43:01 AM,C,31.566
6/29/22 10:43:01 AM,C,41.549
6/29/22 12:43:01 PM,C,47.533
6/29/22 2:43:01 PM,C,50.024
6/29/22 4:43:01 PM,C,49.526
6/29/22 6:43:01 PM,C,46.037
6/29/22 8:43:01 PM,C,32.065
6/29/22 10:43:01 PM,C,27.568
6/30/22 12:43:01 AM,C,25.568
6/30/22 2:43:01 AM,C,23.068
6/30/22 4:43:01 AM,C,22.068
6/30/22 6:43:01 AM,C,20.567
6/30/22 8:43:01 AM,C,31.066
6/30/22 10:43:01 AM,C,40.053
6/30/22 12:43:01 PM,C,46.536
6/30/22 2:43:01 PM,C,49.028
6/30/22 4:43:01 PM,C,54.008
6/30/22 6:43:01 PM,C,46.037
6/30/22 8:43:01 PM,C,34.063
6/30/22 10:43:01 PM,C,29.068
7/1/22 12:43:01 AM,C,26.568
7/1/22 2:43:01 AM,C,26.568
7/1/22 4:43:01 AM,C,24.068
7/1/22 6:43:01 AM,C,23.068
7/1/22 8:43:01 AM,C,32.565
7/1/22 10:43:01 AM,C,41.549
7/1/22 12:43:01 PM,C,49.028
7/1/22 2:43:01 PM,C,57.493
7/1/22 4:43:01 PM,C,41.549
7/1/22 6:43:01 PM,C,44.043
7/1/22 8:43:01 PM,C,34.063
7/1/22 10:43:01 PM,C,29.068
7/2/22 12:43:01 AM,C,28.568
7/2/22 2:43:01 AM,C,26.568
7/2/22 4:43:01 AM,C,23.068
7/2/22 6:43:01 AM,C,23.068
7/2/22 8:43:01 AM,C,36.06
7/2/22 10:43:01 AM,C,43.046
7/2/22 12:43:01 PM,C,50.024
7/2/22 2:43:01 PM,C,47.533
7/2/22 4:43:01 PM,C,49.028
7/2/22 6:43:01 PM,C,46.536
7/2/22 8:43:01 PM,C,33.564
7/2/22 10:43:01 PM,C,29.068
7/3/22 12:43:01 AM,C,27.568
7/3/22 2:43:01 AM,C,25.568
7/3/22 4:43:01 AM,C,24.568
7/3/22 6:43:01 AM,C,24.068
7/3/22 8:43:01 AM,C,34.063
7/3/22 10:43:01 AM,C,40.552
7/3/22 12:43:01 PM,C,44.542
7/3/22 2:43:01 PM,C,46.536
7/3/22 4:43:01 PM,C,47.533
7/3/22 6:43:01 PM,C,40.053
7/3/22 8:43:01 PM,C,31.066
7/3/22 10:43:01 PM,C,27.068
7/4/22 12:43:01 AM,C,26.068
7/4/22 2:43:01 AM,C,25.068
7/4/22 4:43:01 AM,C,24.068
7/4/22 6:43:01 AM,C,23.068
7/4/22 8:43:01 AM,C,31.066
7/4/22 10:43:01 AM,C,39.055
7/4/22 12:43:01 PM,C,43.046
7/4/22 2:43:01 PM,C,47.034
7/4/22 4:43:01 PM,C,46.536
7/4/22 6:43:01 PM,C,42.547
7/4/22 8:43:01 PM,C,33.064
7/4/22 10:43:01 PM,C,31.566
7/5/22 12:43:01 AM,C,27.068
7/5/22 2:43:01 AM,C,25.568
7/5/22 4:43:01 AM,C,25.568
7/5/22 6:43:01 AM,C,24.568
7/5/22 8:43:01 AM,C,32.565
7/5/22 10:43:01 AM,C,39.055
7/5/22 12:43:01 PM,C,45.04
7/5/22 2:43:01 PM,C,47.034
7/5/22 4:43:01 PM,C,35.062
7/5/22 6:43:01 PM,C,32.565
7/5/22 8:43:01 PM,C,30.067
7/5/22 10:43:01 PM,C,26.568
7/6/22 12:43:01 AM,C,26.568
7/6/22 2:43:01 AM,C,26.068
7/6/22 4:43:01 AM,C,24.068
7/6/22 6:43:01 AM,C,23.568
7/6/22 8:43:01 AM,C,32.565
7/6/22 10:43:01 AM,C,43.544
7/6/22 12:43:01 PM,C,45.539
7/6/22 2:43:01 PM,C,48.031
7/6/22 4:43:01 PM,C,37.558
7/6/22 6:43:01 PM,C,33.064
7/6/22 8:43:01 PM,C,30.067
7/6/22 10:43:01 PM,C,27.068
7/7/22 12:43:01 AM,C,27.068
7/7/22 2:43:01 AM,C,23.068
7/7/22 4:43:01 AM,C,26.068
7/7/22 6:43:01 AM,C,24.568
7/7/22 8:43:01 AM,C,32.565
7/7/22 10:43:01 AM,C,41.549
7/7/22 12:43:01 PM,C,44.043
7/7/22 2:43:01 PM,C,47.533
7/7/22 4:43:01 PM,C,39.554
7/7/22 6:43:01 PM,C,37.059
7/7/22 8:43:01 PM,C,30.567
7/7/22 10:43:01 PM,C,27.068
7/8/22 12:43:01 AM,C,26.068
7/8/22 2:43:01 AM,C,21.067
7/8/22 4:43:01 AM,C,20.567
7/8/22 6:43:01 AM,C,20.567
7/8/22 8:43:01 AM,C,32.065
7/8/22 10:43:01 AM,C,43.046
7/8/22 12:43:01 PM,C,50.522
7/8/22 2:43:01 PM,C,49.526
7/8/22 4:43:01 PM,C,55.502
7/8/22 6:43:01 PM,C,48.529
7/8/22 8:43:01 PM,C,30.567
7/8/22 10:43:01 PM,C,27.568
7/9/22 12:43:01 AM,C,25.568
7/9/22 2:43:01 AM,C,23.568
7/9/22 4:43:01 AM,C,21.067
7/9/22 6:43:01 AM,C,20.567
7/9/22 8:43:01 AM,C,34.063
7/9/22 10:43:01 AM,C,50.522
7/9/22 12:43:01 PM,C,47.034
7/9/22 2:43:01 PM,C,46.536
7/9/22 4:43:01 PM,C,47.034
7/9/22 6:43:01 PM,C,44.542
7/9/22 8:43:01 PM,C,34.562
7/9/22 10:43:01 PM,C,27.068
7/10/22 12:43:01 AM,C,25.568
7/10/22 2:43:01 AM,C,26.068
7/10/22 4:43:01 AM,C,24.568
7/10/22 6:43:01 AM,C,20.066
7/10/22 8:43:01 AM,C,39.055
7/10/22 10:43:01 AM,C,46.037
7/10/22 12:43:01 PM,C,50.024
7/10/22 2:43:01 PM,C,51.518
7/10/22 4:43:01 PM,C,47.533
7/10/22 6:43:01 PM,C,47.034
7/10/22 8:43:01 PM,C,35.062
7/10/22 10:43:01 PM,C,30.067
7/11/22 12:43:01 AM,C,28.568
7/11/22 2:43:01 AM,C,25.568
7/11/22 4:43:01 AM,C,23.568
7/11/22 6:43:01 AM,C,19.566
7/11/22 8:43:01 AM,C,37.558
7/11/22 10:43:01 AM,C,49.526
7/11/22 12:43:01 PM,C,56.497
7/11/22 2:43:01 PM,C,53.012
7/11/22 4:43:01 PM,C,53.012
7/11/22 6:43:01 PM,C,45.04
7/11/22 8:43:01 PM,C,35.062
7/11/22 10:43:01 PM,C,31.066
7/12/22 12:43:01 AM,C,29.068
7/12/22 2:43:01 AM,C,27.068
7/12/22 4:43:01 AM,C,24.068
7/12/22 6:43:01 AM,C,23.068
7/12/22 8:43:01 AM,C,30.567
