1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3100000078646641
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:49:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:49:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28024
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:49:01 AM,%RH,48.569
6/9/22 10:49:01 AM,%RH,49.203
6/9/22 12:49:01 PM,%RH,44.726
6/9/22 2:49:01 PM,%RH,47.932
6/9/22 4:49:01 PM,%RH,45.37
6/9/22 6:49:01 PM,%RH,40.823
6/9/22 8:49:01 PM,%RH,42.782
6/9/22 10:49:01 PM,%RH,40.823
6/10/22 12:49:01 AM,%RH,43.432
6/10/22 2:49:01 AM,%RH,41.478
6/10/22 4:49:01 AM,%RH,43.432
6/10/22 6:49:01 AM,%RH,44.08
6/10/22 8:49:01 AM,%RH,47.294
6/10/22 10:49:01 AM,%RH,35.527
6/10/22 12:49:01 PM,%RH,26.694
6/10/22 2:49:01 PM,%RH,19.708
6/10/22 4:49:01 PM,%RH,20.414
6/10/22 6:49:01 PM,%RH,18.291
6/10/22 8:49:01 PM,%RH,23.919
6/10/22 10:49:01 PM,%RH,27.383
6/11/22 12:49:01 AM,%RH,30.805
6/11/22 2:49:01 AM,%RH,36.195
6/11/22 4:49:01 AM,%RH,42.131
6/11/22 6:49:01 AM,%RH,47.932
6/11/22 8:49:01 AM,%RH,40.823
6/11/22 10:49:01 AM,%RH,26.694
6/11/22 12:49:01 PM,%RH,19
6/11/22 2:49:01 PM,%RH,14
6/11/22 4:49:01 PM,%RH,14
6/11/22 6:49:01 PM,%RH,12.556
6/11/22 8:49:01 PM,%RH,15.437
6/11/22 10:49:01 PM,%RH,19.708
6/12/22 12:49:01 AM,%RH,24.615
