1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3100000078646641
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:49:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:49:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28024
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:49:01 AM,C,23.029
6/9/22 10:49:01 AM,C,23.529
6/9/22 12:49:01 PM,C,22.529
6/9/22 2:49:01 PM,C,23.529
6/9/22 4:49:01 PM,C,23.029
6/9/22 6:49:01 PM,C,23.029
6/9/22 8:49:01 PM,C,23.529
6/9/22 10:49:01 PM,C,21.529
6/10/22 12:49:01 AM,C,23.529
6/10/22 2:49:01 AM,C,22.529
6/10/22 4:49:01 AM,C,23.029
6/10/22 6:49:01 AM,C,23.029
6/10/22 8:49:01 AM,C,29.029
6/10/22 10:49:01 AM,C,35.024
6/10/22 12:49:01 PM,C,38.021
6/10/22 2:49:01 PM,C,42.014
6/10/22 4:49:01 PM,C,42.014
6/10/22 6:49:01 PM,C,39.519
6/10/22 8:49:01 PM,C,33.526
6/10/22 10:49:01 PM,C,31.527
6/11/22 12:49:01 AM,C,29.528
6/11/22 2:49:01 AM,C,28.029
6/11/22 4:49:01 AM,C,26.029
6/11/22 6:49:01 AM,C,25.029
6/11/22 8:49:01 AM,C,31.028
6/11/22 10:49:01 AM,C,37.022
6/11/22 12:49:01 PM,C,42.014
6/11/22 2:49:01 PM,C,44.51
6/11/22 4:49:01 PM,C,43.512
6/11/22 6:49:01 PM,C,42.014
6/11/22 8:49:01 PM,C,36.023
6/11/22 10:49:01 PM,C,33.526
6/12/22 12:49:01 AM,C,31.028
6/12/22 2:49:01 AM,C,28.029
6/12/22 4:49:01 AM,C,26.029
6/12/22 6:49:01 AM,C,27.029
6/12/22 8:49:01 AM,C,32.527
6/12/22 10:49:01 AM,C,37.521
6/12/22 12:49:01 PM,C,41.515
6/12/22 2:49:01 PM,C,44.51
6/12/22 4:49:01 PM,C,44.011
6/12/22 6:49:01 PM,C,40.517
6/12/22 8:49:01 PM,C,35.024
6/12/22 10:49:01 PM,C,32.027
6/13/22 12:49:01 AM,C,30.028
6/13/22 2:49:01 AM,C,27.529
6/13/22 4:49:01 AM,C,25.029
6/13/22 6:49:01 AM,C,24.529
6/13/22 8:49:01 AM,C,30.528
6/13/22 10:49:01 AM,C,35.024
6/13/22 12:49:01 PM,C,38.52
6/13/22 2:49:01 PM,C,41.515
6/13/22 4:49:01 PM,C,41.016
6/13/22 6:49:01 PM,C,38.021
6/13/22 8:49:01 PM,C,33.526
6/13/22 10:49:01 PM,C,30.528
6/14/22 12:49:01 AM,C,29.029
6/14/22 2:49:01 AM,C,27.529
6/14/22 4:49:01 AM,C,25.529
6/14/22 6:49:01 AM,C,24.529
6/14/22 8:49:01 AM,C,28.529
6/14/22 10:49:01 AM,C,33.526
6/14/22 12:49:01 PM,C,40.517
6/14/22 2:49:01 PM,C,44.011
6/14/22 4:49:01 PM,C,43.512
6/14/22 6:49:01 PM,C,39.019
6/14/22 8:49:01 PM,C,34.025
6/14/22 10:49:01 PM,C,31.527
6/15/22 12:49:01 AM,C,28.529
6/15/22 2:49:01 AM,C,27.029
6/15/22 4:49:01 AM,C,26.029
6/15/22 6:49:01 AM,C,25.529
