1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000005AC0FE41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:35:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:35:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  29423
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:35:01 AM,C,23.144
6/9/22 10:35:01 AM,C,23.144
6/9/22 12:35:01 PM,C,22.643
6/9/22 2:35:01 PM,C,23.644
6/9/22 4:35:01 PM,C,23.144
6/9/22 6:35:01 PM,C,23.144
6/9/22 8:35:01 PM,C,23.644
6/9/22 10:35:01 PM,C,22.143
6/10/22 12:35:01 AM,C,23.644
6/10/22 2:35:01 AM,C,22.643
6/10/22 4:35:01 AM,C,23.144
6/10/22 6:35:01 AM,C,23.144
6/10/22 8:35:01 AM,C,28.144
6/10/22 10:35:01 AM,C,34.136
6/10/22 12:35:01 PM,C,38.127
6/10/22 2:35:01 PM,C,42.612
6/10/22 4:35:01 PM,C,43.608
6/10/22 6:35:01 PM,C,40.619
6/10/22 8:35:01 PM,C,34.635
6/10/22 10:35:01 PM,C,31.641
6/11/22 12:35:01 AM,C,29.643
6/11/22 2:35:01 AM,C,27.644
6/11/22 4:35:01 AM,C,25.645
6/11/22 6:35:01 AM,C,25.145
6/11/22 8:35:01 AM,C,30.142
6/11/22 10:35:01 AM,C,37.13
6/11/22 12:35:01 PM,C,41.616
6/11/22 2:35:01 PM,C,45.102
6/11/22 4:35:01 PM,C,45.599
6/11/22 6:35:01 PM,C,42.612
6/11/22 8:35:01 PM,C,37.13
6/11/22 10:35:01 PM,C,33.637
6/12/22 12:35:01 AM,C,31.141
6/12/22 2:35:01 AM,C,28.144
6/12/22 4:35:01 AM,C,27.144
6/12/22 6:35:01 AM,C,26.644
6/12/22 8:35:01 AM,C,31.141
6/12/22 10:35:01 AM,C,37.13
6/12/22 12:35:01 PM,C,41.616
6/12/22 2:35:01 PM,C,44.604
6/12/22 4:35:01 PM,C,44.604
