1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 140000005AC3D741
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:22:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:22:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  30234
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:22:01 AM,%RH,50.111
6/9/22 10:22:01 AM,%RH,50.739
6/9/22 12:22:01 PM,%RH,46.306
6/9/22 2:22:01 PM,%RH,48.849
6/9/22 4:22:01 PM,%RH,45.025
6/9/22 6:22:01 PM,%RH,43.738
6/9/22 8:22:01 PM,%RH,43.738
6/9/22 10:22:01 PM,%RH,41.144
6/10/22 12:22:01 AM,%RH,43.092
6/10/22 2:22:01 AM,%RH,43.092
6/10/22 4:22:01 AM,%RH,43.738
6/10/22 6:22:01 AM,%RH,45.025
6/10/22 8:22:01 AM,%RH,51.366
6/10/22 10:22:01 AM,%RH,38.524
6/10/22 12:22:01 PM,%RH,26.42
6/10/22 2:22:01 PM,%RH,18.768
6/10/22 4:22:01 PM,%RH,18.063
6/10/22 6:22:01 PM,%RH,15.937
6/10/22 8:22:01 PM,%RH,22.966
6/10/22 10:22:01 PM,%RH,27.79
6/11/22 12:22:01 AM,%RH,31.863
6/11/22 2:22:01 AM,%RH,37.205
6/11/22 4:22:01 AM,%RH,43.092
6/11/22 6:22:01 AM,%RH,48.849
6/11/22 8:22:01 AM,%RH,43.738
6/11/22 10:22:01 AM,%RH,29.834
6/11/22 12:22:01 PM,%RH,20.174
6/11/22 2:22:01 PM,%RH,13.798
6/11/22 4:22:01 PM,%RH,12.363
6/11/22 6:22:01 PM,%RH,12.363
6/11/22 8:22:01 PM,%RH,14.513
6/11/22 10:22:01 PM,%RH,20.874
6/12/22 12:22:01 AM,%RH,25.043
6/12/22 2:22:01 AM,%RH,29.834
6/12/22 4:22:01 AM,%RH,35.214
6/12/22 6:22:01 AM,%RH,39.837
6/12/22 8:22:01 AM,%RH,37.865
6/12/22 10:22:01 AM,%RH,28.473
