1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F70000007863EA41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:23:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:23:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27988
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:23:01 AM,C,23.132
6/9/22 10:23:01 AM,C,23.132
6/9/22 12:23:01 PM,C,23.132
6/9/22 2:23:01 PM,C,23.633
6/9/22 4:23:01 PM,C,22.632
6/9/22 6:23:01 PM,C,23.132
6/9/22 8:23:01 PM,C,23.633
6/9/22 10:23:01 PM,C,22.132
6/10/22 12:23:01 AM,C,23.132
6/10/22 2:23:01 AM,C,22.132
6/10/22 4:23:01 AM,C,23.132
6/10/22 6:23:01 AM,C,23.132
6/10/22 8:23:01 AM,C,28.132
6/10/22 10:23:01 AM,C,34.124
6/10/22 12:23:01 PM,C,39.609
6/10/22 2:23:01 PM,C,42.598
6/10/22 4:23:01 PM,C,46.083
6/10/22 6:23:01 PM,C,44.092
6/10/22 8:23:01 PM,C,36.119
6/10/22 10:23:01 PM,C,31.129
6/11/22 12:23:01 AM,C,29.631
6/11/22 2:23:01 AM,C,28.132
6/11/22 4:23:01 AM,C,26.133
6/11/22 6:23:01 AM,C,25.133
6/11/22 8:23:01 AM,C,29.131
6/11/22 10:23:01 AM,C,36.618
6/11/22 12:23:01 PM,C,42.598
6/11/22 2:23:01 PM,C,45.087
6/11/22 4:23:01 PM,C,47.078
6/11/22 6:23:01 PM,C,45.087
6/11/22 8:23:01 PM,C,38.612
6/11/22 10:23:01 PM,C,34.124
6/12/22 12:23:01 AM,C,31.628
6/12/22 2:23:01 AM,C,29.131
6/12/22 4:23:01 AM,C,27.133
6/12/22 6:23:01 AM,C,26.133
6/12/22 8:23:01 AM,C,30.63
6/12/22 10:23:01 AM,C,37.117
6/12/22 12:23:01 PM,C,42.598
6/12/22 2:23:01 PM,C,44.59
6/12/22 4:23:01 PM,C,46.58
6/12/22 6:23:01 PM,C,44.092
6/12/22 8:23:01 PM,C,37.615
6/12/22 10:23:01 PM,C,32.627
6/13/22 12:23:01 AM,C,30.13
6/13/22 2:23:01 AM,C,28.132
6/13/22 4:23:01 AM,C,24.633
6/13/22 6:23:01 AM,C,24.633
6/13/22 8:23:01 AM,C,28.632
6/13/22 10:23:01 AM,C,36.119
6/13/22 12:23:01 PM,C,39.111
6/13/22 2:23:01 PM,C,42.1
6/13/22 4:23:01 PM,C,44.59
6/13/22 6:23:01 PM,C,40.606
6/13/22 8:23:01 PM,C,34.623
6/13/22 10:23:01 PM,C,31.129
6/14/22 12:23:01 AM,C,29.631
6/14/22 2:23:01 AM,C,28.132
6/14/22 4:23:01 AM,C,26.133
6/14/22 6:23:01 AM,C,24.633
6/14/22 8:23:01 AM,C,27.133
6/14/22 10:23:01 AM,C,32.128
6/14/22 12:23:01 PM,C,39.609
6/14/22 2:23:01 PM,C,44.092
6/14/22 4:23:01 PM,C,48.57
6/14/22 6:23:01 PM,C,41.104
6/14/22 8:23:01 PM,C,35.621
6/14/22 10:23:01 PM,C,32.128
6/15/22 12:23:01 AM,C,28.632
6/15/22 2:23:01 AM,C,27.133
6/15/22 4:23:01 AM,C,26.133
6/15/22 6:23:01 AM,C,25.133
6/15/22 8:23:01 AM,C,28.132
6/15/22 10:23:01 AM,C,34.124
6/15/22 12:23:01 PM,C,38.114
6/15/22 2:23:01 PM,C,40.107
6/15/22 4:23:01 PM,C,42.1
6/15/22 6:23:01 PM,C,40.606
6/15/22 8:23:01 PM,C,35.122
6/15/22 10:23:01 PM,C,31.129
6/16/22 12:23:01 AM,C,29.131
6/16/22 2:23:01 AM,C,27.133
6/16/22 4:23:01 AM,C,25.633
6/16/22 6:23:01 AM,C,24.133
6/16/22 8:23:01 AM,C,28.632
6/16/22 10:23:01 AM,C,33.126
6/16/22 12:23:01 PM,C,38.114
6/16/22 2:23:01 PM,C,40.606
6/16/22 4:23:01 PM,C,42.1
6/16/22 6:23:01 PM,C,41.104
6/16/22 8:23:01 PM,C,34.623
6/16/22 10:23:01 PM,C,29.131
6/17/22 12:23:01 AM,C,28.132
6/17/22 2:23:01 AM,C,26.133
6/17/22 4:23:01 AM,C,23.132
6/17/22 6:23:01 AM,C,21.631
6/17/22 8:23:01 AM,C,27.133
6/17/22 10:23:01 AM,C,33.625
6/17/22 12:23:01 PM,C,37.615
6/17/22 2:23:01 PM,C,40.107
