1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1700000078610741
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:33:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:33:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28351
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:33:01 AM,C,23.093
6/9/22 10:33:01 AM,C,23.093
6/9/22 12:33:01 PM,C,22.593
6/9/22 2:33:01 PM,C,23.593
6/9/22 4:33:01 PM,C,22.593
6/9/22 6:33:01 PM,C,22.593
6/9/22 8:33:01 PM,C,23.593
6/9/22 10:33:01 PM,C,22.093
6/10/22 12:33:01 AM,C,23.093
6/10/22 2:33:01 AM,C,22.093
6/10/22 4:33:01 AM,C,23.093
6/10/22 6:33:01 AM,C,23.093
6/10/22 8:33:01 AM,C,33.09
6/10/22 10:33:01 AM,C,34.588
6/10/22 12:33:01 PM,C,39.579
6/10/22 2:33:01 PM,C,43.071
6/10/22 4:33:01 PM,C,43.57
6/10/22 6:33:01 PM,C,41.575
6/10/22 8:33:01 PM,C,34.588
6/10/22 10:33:01 PM,C,31.092
6/11/22 12:33:01 AM,C,29.093
6/11/22 2:33:01 AM,C,27.594
6/11/22 4:33:01 AM,C,26.094
6/11/22 6:33:01 AM,C,24.594
6/11/22 8:33:01 AM,C,30.592
6/11/22 10:33:01 AM,C,37.084
6/11/22 12:33:01 PM,C,42.573
6/11/22 2:33:01 PM,C,45.564
6/11/22 4:33:01 PM,C,46.561
6/11/22 6:33:01 PM,C,43.57
6/11/22 8:33:01 PM,C,37.084
6/11/22 10:33:01 PM,C,33.589
6/12/22 12:33:01 AM,C,31.092
6/12/22 2:33:01 AM,C,28.593
6/12/22 4:33:01 AM,C,26.594
6/12/22 6:33:01 AM,C,26.094
6/12/22 8:33:01 AM,C,31.591
6/12/22 10:33:01 AM,C,39.08
6/12/22 12:33:01 PM,C,43.071
6/12/22 2:33:01 PM,C,45.066
6/12/22 4:33:01 PM,C,45.564
6/12/22 6:33:01 PM,C,42.074
6/12/22 8:33:01 PM,C,36.086
6/12/22 10:33:01 PM,C,32.091
6/13/22 12:33:01 AM,C,29.593
6/13/22 2:33:01 AM,C,27.594
6/13/22 4:33:01 AM,C,24.594
6/13/22 6:33:01 AM,C,24.094
6/13/22 8:33:01 AM,C,29.593
6/13/22 10:33:01 AM,C,35.087
6/13/22 12:33:01 PM,C,40.078
6/13/22 2:33:01 PM,C,42.074
6/13/22 4:33:01 PM,C,41.575
6/13/22 6:33:01 PM,C,39.579
