1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EB00000078645741
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:40:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:40:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28023
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:40:01 AM,%RH,49.459
6/9/22 10:40:01 AM,%RH,49.459
6/9/22 12:40:01 PM,%RH,45.608
6/9/22 2:40:01 PM,%RH,46.254
6/9/22 4:40:01 PM,%RH,43.004
6/9/22 6:40:01 PM,%RH,39.044
6/9/22 8:40:01 PM,%RH,41.691
6/9/22 10:40:01 PM,%RH,39.708
6/10/22 12:40:01 AM,%RH,42.348
6/10/22 2:40:01 AM,%RH,41.691
6/10/22 4:40:01 AM,%RH,43.004
6/10/22 6:40:01 AM,%RH,43.004
6/10/22 8:40:01 AM,%RH,38.377
6/10/22 10:40:01 AM,%RH,33.662
6/10/22 12:40:01 PM,%RH,23.964
6/10/22 2:40:01 PM,%RH,17.542
6/10/22 4:40:01 PM,%RH,16.095
6/10/22 6:40:01 PM,%RH,18.263
6/10/22 8:40:01 PM,%RH,21.84
6/10/22 10:40:01 PM,%RH,26.072
6/11/22 12:40:01 AM,%RH,30.927
6/11/22 2:40:01 AM,%RH,37.039
6/11/22 4:40:01 AM,%RH,43.004
6/11/22 6:40:01 AM,%RH,47.541
6/11/22 8:40:01 AM,%RH,40.371
6/11/22 10:40:01 AM,%RH,27.468
6/11/22 12:40:01 PM,%RH,17.542
6/11/22 2:40:01 PM,%RH,12.445
6/11/22 4:40:01 PM,%RH,10.973
6/11/22 6:40:01 PM,%RH,11.71
6/11/22 8:40:01 PM,%RH,13.91
6/11/22 10:40:01 PM,%RH,20.414
6/12/22 12:40:01 AM,%RH,24.669
6/12/22 2:40:01 AM,%RH,30.927
6/12/22 4:40:01 AM,%RH,35.018
6/12/22 6:40:01 AM,%RH,39.708
6/12/22 8:40:01 AM,%RH,32.981
6/12/22 10:40:01 AM,%RH,25.371
6/12/22 12:40:01 PM,%RH,16.095
6/12/22 2:40:01 PM,%RH,12.445
6/12/22 4:40:01 PM,%RH,10.234
6/12/22 6:40:01 PM,%RH,11.71
6/12/22 8:40:01 PM,%RH,13.179
6/12/22 10:40:01 PM,%RH,18.263
6/13/22 12:40:01 AM,%RH,21.84
6/13/22 2:40:01 AM,%RH,30.239
6/13/22 4:40:01 AM,%RH,37.039
6/13/22 6:40:01 AM,%RH,39.708
6/13/22 8:40:01 AM,%RH,37.039
6/13/22 10:40:01 AM,%RH,28.857
6/13/22 12:40:01 PM,%RH,23.258
6/13/22 2:40:01 PM,%RH,19.699
6/13/22 4:40:01 PM,%RH,18.263
6/13/22 6:40:01 PM,%RH,17.542
6/13/22 8:40:01 PM,%RH,20.414
6/13/22 10:40:01 PM,%RH,23.258
6/14/22 12:40:01 AM,%RH,26.771
6/14/22 2:40:01 AM,%RH,32.981
6/14/22 4:40:01 AM,%RH,48.182
6/14/22 6:40:01 AM,%RH,62.423
6/14/22 8:40:01 AM,%RH,51.36
6/14/22 10:40:01 AM,%RH,32.981
6/14/22 12:40:01 PM,%RH,16.095
6/14/22 2:40:01 PM,%RH,10.234
6/14/22 4:40:01 PM,%RH,14.64
6/14/22 6:40:01 PM,%RH,17.542
6/14/22 8:40:01 PM,%RH,25.371
