1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B400000078632E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:52:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:52:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27985
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:52:01 AM,C,23.131
6/9/22 10:52:01 AM,C,23.631
6/9/22 12:52:01 PM,C,22.63
6/9/22 2:52:01 PM,C,24.131
6/9/22 4:52:01 PM,C,24.131
6/9/22 6:52:01 PM,C,24.131
6/9/22 8:52:01 PM,C,24.131
6/9/22 10:52:01 PM,C,22.13
6/10/22 12:52:01 AM,C,23.631
6/10/22 2:52:01 AM,C,23.131
6/10/22 4:52:01 AM,C,23.631
6/10/22 6:52:01 AM,C,23.631
6/10/22 8:52:01 AM,C,27.131
6/10/22 10:52:01 AM,C,35.124
6/10/22 12:52:01 PM,C,39.117
6/10/22 2:52:01 PM,C,42.609
6/10/22 4:52:01 PM,C,44.604
6/10/22 6:52:01 PM,C,41.113
6/10/22 8:52:01 PM,C,33.626
6/10/22 10:52:01 PM,C,31.628
6/11/22 12:52:01 AM,C,29.13
6/11/22 2:52:01 AM,C,27.631
6/11/22 4:52:01 AM,C,26.131
6/11/22 6:52:01 AM,C,25.131
6/11/22 8:52:01 AM,C,31.129
6/11/22 10:52:01 AM,C,37.62
6/11/22 12:52:01 PM,C,44.106
6/11/22 2:52:01 PM,C,45.601
6/11/22 4:52:01 PM,C,46.1
6/11/22 6:52:01 PM,C,43.108
6/11/22 8:52:01 PM,C,36.123
6/11/22 10:52:01 PM,C,33.626
6/12/22 12:52:01 AM,C,31.129
6/12/22 2:52:01 AM,C,28.13
6/12/22 4:52:01 AM,C,25.631
6/12/22 6:52:01 AM,C,27.131
6/12/22 8:52:01 AM,C,32.627
6/12/22 10:52:01 AM,C,38.119
6/12/22 12:52:01 PM,C,43.108
6/12/22 2:52:01 PM,C,45.601
6/12/22 4:52:01 PM,C,45.601
6/12/22 6:52:01 PM,C,42.111
6/12/22 8:52:01 PM,C,35.124
6/12/22 10:52:01 PM,C,31.628
6/13/22 12:52:01 AM,C,30.129
6/13/22 2:52:01 AM,C,27.631
6/13/22 4:52:01 AM,C,25.631
6/13/22 6:52:01 AM,C,24.631
6/13/22 8:52:01 AM,C,30.629
6/13/22 10:52:01 AM,C,36.123
6/13/22 12:52:01 PM,C,40.115
6/13/22 2:52:01 PM,C,42.111
6/13/22 4:52:01 PM,C,42.111
6/13/22 6:52:01 PM,C,39.117
6/13/22 8:52:01 PM,C,33.626
6/13/22 10:52:01 PM,C,30.629
6/14/22 12:52:01 AM,C,28.63
6/14/22 2:52:01 AM,C,27.131
6/14/22 4:52:01 AM,C,25.631
6/14/22 6:52:01 AM,C,24.631
6/14/22 8:52:01 AM,C,31.628
6/14/22 10:52:01 AM,C,37.121
6/14/22 12:52:01 PM,C,48.592
6/14/22 2:52:01 PM,C,54.071
6/14/22 4:52:01 PM,C,53.573
6/14/22 6:52:01 PM,C,43.108
6/14/22 8:52:01 PM,C,33.626
6/14/22 10:52:01 PM,C,31.129
6/15/22 12:52:01 AM,C,28.13
6/15/22 2:52:01 AM,C,26.631
6/15/22 4:52:01 AM,C,25.631
6/15/22 6:52:01 AM,C,25.131
6/15/22 8:52:01 AM,C,32.128
6/15/22 10:52:01 AM,C,37.121
6/15/22 12:52:01 PM,C,43.108
6/15/22 2:52:01 PM,C,46.1
6/15/22 4:52:01 PM,C,46.598
6/15/22 6:52:01 PM,C,42.609
6/15/22 8:52:01 PM,C,33.127
6/15/22 10:52:01 PM,C,30.129
6/16/22 12:52:01 AM,C,28.13
6/16/22 2:52:01 AM,C,26.631
6/16/22 4:52:01 AM,C,25.131
6/16/22 6:52:01 AM,C,24.131
