1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007861BA41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:24:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:24:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27790
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:24:01 AM,%RH,47.789
6/9/22 10:24:01 AM,%RH,47.789
6/9/22 12:24:01 PM,%RH,45.243
6/9/22 2:24:01 PM,%RH,45.882
6/9/22 4:24:01 PM,%RH,42.673
6/9/22 6:24:01 PM,%RH,38.77
6/9/22 8:24:01 PM,%RH,40.728
6/9/22 10:24:01 PM,%RH,39.425
6/10/22 12:24:01 AM,%RH,41.378
6/10/22 2:24:01 AM,%RH,40.728
6/10/22 4:24:01 AM,%RH,42.673
6/10/22 6:24:01 AM,%RH,43.317
6/10/22 8:24:01 AM,%RH,50.936
6/10/22 10:24:01 AM,%RH,36.798
6/10/22 12:24:01 PM,%RH,26.045
6/10/22 2:24:01 PM,%RH,19.122
6/10/22 4:24:01 PM,%RH,17.015
6/10/22 6:24:01 PM,%RH,17.015
6/10/22 8:24:01 PM,%RH,21.215
6/10/22 10:24:01 PM,%RH,25.359
6/11/22 12:24:01 AM,%RH,29.448
6/11/22 2:24:01 AM,%RH,35.476
6/11/22 4:24:01 AM,%RH,40.728
6/11/22 6:24:01 AM,%RH,47.155
6/11/22 8:24:01 AM,%RH,42.673
6/11/22 10:24:01 AM,%RH,28.77
6/11/22 12:24:01 PM,%RH,19.821
6/11/22 2:24:01 PM,%RH,13.472
6/11/22 4:24:01 PM,%RH,12.759
6/11/22 6:24:01 PM,%RH,11.328
6/11/22 8:24:01 PM,%RH,12.759
6/11/22 10:24:01 PM,%RH,18.421
6/12/22 12:24:01 AM,%RH,23.294
6/12/22 2:24:01 AM,%RH,28.77
6/12/22 4:24:01 AM,%RH,33.48
6/12/22 6:24:01 AM,%RH,38.114
6/12/22 8:24:01 AM,%RH,36.138
6/12/22 10:24:01 AM,%RH,28.091
6/12/22 12:24:01 PM,%RH,17.719
6/12/22 2:24:01 PM,%RH,12.759
6/12/22 4:24:01 PM,%RH,11.328
6/12/22 6:24:01 PM,%RH,10.61
6/12/22 8:24:01 PM,%RH,12.044
6/12/22 10:24:01 PM,%RH,17.015
6/13/22 12:24:01 AM,%RH,22.603
6/13/22 2:24:01 AM,%RH,28.77
6/13/22 4:24:01 AM,%RH,36.798
6/13/22 6:24:01 AM,%RH,38.77
6/13/22 8:24:01 AM,%RH,39.425
6/13/22 10:24:01 AM,%RH,30.124
6/13/22 12:24:01 PM,%RH,25.359
6/13/22 2:24:01 PM,%RH,21.215
6/13/22 4:24:01 PM,%RH,18.421
6/13/22 6:24:01 PM,%RH,16.31
6/13/22 8:24:01 PM,%RH,18.421
6/13/22 10:24:01 PM,%RH,21.91
6/14/22 12:24:01 AM,%RH,26.045
6/14/22 2:24:01 AM,%RH,31.471
6/14/22 4:24:01 AM,%RH,45.882
6/14/22 6:24:01 AM,%RH,60.145
6/14/22 8:24:01 AM,%RH,63.73
6/14/22 10:24:01 AM,%RH,45.882
6/14/22 12:24:01 PM,%RH,28.091
6/14/22 2:24:01 PM,%RH,17.719
6/14/22 4:24:01 PM,%RH,16.31
6/14/22 6:24:01 PM,%RH,20.519
6/14/22 8:24:01 PM,%RH,23.984
6/14/22 10:24:01 PM,%RH,34.147
6/15/22 12:24:01 AM,%RH,41.378
6/15/22 2:24:01 AM,%RH,47.789
6/15/22 4:24:01 AM,%RH,52.184
6/15/22 6:24:01 AM,%RH,54.661
6/15/22 8:24:01 AM,%RH,52.806
6/15/22 10:24:01 AM,%RH,37.457
6/15/22 12:24:01 PM,%RH,32.812
6/15/22 2:24:01 PM,%RH,26.045
6/15/22 4:24:01 PM,%RH,23.984
6/15/22 6:24:01 PM,%RH,23.294
6/15/22 8:24:01 PM,%RH,27.411
6/15/22 10:24:01 PM,%RH,35.476
6/16/22 12:24:01 AM,%RH,42.026
6/16/22 2:24:01 AM,%RH,47.155
6/16/22 4:24:01 AM,%RH,47.789
6/16/22 6:24:01 AM,%RH,53.426
6/16/22 8:24:01 AM,%RH,52.184
6/16/22 10:24:01 AM,%RH,43.961
6/16/22 12:24:01 PM,%RH,34.147
6/16/22 2:24:01 PM,%RH,26.045
6/16/22 4:24:01 PM,%RH,19.821
6/16/22 6:24:01 PM,%RH,16.31
6/16/22 8:24:01 PM,%RH,17.719
6/16/22 10:24:01 PM,%RH,26.045
6/17/22 12:24:01 AM,%RH,28.091
6/17/22 2:24:01 AM,%RH,32.142
6/17/22 4:24:01 AM,%RH,40.728
6/17/22 6:24:01 AM,%RH,49.682
6/17/22 8:24:01 AM,%RH,41.378
6/17/22 10:24:01 AM,%RH,34.812
6/17/22 12:24:01 PM,%RH,21.91
6/17/22 2:24:01 PM,%RH,16.31
6/17/22 4:24:01 PM,%RH,14.894
6/17/22 6:24:01 PM,%RH,17.015
6/17/22 8:24:01 PM,%RH,20.519
6/17/22 10:24:01 PM,%RH,27.411
6/18/22 12:24:01 AM,%RH,36.798
6/18/22 2:24:01 AM,%RH,43.961
6/18/22 4:24:01 AM,%RH,55.891
6/18/22 6:24:01 AM,%RH,63.137
6/18/22 8:24:01 AM,%RH,43.961
6/18/22 10:24:01 AM,%RH,31.471
6/18/22 12:24:01 PM,%RH,28.77
6/18/22 2:24:01 PM,%RH,28.091
6/18/22 4:24:01 PM,%RH,24.673
6/18/22 6:24:01 PM,%RH,23.984
6/18/22 8:24:01 PM,%RH,29.448
6/18/22 10:24:01 PM,%RH,34.147
6/19/22 12:24:01 AM,%RH,40.077
6/19/22 2:24:01 AM,%RH,47.789
6/19/22 4:24:01 AM,%RH,65.502
6/19/22 6:24:01 AM,%RH,71.88
6/19/22 8:24:01 AM,%RH,47.155
6/19/22 10:24:01 AM,%RH,40.728
6/19/22 12:24:01 PM,%RH,30.124
6/19/22 2:24:01 PM,%RH,24.673
6/19/22 4:24:01 PM,%RH,23.294
6/19/22 6:24:01 PM,%RH,21.91
6/19/22 8:24:01 PM,%RH,27.411
6/19/22 10:24:01 PM,%RH,32.142
6/20/22 12:24:01 AM,%RH,38.114
6/20/22 2:24:01 AM,%RH,40.728
6/20/22 4:24:01 AM,%RH,48.421
6/20/22 6:24:01 AM,%RH,53.426
6/20/22 8:24:01 AM,%RH,47.155
6/20/22 10:24:01 AM,%RH,38.114
6/20/22 12:24:01 PM,%RH,29.448
6/20/22 2:24:01 PM,%RH,23.984
6/20/22 4:24:01 PM,%RH,20.519
6/20/22 6:24:01 PM,%RH,19.821
6/20/22 8:24:01 PM,%RH,23.984
