1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007861BA41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:24:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:24:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27790
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:24:01 AM,C,23.047
6/9/22 10:24:01 AM,C,23.047
6/9/22 12:24:01 PM,C,22.547
6/9/22 2:24:01 PM,C,24.047
6/9/22 4:24:01 PM,C,22.547
6/9/22 6:24:01 PM,C,23.547
6/9/22 8:24:01 PM,C,24.047
6/9/22 10:24:01 PM,C,22.046
6/10/22 12:24:01 AM,C,23.547
6/10/22 2:24:01 AM,C,22.046
6/10/22 4:24:01 AM,C,23.047
6/10/22 6:24:01 AM,C,23.047
6/10/22 8:24:01 AM,C,27.047
6/10/22 10:24:01 AM,C,33.543
6/10/22 12:24:01 PM,C,38.538
6/10/22 2:24:01 PM,C,41.533
6/10/22 4:24:01 PM,C,44.528
6/10/22 6:24:01 PM,C,41.533
6/10/22 8:24:01 PM,C,35.541
6/10/22 10:24:01 PM,C,31.545
6/11/22 12:24:01 AM,C,29.546
6/11/22 2:24:01 AM,C,27.547
6/11/22 4:24:01 AM,C,26.047
6/11/22 6:24:01 AM,C,25.047
6/11/22 8:24:01 AM,C,29.046
6/11/22 10:24:01 AM,C,35.541
6/11/22 12:24:01 PM,C,41.533
6/11/22 2:24:01 PM,C,44.528
6/11/22 4:24:01 PM,C,45.526
6/11/22 6:24:01 PM,C,43.031
6/11/22 8:24:01 PM,C,38.038
6/11/22 10:24:01 PM,C,34.043
6/12/22 12:24:01 AM,C,31.545
6/12/22 2:24:01 AM,C,28.546
6/12/22 4:24:01 AM,C,27.047
6/12/22 6:24:01 AM,C,26.047
6/12/22 8:24:01 AM,C,30.046
6/12/22 10:24:01 AM,C,36.54
6/12/22 12:24:01 PM,C,41.533
6/12/22 2:24:01 PM,C,44.528
6/12/22 4:24:01 PM,C,45.027
6/12/22 6:24:01 PM,C,42.531
6/12/22 8:24:01 PM,C,37.04
6/12/22 10:24:01 PM,C,32.544
6/13/22 12:24:01 AM,C,30.046
6/13/22 2:24:01 AM,C,28.047
6/13/22 4:24:01 AM,C,24.547
6/13/22 6:24:01 AM,C,24.547
6/13/22 8:24:01 AM,C,28.546
6/13/22 10:24:01 AM,C,34.542
6/13/22 12:24:01 PM,C,38.538
6/13/22 2:24:01 PM,C,41.034
6/13/22 4:24:01 PM,C,42.531
6/13/22 6:24:01 PM,C,39.536
6/13/22 8:24:01 PM,C,34.542
6/13/22 10:24:01 PM,C,31.045
6/14/22 12:24:01 AM,C,29.046
6/14/22 2:24:01 AM,C,28.047
6/14/22 4:24:01 AM,C,26.047
6/14/22 6:24:01 AM,C,24.547
6/14/22 8:24:01 AM,C,26.547
6/14/22 10:24:01 AM,C,32.045
6/14/22 12:24:01 PM,C,38.538
6/14/22 2:24:01 PM,C,42.531
6/14/22 4:24:01 PM,C,45.526
6/14/22 6:24:01 PM,C,40.036
6/14/22 8:24:01 PM,C,35.042
6/14/22 10:24:01 PM,C,31.545
6/15/22 12:24:01 AM,C,28.546
6/15/22 2:24:01 AM,C,27.047
6/15/22 4:24:01 AM,C,26.047
6/15/22 6:24:01 AM,C,25.047
6/15/22 8:24:01 AM,C,28.047
6/15/22 10:24:01 AM,C,32.544
6/15/22 12:24:01 PM,C,36.041
6/15/22 2:24:01 PM,C,38.038
6/15/22 4:24:01 PM,C,39.037
6/15/22 6:24:01 PM,C,38.538
6/15/22 8:24:01 PM,C,33.543
6/15/22 10:24:01 PM,C,30.545
6/16/22 12:24:01 AM,C,28.546
6/16/22 2:24:01 AM,C,26.547
6/16/22 4:24:01 AM,C,25.547
6/16/22 6:24:01 AM,C,24.047
6/16/22 8:24:01 AM,C,27.547
6/16/22 10:24:01 AM,C,31.545
6/16/22 12:24:01 PM,C,35.541
6/16/22 2:24:01 PM,C,38.038
6/16/22 4:24:01 PM,C,39.536
6/16/22 6:24:01 PM,C,39.037
6/16/22 8:24:01 PM,C,33.543
6/16/22 10:24:01 PM,C,28.047
6/17/22 12:24:01 AM,C,27.547
6/17/22 2:24:01 AM,C,25.547
6/17/22 4:24:01 AM,C,23.047
6/17/22 6:24:01 AM,C,21.046
6/17/22 8:24:01 AM,C,26.547
6/17/22 10:24:01 AM,C,33.044
6/17/22 12:24:01 PM,C,37.04
6/17/22 2:24:01 PM,C,39.037
6/17/22 4:24:01 PM,C,40.535
6/17/22 6:24:01 PM,C,38.038
6/17/22 8:24:01 PM,C,33.044
6/17/22 10:24:01 PM,C,29.046
6/18/22 12:24:01 AM,C,26.047
6/18/22 2:24:01 AM,C,24.047
6/18/22 4:24:01 AM,C,23.047
6/18/22 6:24:01 AM,C,21.546
6/18/22 8:24:01 AM,C,28.546
6/18/22 10:24:01 AM,C,35.042
6/18/22 12:24:01 PM,C,36.54
6/18/22 2:24:01 PM,C,38.038
6/18/22 4:24:01 PM,C,39.536
6/18/22 6:24:01 PM,C,36.041
6/18/22 8:24:01 PM,C,32.045
6/18/22 10:24:01 PM,C,29.046
6/19/22 12:24:01 AM,C,27.047
6/19/22 2:24:01 AM,C,24.547
6/19/22 4:24:01 AM,C,22.046
6/19/22 6:24:01 AM,C,20.546
6/19/22 8:24:01 AM,C,27.047
6/19/22 10:24:01 AM,C,32.544
6/19/22 12:24:01 PM,C,36.041
6/19/22 2:24:01 PM,C,38.538
6/19/22 4:24:01 PM,C,39.536
6/19/22 6:24:01 PM,C,36.041
6/19/22 8:24:01 PM,C,32.544
6/19/22 10:24:01 PM,C,29.046
6/20/22 12:24:01 AM,C,27.547
6/20/22 2:24:01 AM,C,25.547
6/20/22 4:24:01 AM,C,24.047
6/20/22 6:24:01 AM,C,23.047
6/20/22 8:24:01 AM,C,28.047
