1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3700000078631C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:26:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:26:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28346
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:26:01 AM,%RH,48.565
6/9/22 10:26:01 AM,%RH,48.565
6/9/22 12:26:01 PM,%RH,46.016
6/9/22 2:26:01 PM,%RH,46.016
6/9/22 4:26:01 PM,%RH,42.793
6/9/22 6:26:01 PM,%RH,40.185
6/9/22 8:26:01 PM,%RH,40.839
6/9/22 10:26:01 PM,%RH,40.185
6/10/22 12:26:01 AM,%RH,41.492
6/10/22 2:26:01 AM,%RH,40.839
6/10/22 4:26:01 AM,%RH,42.793
6/10/22 6:26:01 AM,%RH,43.441
6/10/22 8:26:01 AM,%RH,49.829
6/10/22 10:26:01 AM,%RH,34.219
6/10/22 12:26:01 PM,%RH,25.364
6/10/22 2:26:01 PM,%RH,19.775
6/10/22 4:26:01 PM,%RH,16.941
6/10/22 6:26:01 PM,%RH,17.652
6/10/22 8:26:01 PM,%RH,21.182
6/10/22 10:26:01 PM,%RH,26.055
6/11/22 12:26:01 AM,%RH,30.167
6/11/22 2:26:01 AM,%RH,35.556
6/11/22 4:26:01 AM,%RH,41.492
6/11/22 6:26:01 AM,%RH,47.294
6/11/22 8:26:01 AM,%RH,40.839
6/11/22 10:26:01 AM,%RH,27.432
6/11/22 12:26:01 PM,%RH,18.361
6/11/22 2:26:01 PM,%RH,14.08
6/11/22 4:26:01 PM,%RH,11.917
6/11/22 6:26:01 PM,%RH,11.917
6/11/22 8:26:01 PM,%RH,13.361
6/11/22 10:26:01 PM,%RH,19.069
6/12/22 12:26:01 AM,%RH,23.281
6/12/22 2:26:01 AM,%RH,30.167
6/12/22 4:26:01 AM,%RH,33.547
6/12/22 6:26:01 AM,%RH,38.87
6/12/22 8:26:01 AM,%RH,34.219
6/12/22 10:26:01 AM,%RH,26.744
6/12/22 12:26:01 PM,%RH,18.361
6/12/22 2:26:01 PM,%RH,13.361
