1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D800000078656941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:43:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:43:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27989
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:43:01 AM,%RH,49.011
6/9/22 10:43:01 AM,%RH,49.011
6/9/22 12:43:01 PM,%RH,44.499
6/9/22 2:43:01 PM,%RH,47.731
6/9/22 4:43:01 PM,%RH,45.149
6/9/22 6:43:01 PM,%RH,41.22
6/9/22 8:43:01 PM,%RH,42.537
6/9/22 10:43:01 PM,%RH,39.895
6/10/22 12:43:01 AM,%RH,42.537
6/10/22 2:43:01 AM,%RH,41.88
6/10/22 4:43:01 AM,%RH,43.193
6/10/22 6:43:01 AM,%RH,43.847
6/10/22 8:43:01 AM,%RH,46.444
6/10/22 10:43:01 AM,%RH,34.521
6/10/22 12:43:01 PM,%RH,24.121
6/10/22 2:43:01 PM,%RH,19.843
6/10/22 4:43:01 PM,%RH,18.402
6/10/22 6:43:01 PM,%RH,20.561
6/10/22 8:43:01 PM,%RH,22.703
6/10/22 10:43:01 PM,%RH,26.235
6/11/22 12:43:01 AM,%RH,31.102
6/11/22 2:43:01 AM,%RH,35.876
6/11/22 4:43:01 AM,%RH,43.193
6/11/22 6:43:01 AM,%RH,47.731
6/11/22 8:43:01 AM,%RH,39.23
6/11/22 10:43:01 AM,%RH,24.121
6/11/22 12:43:01 PM,%RH,17.678
6/11/22 2:43:01 PM,%RH,14.766
6/11/22 4:43:01 PM,%RH,13.299
6/11/22 6:43:01 PM,%RH,13.299
6/11/22 8:43:01 PM,%RH,14.766
6/11/22 10:43:01 PM,%RH,19.843
6/12/22 12:43:01 AM,%RH,24.121
6/12/22 2:43:01 AM,%RH,30.412
6/12/22 4:43:01 AM,%RH,35.876
6/12/22 6:43:01 AM,%RH,39.895
6/12/22 8:43:01 AM,%RH,33.159
6/12/22 10:43:01 AM,%RH,24.828
6/12/22 12:43:01 PM,%RH,16.953
6/12/22 2:43:01 PM,%RH,14.033
6/12/22 4:43:01 PM,%RH,13.299
6/12/22 6:43:01 PM,%RH,13.299
6/12/22 8:43:01 PM,%RH,14.033
6/12/22 10:43:01 PM,%RH,17.678
6/13/22 12:43:01 AM,%RH,22.703
6/13/22 2:43:01 AM,%RH,30.412
6/13/22 4:43:01 AM,%RH,36.551
6/13/22 6:43:01 AM,%RH,40.559
6/13/22 8:43:01 AM,%RH,38.563
6/13/22 10:43:01 AM,%RH,29.027
6/13/22 12:43:01 PM,%RH,24.828
6/13/22 2:43:01 PM,%RH,21.991
6/13/22 4:43:01 PM,%RH,21.277
6/13/22 6:43:01 PM,%RH,19.123
6/13/22 8:43:01 PM,%RH,20.561
6/13/22 10:43:01 PM,%RH,22.703
6/14/22 12:43:01 AM,%RH,26.235
6/14/22 2:43:01 AM,%RH,32.475
6/14/22 4:43:01 AM,%RH,49.648
6/14/22 6:43:01 AM,%RH,62.592
6/14/22 8:43:01 AM,%RH,52.805
6/14/22 10:43:01 AM,%RH,33.841
6/14/22 12:43:01 PM,%RH,19.123
6/14/22 2:43:01 PM,%RH,14.033
6/14/22 4:43:01 PM,%RH,15.497
6/14/22 6:43:01 PM,%RH,21.277
6/14/22 8:43:01 PM,%RH,25.532
6/14/22 10:43:01 PM,%RH,35.2
6/15/22 12:43:01 AM,%RH,43.847
6/15/22 2:43:01 AM,%RH,50.283
6/15/22 4:43:01 AM,%RH,53.431
6/15/22 6:43:01 AM,%RH,57.758
6/15/22 8:43:01 AM,%RH,49.011
6/15/22 10:43:01 AM,%RH,26.936
6/15/22 12:43:01 PM,%RH,22.703
6/15/22 2:43:01 PM,%RH,18.402
6/15/22 4:43:01 PM,%RH,18.402
6/15/22 6:43:01 PM,%RH,20.561
6/15/22 8:43:01 PM,%RH,26.235
6/15/22 10:43:01 PM,%RH,35.876
6/16/22 12:43:01 AM,%RH,42.537
6/16/22 2:43:01 AM,%RH,46.444
6/16/22 4:43:01 AM,%RH,47.731
6/16/22 6:43:01 AM,%RH,55.915
6/16/22 8:43:01 AM,%RH,41.22
6/16/22 10:43:01 AM,%RH,30.412
6/16/22 12:43:01 PM,%RH,22.703
6/16/22 2:43:01 PM,%RH,19.843
6/16/22 4:43:01 PM,%RH,14.766
6/16/22 6:43:01 PM,%RH,14.033
6/16/22 8:43:01 PM,%RH,17.678
6/16/22 10:43:01 PM,%RH,26.235
6/17/22 12:43:01 AM,%RH,29.027
6/17/22 2:43:01 AM,%RH,33.841
6/17/22 4:43:01 AM,%RH,43.193
6/17/22 6:43:01 AM,%RH,50.916
6/17/22 8:43:01 AM,%RH,33.159
6/17/22 10:43:01 AM,%RH,22.703
6/17/22 12:43:01 PM,%RH,15.497
6/17/22 2:43:01 PM,%RH,14.033
6/17/22 4:43:01 PM,%RH,13.299
6/17/22 6:43:01 PM,%RH,14.766
6/17/22 8:43:01 PM,%RH,21.277
6/17/22 10:43:01 PM,%RH,27.635
6/18/22 12:43:01 AM,%RH,38.563
6/18/22 2:43:01 AM,%RH,46.444
6/18/22 4:43:01 AM,%RH,59.585
6/18/22 6:43:01 AM,%RH,66.722
6/18/22 8:43:01 AM,%RH,34.521
6/18/22 10:43:01 AM,%RH,21.991
6/18/22 12:43:01 PM,%RH,21.277
6/18/22 2:43:01 PM,%RH,26.936
6/18/22 4:43:01 PM,%RH,22.703
6/18/22 6:43:01 PM,%RH,24.121
6/18/22 8:43:01 PM,%RH,28.332
6/18/22 10:43:01 PM,%RH,35.2
6/19/22 12:43:01 AM,%RH,40.559
6/19/22 2:43:01 AM,%RH,52.177
6/19/22 4:43:01 AM,%RH,67.305
6/19/22 6:43:01 AM,%RH,75.818
