1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 360000007860B241
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:56:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:56:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28384
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:56:01 AM,%RH,48.748
6/9/22 10:56:01 AM,%RH,48.748
6/9/22 12:56:01 PM,%RH,44.283
6/9/22 2:56:01 PM,%RH,48.115
6/9/22 4:56:01 PM,%RH,46.207
6/9/22 6:56:01 PM,%RH,41.042
6/9/22 8:56:01 PM,%RH,44.283
6/9/22 10:56:01 PM,%RH,41.694
6/10/22 12:56:01 AM,%RH,43.638
6/10/22 2:56:01 AM,%RH,42.992
6/10/22 4:56:01 AM,%RH,42.992
6/10/22 6:56:01 AM,%RH,43.638
6/10/22 8:56:01 AM,%RH,43.638
6/10/22 10:56:01 AM,%RH,35.767
6/10/22 12:56:01 PM,%RH,21.396
6/10/22 2:56:01 PM,%RH,19.987
6/10/22 4:56:01 PM,%RH,17.862
6/10/22 6:56:01 PM,%RH,19.28
6/10/22 8:56:01 PM,%RH,24.886
6/10/22 10:56:01 PM,%RH,27.648
6/11/22 12:56:01 AM,%RH,32.414
6/11/22 2:56:01 AM,%RH,37.758
6/11/22 4:56:01 AM,%RH,42.992
6/11/22 6:56:01 AM,%RH,48.748
6/11/22 8:56:01 AM,%RH,37.758
6/11/22 10:56:01 AM,%RH,24.886
6/11/22 12:56:01 PM,%RH,17.15
6/11/22 2:56:01 PM,%RH,14.285
6/11/22 4:56:01 PM,%RH,13.565
6/11/22 6:56:01 PM,%RH,12.842
6/11/22 8:56:01 PM,%RH,15.004
6/11/22 10:56:01 PM,%RH,19.987
6/12/22 12:56:01 AM,%RH,25.579
6/12/22 2:56:01 AM,%RH,31.738
6/12/22 4:56:01 AM,%RH,39.077
6/12/22 6:56:01 AM,%RH,39.734
6/12/22 8:56:01 AM,%RH,35.1
6/12/22 10:56:01 AM,%RH,24.191
6/12/22 12:56:01 PM,%RH,15.721
6/12/22 2:56:01 PM,%RH,12.842
6/12/22 4:56:01 PM,%RH,12.842
6/12/22 6:56:01 PM,%RH,12.842
6/12/22 8:56:01 PM,%RH,14.285
6/12/22 10:56:01 PM,%RH,20.692
6/13/22 12:56:01 AM,%RH,23.495
6/13/22 2:56:01 AM,%RH,31.061
6/13/22 4:56:01 AM,%RH,37.758
6/13/22 6:56:01 AM,%RH,40.389
6/13/22 8:56:01 AM,%RH,37.096
6/13/22 10:56:01 AM,%RH,29.018
6/13/22 12:56:01 PM,%RH,24.191
6/13/22 2:56:01 PM,%RH,22.097
6/13/22 4:56:01 PM,%RH,17.862
6/13/22 6:56:01 PM,%RH,18.572
6/13/22 8:56:01 PM,%RH,20.692
6/13/22 10:56:01 PM,%RH,23.495
6/14/22 12:56:01 AM,%RH,26.96
6/14/22 2:56:01 AM,%RH,33.76
6/14/22 4:56:01 AM,%RH,50.636
6/14/22 6:56:01 AM,%RH,64.005
6/14/22 8:56:01 AM,%RH,56.816
6/14/22 10:56:01 AM,%RH,41.042
6/14/22 12:56:01 PM,%RH,24.886
6/14/22 2:56:01 PM,%RH,16.436
6/14/22 4:56:01 PM,%RH,18.572
6/14/22 6:56:01 PM,%RH,22.097
6/14/22 8:56:01 PM,%RH,27.648
6/14/22 10:56:01 PM,%RH,36.432
6/15/22 12:56:01 AM,%RH,43.638
6/15/22 2:56:01 AM,%RH,51.261
6/15/22 4:56:01 AM,%RH,53.128
6/15/22 6:56:01 AM,%RH,58.031
6/15/22 8:56:01 AM,%RH,44.926
6/15/22 10:56:01 AM,%RH,33.76
6/15/22 12:56:01 PM,%RH,26.27
6/15/22 2:56:01 PM,%RH,22.797
6/15/22 4:56:01 PM,%RH,21.396
6/15/22 6:56:01 PM,%RH,22.797
6/15/22 8:56:01 PM,%RH,28.334
6/15/22 10:56:01 PM,%RH,36.432
6/16/22 12:56:01 AM,%RH,44.283
6/16/22 2:56:01 AM,%RH,46.207
6/16/22 4:56:01 AM,%RH,48.748
6/16/22 6:56:01 AM,%RH,54.98
6/16/22 8:56:01 AM,%RH,48.115
6/16/22 10:56:01 AM,%RH,35.1
6/16/22 12:56:01 PM,%RH,27.648
6/16/22 2:56:01 PM,%RH,20.692
6/16/22 4:56:01 PM,%RH,17.15
6/16/22 6:56:01 PM,%RH,16.436
6/16/22 8:56:01 PM,%RH,19.28
6/16/22 10:56:01 PM,%RH,27.648
6/17/22 12:56:01 AM,%RH,29.701
6/17/22 2:56:01 AM,%RH,33.76
6/17/22 4:56:01 AM,%RH,44.926
6/17/22 6:56:01 AM,%RH,50.008
6/17/22 8:56:01 AM,%RH,36.432
6/17/22 10:56:01 AM,%RH,27.648
6/17/22 12:56:01 PM,%RH,19.28
6/17/22 2:56:01 PM,%RH,14.285
6/17/22 4:56:01 PM,%RH,15.004
6/17/22 6:56:01 PM,%RH,17.15
6/17/22 8:56:01 PM,%RH,22.797
6/17/22 10:56:01 PM,%RH,29.701
6/18/22 12:56:01 AM,%RH,39.077
6/18/22 2:56:01 AM,%RH,47.481
6/18/22 4:56:01 AM,%RH,61.636
6/18/22 6:56:01 AM,%RH,66.928
6/18/22 8:56:01 AM,%RH,39.077
6/18/22 10:56:01 AM,%RH,31.061
6/18/22 12:56:01 PM,%RH,26.96
6/18/22 2:56:01 PM,%RH,27.648
6/18/22 4:56:01 PM,%RH,26.27
6/18/22 6:56:01 PM,%RH,22.097
6/18/22 8:56:01 PM,%RH,31.738
6/18/22 10:56:01 PM,%RH,37.096
6/19/22 12:56:01 AM,%RH,42.343
6/19/22 2:56:01 AM,%RH,57.425
6/19/22 4:56:01 AM,%RH,68.66
6/19/22 6:56:01 AM,%RH,72.643
6/19/22 8:56:01 AM,%RH,41.042
6/19/22 10:56:01 AM,%RH,37.096
6/19/22 12:56:01 PM,%RH,28.334
6/19/22 2:56:01 PM,%RH,22.097
6/19/22 4:56:01 PM,%RH,22.797
6/19/22 6:56:01 PM,%RH,22.797
6/19/22 8:56:01 PM,%RH,31.061
6/19/22 10:56:01 PM,%RH,35.767
6/20/22 12:56:01 AM,%RH,37.096
6/20/22 2:56:01 AM,%RH,44.283
6/20/22 4:56:01 AM,%RH,50.636
6/20/22 6:56:01 AM,%RH,54.98
6/20/22 8:56:01 AM,%RH,42.343
6/20/22 10:56:01 AM,%RH,35.1
6/20/22 12:56:01 PM,%RH,26.27
6/20/22 2:56:01 PM,%RH,23.495
6/20/22 4:56:01 PM,%RH,21.396
6/20/22 6:56:01 PM,%RH,21.396
6/20/22 8:56:01 PM,%RH,26.96
6/20/22 10:56:01 PM,%RH,33.088
6/21/22 12:56:01 AM,%RH,64.593
6/21/22 2:56:01 AM,%RH,75.99
6/21/22 4:56:01 AM,%RH,84.085
6/21/22 6:56:01 AM,%RH,83.557
6/21/22 8:56:01 AM,%RH,42.992
6/21/22 10:56:01 AM,%RH,33.76
6/21/22 12:56:01 PM,%RH,22.797
6/21/22 2:56:01 PM,%RH,17.862
6/21/22 4:56:01 PM,%RH,14.285
6/21/22 6:56:01 PM,%RH,18.572
6/21/22 8:56:01 PM,%RH,25.579
6/21/22 10:56:01 PM,%RH,35.767
6/22/22 12:56:01 AM,%RH,52.508
6/22/22 2:56:01 AM,%RH,57.425
6/22/22 4:56:01 AM,%RH,72.643
6/22/22 6:56:01 AM,%RH,70.947
6/22/22 8:56:01 AM,%RH,35.767
6/22/22 10:56:01 AM,%RH,27.648
6/22/22 12:56:01 PM,%RH,20.692
6/22/22 2:56:01 PM,%RH,18.572
6/22/22 4:56:01 PM,%RH,17.862
6/22/22 6:56:01 PM,%RH,19.28
6/22/22 8:56:01 PM,%RH,24.886
6/22/22 10:56:01 PM,%RH,34.431
6/23/22 12:56:01 AM,%RH,38.418
6/23/22 2:56:01 AM,%RH,44.926
6/23/22 4:56:01 AM,%RH,50.008
6/23/22 6:56:01 AM,%RH,52.508
6/23/22 8:56:01 AM,%RH,41.694
6/23/22 10:56:01 AM,%RH,31.061
6/23/22 12:56:01 PM,%RH,23.495
6/23/22 2:56:01 PM,%RH,21.396
6/23/22 4:56:01 PM,%RH,19.28
6/23/22 6:56:01 PM,%RH,19.28
6/23/22 8:56:01 PM,%RH,26.27
6/23/22 10:56:01 PM,%RH,29.018
6/24/22 12:56:01 AM,%RH,30.382
6/24/22 2:56:01 AM,%RH,34.431
6/24/22 4:56:01 AM,%RH,37.758
6/24/22 6:56:01 AM,%RH,40.389
6/24/22 8:56:01 AM,%RH,31.738
6/24/22 10:56:01 AM,%RH,23.495
6/24/22 12:56:01 PM,%RH,17.862
6/24/22 2:56:01 PM,%RH,16.436
6/24/22 4:56:01 PM,%RH,17.862
6/24/22 6:56:01 PM,%RH,15.004
6/24/22 8:56:01 PM,%RH,19.987
6/24/22 10:56:01 PM,%RH,24.886
6/25/22 12:56:01 AM,%RH,29.701
6/25/22 2:56:01 AM,%RH,33.088
6/25/22 4:56:01 AM,%RH,36.432
6/25/22 6:56:01 AM,%RH,42.992
6/25/22 8:56:01 AM,%RH,29.701
6/25/22 10:56:01 AM,%RH,22.797
6/25/22 12:56:01 PM,%RH,17.862
6/25/22 2:56:01 PM,%RH,12.842
6/25/22 4:56:01 PM,%RH,15.004
6/25/22 6:56:01 PM,%RH,16.436
6/25/22 8:56:01 PM,%RH,29.018
6/25/22 10:56:01 PM,%RH,49.379
6/26/22 12:56:01 AM,%RH,59.24
6/26/22 2:56:01 AM,%RH,70.378
6/26/22 4:56:01 AM,%RH,73.205
6/26/22 6:56:01 AM,%RH,82.497
6/26/22 8:56:01 AM,%RH,59.842
6/26/22 10:56:01 AM,%RH,50.636
6/26/22 12:56:01 PM,%RH,37.096
6/26/22 2:56:01 PM,%RH,37.096
6/26/22 4:56:01 PM,%RH,34.431
6/26/22 6:56:01 PM,%RH,41.694
6/26/22 8:56:01 PM,%RH,53.747
6/26/22 10:56:01 PM,%RH,60.442
6/27/22 12:56:01 AM,%RH,60.442
6/27/22 2:56:01 AM,%RH,61.636
6/27/22 4:56:01 AM,%RH,64.005
6/27/22 6:56:01 AM,%RH,69.234
6/27/22 8:56:01 AM,%RH,44.926
6/27/22 10:56:01 AM,%RH,33.088
6/27/22 12:56:01 PM,%RH,27.648
6/27/22 2:56:01 PM,%RH,24.191
6/27/22 4:56:01 PM,%RH,22.797
6/27/22 6:56:01 PM,%RH,31.738
6/27/22 8:56:01 PM,%RH,37.096
6/27/22 10:56:01 PM,%RH,42.992
6/28/22 12:56:01 AM,%RH,44.283
6/28/22 2:56:01 AM,%RH,46.207
6/28/22 4:56:01 AM,%RH,58.637
6/28/22 6:56:01 AM,%RH,71.514
6/28/22 8:56:01 AM,%RH,56.816
6/28/22 10:56:01 AM,%RH,46.845
6/28/22 12:56:01 PM,%RH,36.432
6/28/22 2:56:01 PM,%RH,31.738
6/28/22 4:56:01 PM,%RH,53.747
6/28/22 6:56:01 PM,%RH,46.207
6/28/22 8:56:01 PM,%RH,51.261
6/28/22 10:56:01 PM,%RH,57.425
6/29/22 12:56:01 AM,%RH,64.593
6/29/22 2:56:01 AM,%RH,69.234
6/29/22 4:56:01 AM,%RH,75.436
6/29/22 6:56:01 AM,%RH,84.611
6/29/22 8:56:01 AM,%RH,49.379
6/29/22 10:56:01 AM,%RH,38.418
6/29/22 12:56:01 PM,%RH,29.018
6/29/22 2:56:01 PM,%RH,25.579
6/29/22 4:56:01 PM,%RH,19.28
6/29/22 6:56:01 PM,%RH,20.692
6/29/22 8:56:01 PM,%RH,29.701
6/29/22 10:56:01 PM,%RH,37.096
6/30/22 12:56:01 AM,%RH,42.343
6/30/22 2:56:01 AM,%RH,49.379
6/30/22 4:56:01 AM,%RH,59.24
6/30/22 6:56:01 AM,%RH,68.66
6/30/22 8:56:01 AM,%RH,43.638
6/30/22 10:56:01 AM,%RH,31.738
6/30/22 12:56:01 PM,%RH,19.28
6/30/22 2:56:01 PM,%RH,16.436
6/30/22 4:56:01 PM,%RH,17.15
6/30/22 6:56:01 PM,%RH,15.004
6/30/22 8:56:01 PM,%RH,22.097
6/30/22 10:56:01 PM,%RH,26.27
7/1/22 12:56:01 AM,%RH,33.088
7/1/22 2:56:01 AM,%RH,41.042
7/1/22 4:56:01 AM,%RH,49.379
7/1/22 6:56:01 AM,%RH,53.128
7/1/22 8:56:01 AM,%RH,39.077
7/1/22 10:56:01 AM,%RH,28.334
7/1/22 12:56:01 PM,%RH,15.721
7/1/22 2:56:01 PM,%RH,14.285
7/1/22 4:56:01 PM,%RH,17.862
7/1/22 6:56:01 PM,%RH,15.721
7/1/22 8:56:01 PM,%RH,23.495
7/1/22 10:56:01 PM,%RH,29.701
7/2/22 12:56:01 AM,%RH,37.758
7/2/22 2:56:01 AM,%RH,43.638
7/2/22 4:56:01 AM,%RH,53.128
7/2/22 6:56:01 AM,%RH,56.206
7/2/22 8:56:01 AM,%RH,25.579
7/2/22 10:56:01 AM,%RH,29.018
7/2/22 12:56:01 PM,%RH,21.396
7/2/22 2:56:01 PM,%RH,16.436
7/2/22 4:56:01 PM,%RH,16.436
7/2/22 6:56:01 PM,%RH,21.396
7/2/22 8:56:01 PM,%RH,27.648
7/2/22 10:56:01 PM,%RH,42.992
7/3/22 12:56:01 AM,%RH,41.042
7/3/22 2:56:01 AM,%RH,49.379
7/3/22 4:56:01 AM,%RH,58.637
7/3/22 6:56:01 AM,%RH,59.842
7/3/22 8:56:01 AM,%RH,43.638
7/3/22 10:56:01 AM,%RH,31.738
7/3/22 12:56:01 PM,%RH,26.96
7/3/22 2:56:01 PM,%RH,26.27
7/3/22 4:56:01 PM,%RH,21.396
7/3/22 6:56:01 PM,%RH,23.495
7/3/22 8:56:01 PM,%RH,33.088
7/3/22 10:56:01 PM,%RH,48.115
7/4/22 12:56:01 AM,%RH,54.365
7/4/22 2:56:01 AM,%RH,54.365
7/4/22 4:56:01 AM,%RH,58.031
7/4/22 6:56:01 AM,%RH,63.416
7/4/22 8:56:01 AM,%RH,54.98
7/4/22 10:56:01 AM,%RH,44.283
7/4/22 12:56:01 PM,%RH,34.431
7/4/22 2:56:01 PM,%RH,25.579
7/4/22 4:56:01 PM,%RH,22.097
7/4/22 6:56:01 PM,%RH,25.579
7/4/22 8:56:01 PM,%RH,31.061
7/4/22 10:56:01 PM,%RH,43.638
7/5/22 12:56:01 AM,%RH,54.365
7/5/22 2:56:01 AM,%RH,54.98
7/5/22 4:56:01 AM,%RH,61.04
7/5/22 6:56:01 AM,%RH,66.928
7/5/22 8:56:01 AM,%RH,43.638
7/5/22 10:56:01 AM,%RH,38.418
7/5/22 12:56:01 PM,%RH,27.648
7/5/22 2:56:01 PM,%RH,22.097
7/5/22 4:56:01 PM,%RH,24.191
7/5/22 6:56:01 PM,%RH,42.992
7/5/22 8:56:01 PM,%RH,44.283
7/5/22 10:56:01 PM,%RH,56.206
7/6/22 12:56:01 AM,%RH,51.885
7/6/22 2:56:01 AM,%RH,58.031
7/6/22 4:56:01 AM,%RH,67.507
7/6/22 6:56:01 AM,%RH,64.005
7/6/22 8:56:01 AM,%RH,47.481
7/6/22 10:56:01 AM,%RH,32.414
7/6/22 12:56:01 PM,%RH,27.648
7/6/22 2:56:01 PM,%RH,20.692
