1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000005AC0FE41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:35:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:35:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  29423
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:35:01 AM,%RH,49.198
6/9/22 10:35:01 AM,%RH,49.198
6/9/22 12:35:01 PM,%RH,46.687
6/9/22 2:35:01 PM,%RH,48.572
6/9/22 4:35:01 PM,%RH,44.79
6/9/22 6:35:01 PM,%RH,41.603
6/9/22 8:35:01 PM,%RH,43.519
6/9/22 10:35:01 PM,%RH,39.675
6/10/22 12:35:01 AM,%RH,44.155
6/10/22 2:35:01 AM,%RH,42.243
6/10/22 4:35:01 AM,%RH,44.155
6/10/22 6:35:01 AM,%RH,44.79
6/10/22 8:35:01 AM,%RH,50.447
6/10/22 10:35:01 AM,%RH,37.087
6/10/22 12:35:01 PM,%RH,25.189
6/10/22 2:35:01 PM,%RH,19.086
6/10/22 4:35:01 PM,%RH,18.402
6/10/22 6:35:01 PM,%RH,17.716
6/10/22 8:35:01 PM,%RH,23.842
6/10/22 10:35:01 PM,%RH,27.869
6/11/22 12:35:01 AM,%RH,31.85
6/11/22 2:35:01 AM,%RH,37.087
6/11/22 4:35:01 AM,%RH,43.519
6/11/22 6:35:01 AM,%RH,49.198
6/11/22 8:35:01 AM,%RH,42.243
6/11/22 10:35:01 AM,%RH,28.536
6/11/22 12:35:01 PM,%RH,19.086
6/11/22 2:35:01 PM,%RH,12.184
6/11/22 4:35:01 PM,%RH,10.788
6/11/22 6:35:01 PM,%RH,11.487
6/11/22 8:35:01 PM,%RH,15.651
6/11/22 10:35:01 PM,%RH,21.132
6/12/22 12:35:01 AM,%RH,25.861
6/12/22 2:35:01 AM,%RH,31.19
6/12/22 4:35:01 AM,%RH,36.437
6/12/22 6:35:01 AM,%RH,40.319
6/12/22 8:35:01 AM,%RH,35.785
6/12/22 10:35:01 AM,%RH,27.869
6/12/22 12:35:01 PM,%RH,18.402
6/12/22 2:35:01 PM,%RH,14.268
6/12/22 4:35:01 PM,%RH,12.184
6/12/22 6:35:01 PM,%RH,12.184
6/12/22 8:35:01 PM,%RH,15.651
6/12/22 10:35:01 PM,%RH,19.769
6/13/22 12:35:01 AM,%RH,23.842
6/13/22 2:35:01 AM,%RH,31.19
6/13/22 4:35:01 AM,%RH,37.736
6/13/22 6:35:01 AM,%RH,39.675
6/13/22 8:35:01 AM,%RH,39.03
6/13/22 10:35:01 AM,%RH,31.19
6/13/22 12:35:01 PM,%RH,25.189
6/13/22 2:35:01 PM,%RH,21.132
6/13/22 4:35:01 PM,%RH,19.769
6/13/22 6:35:01 PM,%RH,18.402
6/13/22 8:35:01 PM,%RH,21.132
6/13/22 10:35:01 PM,%RH,24.516
6/14/22 12:35:01 AM,%RH,28.536
6/14/22 2:35:01 AM,%RH,34.479
6/14/22 4:35:01 AM,%RH,48.572
6/14/22 6:35:01 AM,%RH,62.649
6/14/22 8:35:01 AM,%RH,53.545
6/14/22 10:35:01 AM,%RH,38.383
6/14/22 12:35:01 PM,%RH,19.769
6/14/22 2:35:01 PM,%RH,11.487
6/14/22 4:35:01 PM,%RH,13.574
6/14/22 6:35:01 PM,%RH,18.402
6/14/22 8:35:01 PM,%RH,25.861
6/14/22 10:35:01 PM,%RH,35.133
6/15/22 12:35:01 AM,%RH,44.79
6/15/22 2:35:01 AM,%RH,50.447
6/15/22 4:35:01 AM,%RH,54.161
6/15/22 6:35:01 AM,%RH,57.829
6/15/22 8:35:01 AM,%RH,49.823
6/15/22 10:35:01 AM,%RH,35.785
6/15/22 12:35:01 PM,%RH,27.201
6/15/22 2:35:01 PM,%RH,23.166
6/15/22 4:35:01 PM,%RH,21.132
6/15/22 6:35:01 PM,%RH,22.49
6/15/22 8:35:01 PM,%RH,29.865
6/15/22 10:35:01 PM,%RH,39.675
6/16/22 12:35:01 AM,%RH,46.056
6/16/22 2:35:01 AM,%RH,50.447
6/16/22 4:35:01 AM,%RH,52.309
6/16/22 6:35:01 AM,%RH,58.436
6/16/22 8:35:01 AM,%RH,44.79
6/16/22 10:35:01 AM,%RH,37.087
6/16/22 12:35:01 PM,%RH,27.869
6/16/22 2:35:01 PM,%RH,23.842
6/16/22 4:35:01 PM,%RH,17.029
6/16/22 6:35:01 PM,%RH,15.651
6/16/22 8:35:01 PM,%RH,20.451
6/16/22 10:35:01 PM,%RH,31.19
6/17/22 12:35:01 AM,%RH,32.509
6/17/22 2:35:01 AM,%RH,35.785
6/17/22 4:35:01 AM,%RH,46.687
6/17/22 6:35:01 AM,%RH,53.545
6/17/22 8:35:01 AM,%RH,36.437
6/17/22 10:35:01 AM,%RH,28.536
6/17/22 12:35:01 PM,%RH,17.716
6/17/22 2:35:01 PM,%RH,13.574
6/17/22 4:35:01 PM,%RH,12.88
6/17/22 6:35:01 PM,%RH,14.96
6/17/22 8:35:01 PM,%RH,21.811
6/17/22 10:35:01 PM,%RH,30.528
6/18/22 12:35:01 AM,%RH,39.675
6/18/22 2:35:01 AM,%RH,48.572
6/18/22 4:35:01 AM,%RH,61.451
6/18/22 6:35:01 AM,%RH,67.974
6/18/22 8:35:01 AM,%RH,35.133
6/18/22 10:35:01 AM,%RH,26.532
6/18/22 12:35:01 PM,%RH,24.516
6/18/22 2:35:01 PM,%RH,19.769
6/18/22 4:35:01 PM,%RH,19.086
6/18/22 6:35:01 PM,%RH,25.189
6/18/22 8:35:01 PM,%RH,29.865
6/18/22 10:35:01 PM,%RH,37.736
6/19/22 12:35:01 AM,%RH,43.519
6/19/22 2:35:01 AM,%RH,51.069
6/19/22 4:35:01 AM,%RH,68.559
6/19/22 6:35:01 AM,%RH,76.62
6/19/22 8:35:01 AM,%RH,35.785
6/19/22 10:35:01 AM,%RH,35.133
6/19/22 12:35:01 PM,%RH,25.189
6/19/22 2:35:01 PM,%RH,19.086
6/19/22 4:35:01 PM,%RH,19.769
6/19/22 6:35:01 PM,%RH,23.842
6/19/22 8:35:01 PM,%RH,30.528
6/19/22 10:35:01 PM,%RH,35.133
6/20/22 12:35:01 AM,%RH,39.03
6/20/22 2:35:01 AM,%RH,43.519
6/20/22 4:35:01 AM,%RH,50.447
6/20/22 6:35:01 AM,%RH,56.611
6/20/22 8:35:01 AM,%RH,39.675
6/20/22 10:35:01 AM,%RH,32.509
6/20/22 12:35:01 PM,%RH,22.49
6/20/22 2:35:01 PM,%RH,19.769
6/20/22 4:35:01 PM,%RH,17.716
6/20/22 6:35:01 PM,%RH,19.769
6/20/22 8:35:01 PM,%RH,26.532
6/20/22 10:35:01 PM,%RH,33.167
6/21/22 12:35:01 AM,%RH,62.051
6/21/22 2:35:01 AM,%RH,76.62
6/21/22 4:35:01 AM,%RH,84.979
6/21/22 6:35:01 AM,%RH,88.783
6/21/22 8:35:01 AM,%RH,35.785
6/21/22 10:35:01 AM,%RH,27.869
6/21/22 12:35:01 PM,%RH,19.086
6/21/22 2:35:01 PM,%RH,14.96
6/21/22 4:35:01 PM,%RH,13.574
6/21/22 6:35:01 PM,%RH,19.086
6/21/22 8:35:01 PM,%RH,23.842
6/21/22 10:35:01 PM,%RH,36.437
6/22/22 12:35:01 AM,%RH,51.069
6/22/22 2:35:01 AM,%RH,58.436
6/22/22 4:35:01 AM,%RH,70.307
6/22/22 6:35:01 AM,%RH,77.186
6/22/22 8:35:01 AM,%RH,31.19
6/22/22 10:35:01 AM,%RH,23.842
6/22/22 12:35:01 PM,%RH,17.716
6/22/22 2:35:01 PM,%RH,14.268
6/22/22 4:35:01 PM,%RH,21.132
6/22/22 6:35:01 PM,%RH,20.451
6/22/22 8:35:01 PM,%RH,22.49
6/22/22 10:35:01 PM,%RH,33.167
6/23/22 12:35:01 AM,%RH,38.383
6/23/22 2:35:01 AM,%RH,43.519
6/23/22 4:35:01 AM,%RH,49.823
6/23/22 6:35:01 AM,%RH,53.545
6/23/22 8:35:01 AM,%RH,35.785
6/23/22 10:35:01 AM,%RH,27.869
