1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 140000005AC3D741
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:22:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:22:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  30234
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:22:01 AM,C,22.914
6/9/22 10:22:01 AM,C,22.914
6/9/22 12:22:01 PM,C,22.914
6/9/22 2:22:01 PM,C,23.414
6/9/22 4:22:01 PM,C,22.414
6/9/22 6:22:01 PM,C,22.914
6/9/22 8:22:01 PM,C,23.414
6/9/22 10:22:01 PM,C,22.414
6/10/22 12:22:01 AM,C,23.414
6/10/22 2:22:01 AM,C,21.915
6/10/22 4:22:01 AM,C,22.914
6/10/22 6:22:01 AM,C,22.914
6/10/22 8:22:01 AM,C,27.414
6/10/22 10:22:01 AM,C,33.919
6/10/22 12:22:01 PM,C,39.927
6/10/22 2:22:01 PM,C,43.935
6/10/22 4:22:01 PM,C,44.937
6/10/22 6:22:01 PM,C,42.432
6/10/22 8:22:01 PM,C,35.42
6/10/22 10:22:01 PM,C,31.417
6/11/22 12:22:01 AM,C,29.415
6/11/22 2:22:01 AM,C,27.915
6/11/22 4:22:01 AM,C,25.914
6/11/22 6:22:01 AM,C,24.914
6/11/22 8:22:01 AM,C,28.915
6/11/22 10:22:01 AM,C,36.422
6/11/22 12:22:01 PM,C,42.432
6/11/22 2:22:01 PM,C,44.937
6/11/22 4:22:01 PM,C,46.441
6/11/22 6:22:01 PM,C,43.935
6/11/22 8:22:01 PM,C,37.924
6/11/22 10:22:01 PM,C,33.919
6/12/22 12:22:01 AM,C,31.417
6/12/22 2:22:01 AM,C,28.415
6/12/22 4:22:01 AM,C,26.914
6/12/22 6:22:01 AM,C,25.914
6/12/22 8:22:01 AM,C,29.916
6/12/22 10:22:01 AM,C,36.922
6/12/22 12:22:01 PM,C,42.432
6/12/22 2:22:01 PM,C,44.937
6/12/22 4:22:01 PM,C,45.438
6/12/22 6:22:01 PM,C,42.432
6/12/22 8:22:01 PM,C,36.922
6/12/22 10:22:01 PM,C,32.417
6/13/22 12:22:01 AM,C,29.916
6/13/22 2:22:01 AM,C,27.915
6/13/22 4:22:01 AM,C,24.414
6/13/22 6:22:01 AM,C,24.414
6/13/22 8:22:01 AM,C,28.415
6/13/22 10:22:01 AM,C,35.42
6/13/22 12:22:01 PM,C,38.925
6/13/22 2:22:01 PM,C,41.43
6/13/22 4:22:01 PM,C,42.933
6/13/22 6:22:01 PM,C,39.426
6/13/22 8:22:01 PM,C,34.419
6/13/22 10:22:01 PM,C,30.916
6/14/22 12:22:01 AM,C,28.915
6/14/22 2:22:01 AM,C,27.915
6/14/22 4:22:01 AM,C,25.914
6/14/22 6:22:01 AM,C,24.414
6/14/22 8:22:01 AM,C,28.415
6/14/22 10:22:01 AM,C,34.92
6/14/22 12:22:01 PM,C,44.937
6/14/22 2:22:01 PM,C,49.95
6/14/22 4:22:01 PM,C,48.947
6/14/22 6:22:01 PM,C,40.428
6/14/22 8:22:01 PM,C,34.92
6/14/22 10:22:01 PM,C,31.417
6/15/22 12:22:01 AM,C,28.415
6/15/22 2:22:01 AM,C,26.914
6/15/22 4:22:01 AM,C,25.914
6/15/22 6:22:01 AM,C,24.914
6/15/22 8:22:01 AM,C,28.415
6/15/22 10:22:01 AM,C,33.418
6/15/22 12:22:01 PM,C,38.425
6/15/22 2:22:01 PM,C,39.927
6/15/22 4:22:01 PM,C,40.929
6/15/22 6:22:01 PM,C,38.925
6/15/22 8:22:01 PM,C,33.919
6/15/22 10:22:01 PM,C,29.916
6/16/22 12:22:01 AM,C,27.915
6/16/22 2:22:01 AM,C,26.414
6/16/22 4:22:01 AM,C,24.914
6/16/22 6:22:01 AM,C,23.414
6/16/22 8:22:01 AM,C,27.915
6/16/22 10:22:01 AM,C,32.918
6/16/22 12:22:01 PM,C,39.927
6/16/22 2:22:01 PM,C,40.428
6/16/22 4:22:01 PM,C,40.929
6/16/22 6:22:01 PM,C,39.426
6/16/22 8:22:01 PM,C,33.418
6/16/22 10:22:01 PM,C,27.915
6/17/22 12:22:01 AM,C,26.914
6/17/22 2:22:01 AM,C,25.414
6/17/22 4:22:01 AM,C,22.414
6/17/22 6:22:01 AM,C,20.415
6/17/22 8:22:01 AM,C,27.414
6/17/22 10:22:01 AM,C,34.92
6/17/22 12:22:01 PM,C,40.428
6/17/22 2:22:01 PM,C,41.43
6/17/22 4:22:01 PM,C,41.931
6/17/22 6:22:01 PM,C,38.925
6/17/22 8:22:01 PM,C,32.918
6/17/22 10:22:01 PM,C,28.915
6/18/22 12:22:01 AM,C,25.414
6/18/22 2:22:01 AM,C,23.414
6/18/22 4:22:01 AM,C,22.414
6/18/22 6:22:01 AM,C,20.915
6/18/22 8:22:01 AM,C,28.915
6/18/22 10:22:01 AM,C,37.423
6/18/22 12:22:01 PM,C,40.428
6/18/22 2:22:01 PM,C,38.925
6/18/22 4:22:01 PM,C,41.43
6/18/22 6:22:01 PM,C,38.925
6/18/22 8:22:01 PM,C,32.417
6/18/22 10:22:01 PM,C,28.915
6/19/22 12:22:01 AM,C,26.414
6/19/22 2:22:01 AM,C,23.914
6/19/22 4:22:01 AM,C,21.915
6/19/22 6:22:01 AM,C,20.415
6/19/22 8:22:01 AM,C,27.915
6/19/22 10:22:01 AM,C,35.42
6/19/22 12:22:01 PM,C,38.425
6/19/22 2:22:01 PM,C,40.428
6/19/22 4:22:01 PM,C,39.927
6/19/22 6:22:01 PM,C,35.921
6/19/22 8:22:01 PM,C,32.918
6/19/22 10:22:01 PM,C,28.915
6/20/22 12:22:01 AM,C,27.414
6/20/22 2:22:01 AM,C,25.414
6/20/22 4:22:01 AM,C,23.914
6/20/22 6:22:01 AM,C,22.414
6/20/22 8:22:01 AM,C,28.915
6/20/22 10:22:01 AM,C,35.42
6/20/22 12:22:01 PM,C,40.929
6/20/22 2:22:01 PM,C,41.931
6/20/22 4:22:01 PM,C,40.929
6/20/22 6:22:01 PM,C,38.925
6/20/22 8:22:01 PM,C,31.417
6/20/22 10:22:01 PM,C,28.915
6/21/22 12:22:01 AM,C,24.414
6/21/22 2:22:01 AM,C,21.915
6/21/22 4:22:01 AM,C,19.416
6/21/22 6:22:01 AM,C,18.916
6/21/22 8:22:01 AM,C,29.916
6/21/22 10:22:01 AM,C,33.919
6/21/22 12:22:01 PM,C,40.428
6/21/22 2:22:01 PM,C,43.434
6/21/22 4:22:01 PM,C,42.933
6/21/22 6:22:01 PM,C,38.925
6/21/22 8:22:01 PM,C,32.417
6/21/22 10:22:01 PM,C,26.914
6/22/22 12:22:01 AM,C,25.914
6/22/22 2:22:01 AM,C,23.414
6/22/22 4:22:01 AM,C,19.915
6/22/22 6:22:01 AM,C,18.416
6/22/22 8:22:01 AM,C,32.417
6/22/22 10:22:01 AM,C,39.927
6/22/22 12:22:01 PM,C,45.939
6/22/22 2:22:01 PM,C,44.937
6/22/22 4:22:01 PM,C,45.939
6/22/22 6:22:01 PM,C,41.43
6/22/22 8:22:01 PM,C,33.418
6/22/22 10:22:01 PM,C,27.414
6/23/22 12:22:01 AM,C,26.414
6/23/22 2:22:01 AM,C,24.914
6/23/22 4:22:01 AM,C,24.414
6/23/22 6:22:01 AM,C,23.914
6/23/22 8:22:01 AM,C,30.916
6/23/22 10:22:01 AM,C,37.924
6/23/22 12:22:01 PM,C,44.937
6/23/22 2:22:01 PM,C,45.939
6/23/22 4:22:01 PM,C,45.438
6/23/22 6:22:01 PM,C,40.929
6/23/22 8:22:01 PM,C,33.919
6/23/22 10:22:01 PM,C,29.415
6/24/22 12:22:01 AM,C,27.915
6/24/22 2:22:01 AM,C,26.414
6/24/22 4:22:01 AM,C,24.414
6/24/22 6:22:01 AM,C,22.914
6/24/22 8:22:01 AM,C,30.416
6/24/22 10:22:01 AM,C,37.423
6/24/22 12:22:01 PM,C,44.436
6/24/22 2:22:01 PM,C,45.438
6/24/22 4:22:01 PM,C,44.937
6/24/22 6:22:01 PM,C,41.43
6/24/22 8:22:01 PM,C,34.92
6/24/22 10:22:01 PM,C,30.416
6/25/22 12:22:01 AM,C,27.915
6/25/22 2:22:01 AM,C,26.914
6/25/22 4:22:01 AM,C,25.414
6/25/22 6:22:01 AM,C,21.415
6/25/22 8:22:01 AM,C,31.917
6/25/22 10:22:01 AM,C,38.925
6/25/22 12:22:01 PM,C,44.436
6/25/22 2:22:01 PM,C,47.443
6/25/22 4:22:01 PM,C,47.945
6/25/22 6:22:01 PM,C,40.428
6/25/22 8:22:01 PM,C,33.418
6/25/22 10:22:01 PM,C,27.915
