1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B000000078630841
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:29:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:29:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28289
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:29:01 AM,%RH,48.647
6/9/22 10:29:01 AM,%RH,49.279
6/9/22 12:29:01 PM,%RH,44.176
6/9/22 2:29:01 PM,%RH,46.741
6/9/22 4:29:01 PM,%RH,46.102
6/9/22 6:29:01 PM,%RH,42.234
6/9/22 8:29:01 PM,%RH,42.234
6/9/22 10:29:01 PM,%RH,40.932
6/10/22 12:29:01 AM,%RH,42.234
6/10/22 2:29:01 AM,%RH,42.234
6/10/22 4:29:01 AM,%RH,42.234
6/10/22 6:29:01 AM,%RH,43.53
6/10/22 8:29:01 AM,%RH,53.656
6/10/22 10:29:01 AM,%RH,37.646
6/10/22 12:29:01 PM,%RH,28.907
6/10/22 2:29:01 PM,%RH,21.991
6/10/22 4:29:01 PM,%RH,21.291
6/10/22 6:29:01 PM,%RH,19.884
6/10/22 8:29:01 PM,%RH,22.69
6/10/22 10:29:01 PM,%RH,26.85
6/11/22 12:29:01 AM,%RH,29.589
6/11/22 2:29:01 AM,%RH,36.32
6/11/22 4:29:01 AM,%RH,40.932
6/11/22 6:29:01 AM,%RH,46.741
6/11/22 8:29:01 AM,%RH,41.584
6/11/22 10:29:01 AM,%RH,29.589
6/11/22 12:29:01 PM,%RH,19.178
6/11/22 2:29:01 PM,%RH,16.339
6/11/22 4:29:01 PM,%RH,16.339
6/11/22 6:29:01 PM,%RH,14.191
6/11/22 8:29:01 PM,%RH,14.191
6/11/22 10:29:01 PM,%RH,19.884
6/12/22 12:29:01 AM,%RH,24.084
6/12/22 2:29:01 AM,%RH,30.27
6/12/22 4:29:01 AM,%RH,32.975
6/12/22 6:29:01 AM,%RH,38.965
6/12/22 8:29:01 AM,%RH,34.987
6/12/22 10:29:01 AM,%RH,27.537
6/12/22 12:29:01 PM,%RH,19.178
6/12/22 2:29:01 PM,%RH,16.339
6/12/22 4:29:01 PM,%RH,15.624
6/12/22 6:29:01 PM,%RH,14.191
6/12/22 8:29:01 PM,%RH,13.472
6/12/22 10:29:01 PM,%RH,18.471
6/13/22 12:29:01 AM,%RH,22.69
6/13/22 2:29:01 AM,%RH,29.589
6/13/22 4:29:01 AM,%RH,38.306
6/13/22 6:29:01 AM,%RH,40.278
6/13/22 8:29:01 AM,%RH,36.984
6/13/22 10:29:01 AM,%RH,30.27
6/13/22 12:29:01 PM,%RH,28.223
