1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B000000078630841
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:29:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:29:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  28289
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:29:01 AM,C,23.138
6/9/22 10:29:01 AM,C,23.138
6/9/22 12:29:01 PM,C,23.138
6/9/22 2:29:01 PM,C,23.638
6/9/22 4:29:01 PM,C,22.637
6/9/22 6:29:01 PM,C,22.637
6/9/22 8:29:01 PM,C,23.638
6/9/22 10:29:01 PM,C,22.137
6/10/22 12:29:01 AM,C,23.638
6/10/22 2:29:01 AM,C,22.137
6/10/22 4:29:01 AM,C,23.138
6/10/22 6:29:01 AM,C,23.638
6/10/22 8:29:01 AM,C,27.138
6/10/22 10:29:01 AM,C,34.131
6/10/22 12:29:01 PM,C,38.121
6/10/22 2:29:01 PM,C,41.111
6/10/22 4:29:01 PM,C,43.104
6/10/22 6:29:01 PM,C,40.613
6/10/22 8:29:01 PM,C,35.129
6/10/22 10:29:01 PM,C,31.635
6/11/22 12:29:01 AM,C,29.637
6/11/22 2:29:01 AM,C,27.638
6/11/22 4:29:01 AM,C,26.139
6/11/22 6:29:01 AM,C,25.139
6/11/22 8:29:01 AM,C,30.137
6/11/22 10:29:01 AM,C,36.625
6/11/22 12:29:01 PM,C,41.111
6/11/22 2:29:01 PM,C,44.099
6/11/22 4:29:01 PM,C,45.095
6/11/22 6:29:01 PM,C,42.606
6/11/22 8:29:01 PM,C,37.622
6/11/22 10:29:01 PM,C,34.131
6/12/22 12:29:01 AM,C,31.135
6/12/22 2:29:01 AM,C,28.638
6/12/22 4:29:01 AM,C,27.638
6/12/22 6:29:01 AM,C,26.139
6/12/22 8:29:01 AM,C,31.635
6/12/22 10:29:01 AM,C,38.619
6/12/22 12:29:01 PM,C,42.107
6/12/22 2:29:01 PM,C,43.601
6/12/22 4:29:01 PM,C,44.597
6/12/22 6:29:01 PM,C,41.609
6/12/22 8:29:01 PM,C,36.625
6/12/22 10:29:01 PM,C,32.633
6/13/22 12:29:01 AM,C,30.137
6/13/22 2:29:01 AM,C,28.138
6/13/22 4:29:01 AM,C,25.139
6/13/22 6:29:01 AM,C,24.638
6/13/22 8:29:01 AM,C,30.137
6/13/22 10:29:01 AM,C,35.129
6/13/22 12:29:01 PM,C,38.619
6/13/22 2:29:01 PM,C,40.613
6/13/22 4:29:01 PM,C,40.613
6/13/22 6:29:01 PM,C,39.118
6/13/22 8:29:01 PM,C,34.63
6/13/22 10:29:01 PM,C,31.135
6/14/22 12:29:01 AM,C,29.637
6/14/22 2:29:01 AM,C,28.138
6/14/22 4:29:01 AM,C,26.139
6/14/22 6:29:01 AM,C,24.638
6/14/22 8:29:01 AM,C,28.138
6/14/22 10:29:01 AM,C,33.132
6/14/22 12:29:01 PM,C,40.115
6/14/22 2:29:01 PM,C,42.107
6/14/22 4:29:01 PM,C,42.606
6/14/22 6:29:01 PM,C,39.118
6/14/22 8:29:01 PM,C,34.63
6/14/22 10:29:01 PM,C,31.635
