1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 230000007862BB41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 09 08:27:01 CDT 2022
Mission Sample Count:  1721
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 09 08:27:01 CDT 2022
Total Mission Samples:  1721
Total Device Samples:  27824
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/22 8:27:01 AM,%RH,47.872
6/9/22 10:27:01 AM,%RH,48.509
6/9/22 12:27:01 PM,%RH,45.953
6/9/22 2:27:01 PM,%RH,46.594
6/9/22 4:27:01 PM,%RH,43.372
6/9/22 6:27:01 PM,%RH,40.767
6/9/22 8:27:01 PM,%RH,41.421
6/9/22 10:27:01 PM,%RH,38.797
6/10/22 12:27:01 AM,%RH,40.767
6/10/22 2:27:01 AM,%RH,40.112
6/10/22 4:27:01 AM,%RH,42.073
6/10/22 6:27:01 AM,%RH,42.723
6/10/22 8:27:01 AM,%RH,50.41
6/10/22 10:27:01 AM,%RH,37.476
6/10/22 12:27:01 PM,%RH,28.057
6/10/22 2:27:01 PM,%RH,21.843
6/10/22 4:27:01 PM,%RH,19.041
6/10/22 6:27:01 PM,%RH,17.631
6/10/22 8:27:01 PM,%RH,21.843
6/10/22 10:27:01 PM,%RH,26
6/11/22 12:27:01 AM,%RH,30.101
6/11/22 2:27:01 AM,%RH,35.483
6/11/22 4:27:01 AM,%RH,41.421
6/11/22 6:27:01 AM,%RH,47.234
6/11/22 8:27:01 AM,%RH,40.767
6/11/22 10:27:01 AM,%RH,30.101
6/11/22 12:27:01 PM,%RH,22.54
6/11/22 2:27:01 PM,%RH,14.793
6/11/22 4:27:01 PM,%RH,14.079
6/11/22 6:27:01 PM,%RH,10.489
6/11/22 8:27:01 PM,%RH,14.079
6/11/22 10:27:01 PM,%RH,19.041
6/12/22 12:27:01 AM,%RH,23.928
6/12/22 2:27:01 AM,%RH,28.74
6/12/22 4:27:01 AM,%RH,33.476
6/12/22 6:27:01 AM,%RH,38.137
6/12/22 8:27:01 AM,%RH,36.813
6/12/22 10:27:01 AM,%RH,28.057
6/12/22 12:27:01 PM,%RH,21.145
6/12/22 2:27:01 PM,%RH,13.364
6/12/22 4:27:01 PM,%RH,11.21
6/12/22 6:27:01 PM,%RH,11.21
6/12/22 8:27:01 PM,%RH,12.648
6/12/22 10:27:01 PM,%RH,17.631
6/13/22 12:27:01 AM,%RH,22.54
6/13/22 2:27:01 AM,%RH,28.74
6/13/22 4:27:01 AM,%RH,37.476
6/13/22 6:27:01 AM,%RH,39.455
6/13/22 8:27:01 AM,%RH,38.797
6/13/22 10:27:01 AM,%RH,31.456
6/13/22 12:27:01 PM,%RH,27.373
6/13/22 2:27:01 PM,%RH,22.54
6/13/22 4:27:01 PM,%RH,19.744
6/13/22 6:27:01 PM,%RH,16.924
6/13/22 8:27:01 PM,%RH,19.041
6/13/22 10:27:01 PM,%RH,22.54
6/14/22 12:27:01 AM,%RH,26
6/14/22 2:27:01 AM,%RH,31.456
6/14/22 4:27:01 AM,%RH,45.953
6/14/22 6:27:01 AM,%RH,60.92
6/14/22 8:27:01 AM,%RH,55.411
6/14/22 10:27:01 AM,%RH,41.421
6/14/22 12:27:01 PM,%RH,23.235
6/14/22 2:27:01 PM,%RH,13.364
6/14/22 4:27:01 PM,%RH,13.364
6/14/22 6:27:01 PM,%RH,16.924
6/14/22 8:27:01 PM,%RH,23.928
6/14/22 10:27:01 PM,%RH,34.147
6/15/22 12:27:01 AM,%RH,42.073
6/15/22 2:27:01 AM,%RH,48.509
6/15/22 4:27:01 AM,%RH,52.923
6/15/22 6:27:01 AM,%RH,56.029
6/15/22 8:27:01 AM,%RH,49.144
6/15/22 10:27:01 AM,%RH,40.767
6/15/22 12:27:01 PM,%RH,34.147
6/15/22 2:27:01 PM,%RH,24.62
6/15/22 4:27:01 PM,%RH,23.235
6/15/22 6:27:01 PM,%RH,23.928
6/15/22 8:27:01 PM,%RH,30.779
6/15/22 10:27:01 PM,%RH,39.455
6/16/22 12:27:01 AM,%RH,47.234
6/16/22 2:27:01 AM,%RH,52.297
6/16/22 4:27:01 AM,%RH,52.297
6/16/22 6:27:01 AM,%RH,58.487
6/16/22 8:27:01 AM,%RH,47.234
6/16/22 10:27:01 AM,%RH,38.137
6/16/22 12:27:01 PM,%RH,31.456
6/16/22 2:27:01 PM,%RH,26
6/16/22 4:27:01 PM,%RH,16.924
6/16/22 6:27:01 PM,%RH,14.079
6/16/22 8:27:01 PM,%RH,19.041
